"Step","maddpg_painting_gnn__01c0f720_24_07_24-15_41_42 - eval/reward/episode_len_mean","maddpg_painting_gnn__01c0f720_24_07_24-15_41_42 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__01c0f720_24_07_24-15_41_42 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","297.89","297.89","297.89"
"69","297.55","297.55","297.55"
"79","300","300","300"
"89","297.74","297.74","297.74"
"99","300","300","300"
"109","295.52","295.52","295.52"
"119","297.93","297.93","297.93"
"129","297.72","297.72","297.72"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","295.23","295.23","295.23"
"179","300","300","300"
"189","284.26","284.26","284.26"
"199","293.65","293.65","293.65"
"209","269.92","269.92","269.92"
"219","268.28","268.28","268.28"
"229","297.83","297.83","297.83"
"239","288.34","288.34","288.34"
"249","288.19","288.19","288.19"
"259","236.29","236.29","236.29"
"269","273.88","273.88","273.88"
"279","206.28","206.28","206.28"
"289","196.99","196.99","196.99"
"299","186.46","186.46","186.46"
"309","221.39","221.39","221.39"
"319","208.33","208.33","208.33"
"329","95.69","95.69","95.69"
"339","137.57","137.57","137.57"
"349","100.95","100.95","100.95"
"359","139.06","139.06","139.06"
"369","138.64","138.64","138.64"
"379","120.55","120.55","120.55"
"389","116.02","116.02","116.02"
"399","86.26","86.26","86.26"
"409","91.48","91.48","91.48"
"419","84.55","84.55","84.55"
"429","87.24","87.24","87.24"
"439","82.66","82.66","82.66"
"449","81.2","81.2","81.2"
"459","83.41","83.41","83.41"
"469","87.26","87.26","87.26"
"479","83.7","83.7","83.7"
"489","83.67","83.67","83.67"
"499","81.86","81.86","81.86"
"509","89.15","89.15","89.15"
"519","83.48","83.48","83.48"
"529","80.33","80.33","80.33"
"539","89.57","89.57","89.57"
"549","82.1","82.1","82.1"
"559","92.15","92.15","92.15"
"569","89.23","89.23","89.23"
"579","93.82","93.82","93.82"
"589","99.87","99.87","99.87"
"599","92.76","92.76","92.76"
"609","93.66","93.66","93.66"
"619","84.98","84.98","84.98"
"629","87.35","87.35","87.35"
"639","86.12","86.12","86.12"
"649","77.31","77.31","77.31"
"659","89.03","89.03","89.03"
"669","96.47","96.47","96.47"
"679","94.48","94.48","94.48"
"689","98.04","98.04","98.04"
"699","87.05","87.05","87.05"
"709","108.38","108.38","108.38"
"719","105.65","105.65","105.65"
"729","103.47","103.47","103.47"
"739","91.68","91.68","91.68"
"749","103.13","103.13","103.13"
"759","87.74","87.74","87.74"
"769","106.69","106.69","106.69"
"779","119.26","119.26","119.26"
"789","84.71","84.71","84.71"
"799","111.41","111.41","111.41"
"809","94.86","94.86","94.86"
"819","172.16","172.16","172.16"
"829","93.92","93.92","93.92"
"839","94.68","94.68","94.68"
"849","95.57","95.57","95.57"
"859","96.55","96.55","96.55"
"869","102.26","102.26","102.26"
"879","95.22","95.22","95.22"
"889","88.46","88.46","88.46"
"899","82.69","82.69","82.69"
"909","103.21","103.21","103.21"
"919","92.99","92.99","92.99"
"929","95.39","95.39","95.39"
"939","82.57","82.57","82.57"
"949","90.31","90.31","90.31"
"959","88.15","88.15","88.15"
"969","91.31","91.31","91.31"
"979","106.61","106.61","106.61"
"989","82.43","82.43","82.43"
"999","111.67","111.67","111.67"
