"Step","maddpg_painting_gnn__29cf468c_24_07_24-14_54_58 - eval/reward/episode_len_mean","maddpg_painting_gnn__29cf468c_24_07_24-14_54_58 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__29cf468c_24_07_24-14_54_58 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","297.61","297.61","297.61"
"69","300","300","300"
"79","297.38","297.38","297.38"
"89","293.38","293.38","293.38"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","297.5","297.5","297.5"
"149","300","300","300"
"159","286.75","286.75","286.75"
"169","300","300","300"
"179","300","300","300"
"189","283.42","283.42","283.42"
"199","297.77","297.77","297.77"
"209","261.07","261.07","261.07"
"219","277.21","277.21","277.21"
"229","274.96","274.96","274.96"
"239","256.75","256.75","256.75"
"249","257.02","257.02","257.02"
"259","274.64","274.64","274.64"
"269","281.74","281.74","281.74"
"279","219.86","219.86","219.86"
"289","290.75","290.75","290.75"
"299","247.99","247.99","247.99"
"309","290.34","290.34","290.34"
"319","268.01","268.01","268.01"
"329","184.98","184.98","184.98"
"339","166.1","166.1","166.1"
"349","171.16","171.16","171.16"
"359","167.05","167.05","167.05"
"369","198.06","198.06","198.06"
"379","185.5","185.5","185.5"
"389","164.1","164.1","164.1"
"399","136.99","136.99","136.99"
"409","95.61","95.61","95.61"
"419","82.99","82.99","82.99"
"429","113.59","113.59","113.59"
"439","104.06","104.06","104.06"
"449","80.61","80.61","80.61"
"459","83.86","83.86","83.86"
"469","97.27","97.27","97.27"
"479","86.17","86.17","86.17"
"489","96.44","96.44","96.44"
"499","84.13","84.13","84.13"
"509","95.81","95.81","95.81"
"519","91.06","91.06","91.06"
"529","82.81","82.81","82.81"
"539","84.04","84.04","84.04"
"549","83.9","83.9","83.9"
"559","87.84","87.84","87.84"
"569","90.77","90.77","90.77"
"579","82.25","82.25","82.25"
"589","86.39","86.39","86.39"
"599","86.47","86.47","86.47"
"609","86.69","86.69","86.69"
"619","87.26","87.26","87.26"
"629","117.03","117.03","117.03"
"639","101.96","101.96","101.96"
"649","84.66","84.66","84.66"
"659","80.83","80.83","80.83"
"669","84.28","84.28","84.28"
"679","87.56","87.56","87.56"
"689","84.51","84.51","84.51"
"699","94.42","94.42","94.42"
"709","122.8","122.8","122.8"
"719","172.83","172.83","172.83"
"729","89.36","89.36","89.36"
"739","106.24","106.24","106.24"
"749","104.61","104.61","104.61"
"759","82.64","82.64","82.64"
"769","274.78","274.78","274.78"
"779","101.82","101.82","101.82"
"789","115.43","115.43","115.43"
"799","94.67","94.67","94.67"
"809","79.01","79.01","79.01"
"819","92.02","92.02","92.02"
"829","84.73","84.73","84.73"
"839","87.82","87.82","87.82"
"849","97.08","97.08","97.08"
"859","87.57","87.57","87.57"
"869","82.99","82.99","82.99"
"879","97.25","97.25","97.25"
"889","77.11","77.11","77.11"
"899","80.03","80.03","80.03"
"909","98.22","98.22","98.22"
"919","278.17","278.17","278.17"
"929","111.32","111.32","111.32"
"939","88.9","88.9","88.9"
"949","76.29","76.29","76.29"
"959","134.7","134.7","134.7"
"969","110.51","110.51","110.51"
"979","140.57","140.57","140.57"
"989","120.94","120.94","120.94"
"999","152.72","152.72","152.72"
