"Step","maddpg_painting_gnn__577ebc3c_24_07_24-15_41_42 - eval/reward/episode_len_mean","maddpg_painting_gnn__577ebc3c_24_07_24-15_41_42 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__577ebc3c_24_07_24-15_41_42 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","294.96","294.96","294.96"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","297.72","297.72","297.72"
"179","300","300","300"
"189","300","300","300"
"199","295.47","295.47","295.47"
"209","300","300","300"
"219","288.74","288.74","288.74"
"229","297.92","297.92","297.92"
"239","264.82","264.82","264.82"
"249","295.54","295.54","295.54"
"259","286.78","286.78","286.78"
"269","224.5","224.5","224.5"
"279","248.07","248.07","248.07"
"289","266.05","266.05","266.05"
"299","221.06","221.06","221.06"
"309","247.28","247.28","247.28"
"319","235.51","235.51","235.51"
"329","236.41","236.41","236.41"
"339","204.61","204.61","204.61"
"349","202.07","202.07","202.07"
"359","149.17","149.17","149.17"
"369","283.43","283.43","283.43"
"379","194.42","194.42","194.42"
"389","253.69","253.69","253.69"
"399","140.89","140.89","140.89"
"409","108.37","108.37","108.37"
"419","122.14","122.14","122.14"
"429","97.91","97.91","97.91"
"439","111.97","111.97","111.97"
"449","98.61","98.61","98.61"
"459","79.13","79.13","79.13"
"469","106.14","106.14","106.14"
"479","80.11","80.11","80.11"
"489","81.12","81.12","81.12"
"499","92.97","92.97","92.97"
"509","82.35","82.35","82.35"
"519","81.91","81.91","81.91"
"529","85.05","85.05","85.05"
"539","81.05","81.05","81.05"
"549","90.03","90.03","90.03"
"559","76.28","76.28","76.28"
"569","83.97","83.97","83.97"
"579","94.69","94.69","94.69"
"589","108.12","108.12","108.12"
"599","81.07","81.07","81.07"
"609","103.84","103.84","103.84"
"619","87.13","87.13","87.13"
"629","114.18","114.18","114.18"
"639","128.85","128.85","128.85"
"649","300","300","300"
"659","113.52","113.52","113.52"
"669","118.22","118.22","118.22"
"679","103.15","103.15","103.15"
"689","100.5","100.5","100.5"
"699","112.14","112.14","112.14"
"709","123.86","123.86","123.86"
"719","107","107","107"
"729","95.94","95.94","95.94"
"739","83.43","83.43","83.43"
"749","93.97","93.97","93.97"
"759","89.07","89.07","89.07"
"769","87.96","87.96","87.96"
"779","171.84","171.84","171.84"
"789","130.48","130.48","130.48"
"799","132.84","132.84","132.84"
"809","86.97","86.97","86.97"
"819","84.72","84.72","84.72"
"829","105.84","105.84","105.84"
"839","123.9","123.9","123.9"
"849","135.88","135.88","135.88"
"859","98.19","98.19","98.19"
"869","120.11","120.11","120.11"
"879","101.49","101.49","101.49"
"889","96.7","96.7","96.7"
"899","78.23","78.23","78.23"
"909","84.41","84.41","84.41"
"919","80.43","80.43","80.43"
"929","96.88","96.88","96.88"
"939","77.35","77.35","77.35"
"949","85.86","85.86","85.86"
"959","101.33","101.33","101.33"
"969","101.94","101.94","101.94"
"979","103.07","103.07","103.07"
"989","81.25","81.25","81.25"
"999","85.68","85.68","85.68"
