"Step","maddpg_painting_gnn__31b39a69_24_08_09-17_16_55 - eval/reward/episode_len_mean","maddpg_painting_gnn__31b39a69_24_08_09-17_16_55 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__31b39a69_24_08_09-17_16_55 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","274.3","274.3","274.3"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","276.4","276.4","276.4"
"429","300","300","300"
"439","300","300","300"
"449","279.4","279.4","279.4"
"459","253.9","253.9","253.9"
"469","252.7","252.7","252.7"
"479","300","300","300"
"489","252.9","252.9","252.9"
"499","257.8","257.8","257.8"
"509","187.8","187.8","187.8"
"519","211.2","211.2","211.2"
"529","213.1","213.1","213.1"
"539","160.2","160.2","160.2"
"549","261.4","261.4","261.4"
"559","160.6","160.6","160.6"
"569","188.1","188.1","188.1"
"579","165.7","165.7","165.7"
"589","180","180","180"
"599","168.4","168.4","168.4"
"609","132.4","132.4","132.4"
"619","134.9","134.9","134.9"
"629","86.9","86.9","86.9"
"639","128.7","128.7","128.7"
"649","209.2","209.2","209.2"
"659","167.1","167.1","167.1"
"669","121.8","121.8","121.8"
"679","76","76","76"
"689","105.1","105.1","105.1"
"699","74.6","74.6","74.6"
"709","72.2","72.2","72.2"
"719","96","96","96"
"729","97","97","97"
"739","123","123","123"
"749","80","80","80"
"759","113.9","113.9","113.9"
"769","75.7","75.7","75.7"
"779","160.9","160.9","160.9"
"789","79.6","79.6","79.6"
"799","73.2","73.2","73.2"
"809","102.3","102.3","102.3"
"819","76.5","76.5","76.5"
"829","74.4","74.4","74.4"
"839","72.2","72.2","72.2"
"849","85.9","85.9","85.9"
"859","87.3","87.3","87.3"
"869","90.2","90.2","90.2"
"879","76.7","76.7","76.7"
"889","111.2","111.2","111.2"
"899","93.7","93.7","93.7"
"909","81.8","81.8","81.8"
"919","116.8","116.8","116.8"
"929","74.9","74.9","74.9"
"939","82.1","82.1","82.1"
"949","90.6","90.6","90.6"
"959","84.2","84.2","84.2"
"969","132.6","132.6","132.6"
"979","74.2","74.2","74.2"
"989","106","106","106"
"999","73.7","73.7","73.7"
"1009","72.7","72.7","72.7"
"1019","79.6","79.6","79.6"
"1029","87.4","87.4","87.4"
"1039","125.1","125.1","125.1"
"1049","91.3","91.3","91.3"
"1059","103.2","103.2","103.2"
"1069","101.6","101.6","101.6"
"1079","93.5","93.5","93.5"
"1089","72.4","72.4","72.4"
"1099","79.5","79.5","79.5"
"1109","126.8","126.8","126.8"
"1119","67.9","67.9","67.9"
"1129","140.5","140.5","140.5"
"1139","122","122","122"
"1149","128","128","128"
"1159","106.3","106.3","106.3"
"1169","122","122","122"
"1179","130.7","130.7","130.7"
"1189","111","111","111"
"1199","76.9","76.9","76.9"
"1209","131","131","131"
"1219","122.9","122.9","122.9"
"1229","89.2","89.2","89.2"
"1239","88.1","88.1","88.1"
"1249","158.4","158.4","158.4"
"1259","72.9","72.9","72.9"
"1269","105","105","105"
"1279","81.6","81.6","81.6"
"1289","111.6","111.6","111.6"
"1299","106.6","106.6","106.6"
"1309","118.9","118.9","118.9"
"1319","86.7","86.7","86.7"
"1329","84","84","84"
"1339","87.7","87.7","87.7"
"1349","102.3","102.3","102.3"
"1359","76.5","76.5","76.5"
"1369","76.6","76.6","76.6"
"1379","150","150","150"
"1389","122.6","122.6","122.6"
"1399","112.5","112.5","112.5"
"1409","103.7","103.7","103.7"
"1419","95.3","95.3","95.3"
"1429","71","71","71"
"1439","104.3","104.3","104.3"
"1449","74.9","74.9","74.9"
"1459","190.6","190.6","190.6"
"1469","87","87","87"
"1479","130.2","130.2","130.2"
"1489","75.3","75.3","75.3"
"1499","77","77","77"
"1509","86.1","86.1","86.1"
"1519","73","73","73"
"1529","78.7","78.7","78.7"
"1539","103.4","103.4","103.4"
"1549","106.6","106.6","106.6"
"1559","168","168","168"
"1569","119.3","119.3","119.3"
"1579","118.4","118.4","118.4"
"1589","207.6","207.6","207.6"
"1599","93.7","93.7","93.7"
"1609","73","73","73"
"1619","82.1","82.1","82.1"
"1629","81.7","81.7","81.7"
"1639","120.6","120.6","120.6"
"1649","117.5","117.5","117.5"
"1659","84","84","84"
"1669","234","234","234"
"1679","99.9","99.9","99.9"
"1689","120.8","120.8","120.8"
"1699","78.1","78.1","78.1"
"1709","74.7","74.7","74.7"
"1719","102.8","102.8","102.8"
"1729","105.1","105.1","105.1"
"1739","176.7","176.7","176.7"
"1749","98.1","98.1","98.1"
"1759","130.2","130.2","130.2"
"1769","84.5","84.5","84.5"
"1779","116.6","116.6","116.6"
"1789","68.4","68.4","68.4"
"1799","89.5","89.5","89.5"
"1809","68.1","68.1","68.1"
"1819","75.1","75.1","75.1"
"1829","99.7","99.7","99.7"
"1839","82.6","82.6","82.6"
"1849","126.5","126.5","126.5"
"1859","79.6","79.6","79.6"
"1869","115.2","115.2","115.2"
"1879","145.5","145.5","145.5"
"1889","155.1","155.1","155.1"
"1899","131.2","131.2","131.2"
"1909","117","117","117"
"1919","144.6","144.6","144.6"
"1929","129.4","129.4","129.4"
"1939","109.4","109.4","109.4"
"1949","193.5","193.5","193.5"
"1959","182.6","182.6","182.6"
"1969","138.7","138.7","138.7"
"1979","92.1","92.1","92.1"
