"Step","maddpg_painting_gnn__5dbc894c_24_08_10-07_04_17 - eval/reward/episode_len_mean","maddpg_painting_gnn__5dbc894c_24_08_10-07_04_17 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__5dbc894c_24_08_10-07_04_17 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","278.4","278.4","278.4"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","277.8","277.8","277.8"
"569","274.9","274.9","274.9"
"579","275.9","275.9","275.9"
"589","300","300","300"
"599","300","300","300"
"609","181","181","181"
"619","255.3","255.3","255.3"
"629","189.8","189.8","189.8"
"639","275.6","275.6","275.6"
"649","143.6","143.6","143.6"
"659","181.9","181.9","181.9"
"669","72.1","72.1","72.1"
"679","77","77","77"
"689","103.4","103.4","103.4"
"699","74.9","74.9","74.9"
"709","69.9","69.9","69.9"
"719","89.2","89.2","89.2"
"729","103.9","103.9","103.9"
"739","81.6","81.6","81.6"
"749","77.1","77.1","77.1"
"759","103","103","103"
"769","68.6","68.6","68.6"
"779","78.3","78.3","78.3"
"789","68.7","68.7","68.7"
"799","99","99","99"
"809","85","85","85"
"819","210.8","210.8","210.8"
"829","75.4","75.4","75.4"
"839","62.8","62.8","62.8"
"849","129.6","129.6","129.6"
"859","105.6","105.6","105.6"
"869","78.5","78.5","78.5"
"879","138.7","138.7","138.7"
"889","122.9","122.9","122.9"
"899","102.9","102.9","102.9"
"909","112.2","112.2","112.2"
"919","74.4","74.4","74.4"
"929","96.5","96.5","96.5"
"939","119","119","119"
"949","117.8","117.8","117.8"
"959","113.9","113.9","113.9"
"969","100.5","100.5","100.5"
"979","74.9","74.9","74.9"
"989","70.7","70.7","70.7"
"999","68.9","68.9","68.9"
"1009","109.9","109.9","109.9"
"1019","90.8","90.8","90.8"
"1029","164.9","164.9","164.9"
"1039","77.3","77.3","77.3"
"1049","124.2","124.2","124.2"
"1059","70.9","70.9","70.9"
"1069","120.3","120.3","120.3"
"1079","176.1","176.1","176.1"
"1089","133.7","133.7","133.7"
"1099","76.1","76.1","76.1"
"1109","97.6","97.6","97.6"
"1119","119.7","119.7","119.7"
"1129","118.3","118.3","118.3"
"1139","111","111","111"
"1149","117.9","117.9","117.9"
"1159","86.1","86.1","86.1"
"1169","92.5","92.5","92.5"
"1179","143.9","143.9","143.9"
"1189","277.1","277.1","277.1"
"1199","150.8","150.8","150.8"
"1209","116.5","116.5","116.5"
"1219","103.2","103.2","103.2"
"1229","111.6","111.6","111.6"
"1239","300","300","300"
"1249","142.1","142.1","142.1"
"1259","95.5","95.5","95.5"
"1269","166.8","166.8","166.8"
"1279","75","75","75"
"1289","103.4","103.4","103.4"
"1299","111.9","111.9","111.9"
"1309","153.7","153.7","153.7"
"1319","135.4","135.4","135.4"
"1329","75.2","75.2","75.2"
"1339","118.8","118.8","118.8"
"1349","125.1","125.1","125.1"
"1359","279","279","279"
"1369","228.5","228.5","228.5"
"1379","125.6","125.6","125.6"
"1389","77.7","77.7","77.7"
"1399","213.1","213.1","213.1"
"1409","257","257","257"
"1419","122.2","122.2","122.2"
"1429","191.7","191.7","191.7"
"1439","104.2","104.2","104.2"
"1449","140.1","140.1","140.1"
"1459","80.5","80.5","80.5"
"1469","166.5","166.5","166.5"
"1479","102.2","102.2","102.2"
"1489","92.5","92.5","92.5"
"1499","218.1","218.1","218.1"
"1509","134.7","134.7","134.7"
"1519","189.8","189.8","189.8"
"1529","129","129","129"
"1539","221.8","221.8","221.8"
"1549","252.5","252.5","252.5"
"1559","155","155","155"
"1569","125.4","125.4","125.4"
"1579","124.5","124.5","124.5"
"1589","76.5","76.5","76.5"
"1599","102.6","102.6","102.6"
"1609","98.1","98.1","98.1"
"1619","73","73","73"
"1629","85.5","85.5","85.5"
"1639","147.4","147.4","147.4"
"1649","122.6","122.6","122.6"
"1659","104.9","104.9","104.9"
"1669","131.6","131.6","131.6"
"1679","146","146","146"
"1689","112.8","112.8","112.8"
"1699","97.1","97.1","97.1"
"1709","119.9","119.9","119.9"
"1719","86.2","86.2","86.2"
"1729","121.2","121.2","121.2"
"1739","85.6","85.6","85.6"
"1749","128.2","128.2","128.2"
"1759","79","79","79"
"1769","97.1","97.1","97.1"
"1779","109.3","109.3","109.3"
"1789","124.6","124.6","124.6"
"1799","83.2","83.2","83.2"
"1809","80.3","80.3","80.3"
"1819","95.6","95.6","95.6"
"1829","214.8","214.8","214.8"
"1839","131.6","131.6","131.6"
"1849","95.7","95.7","95.7"
"1859","175.7","175.7","175.7"
"1869","129.9","129.9","129.9"
"1879","103.9","103.9","103.9"
"1889","184.7","184.7","184.7"
"1899","105.9","105.9","105.9"
"1909","184.1","184.1","184.1"
"1919","109.3","109.3","109.3"
"1929","142.9","142.9","142.9"
"1939","140.9","140.9","140.9"
"1949","117.3","117.3","117.3"
"1959","163.9","163.9","163.9"
"1969","70.9","70.9","70.9"
"1979","144.8","144.8","144.8"
"1989","97.7","97.7","97.7"
"1999","170.9","170.9","170.9"
