"Step","maddpg_painting_gnn__33ba2a40_24_09_12-14_36_42 - eval/reward/episode_len_mean","maddpg_painting_gnn__33ba2a40_24_09_12-14_36_42 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__33ba2a40_24_09_12-14_36_42 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","277.2","277.2","277.2"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","253","253","253"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","254","254","254"
"319","280.6","280.6","280.6"
"329","211.9","211.9","211.9"
"339","278.6","278.6","278.6"
"349","276.4","276.4","276.4"
"359","187.5","187.5","187.5"
"369","182.2","182.2","182.2"
"379","252.4","252.4","252.4"
"389","230.9","230.9","230.9"
"399","300","300","300"
"409","160.2","160.2","160.2"
"419","233.5","233.5","233.5"
"429","210.4","210.4","210.4"
"439","229","229","229"
"449","233","233","233"
"459","159.4","159.4","159.4"
"469","211.1","211.1","211.1"
"479","209.1","209.1","209.1"
"489","190.9","190.9","190.9"
"499","91.3","91.3","91.3"
"509","162.6","162.6","162.6"
"519","140.8","140.8","140.8"
"529","164.3","164.3","164.3"
"539","82.2","82.2","82.2"
"549","119.9","119.9","119.9"
"559","126.1","126.1","126.1"
"569","102.5","102.5","102.5"
"579","74.2","74.2","74.2"
"589","113","113","113"
"599","102.7","102.7","102.7"
"609","97.6","97.6","97.6"
"619","65.4","65.4","65.4"
"629","118.5","118.5","118.5"
"639","102","102","102"
"649","112.2","112.2","112.2"
"659","73.8","73.8","73.8"
"669","64.5","64.5","64.5"
"679","114.3","114.3","114.3"
"689","101.9","101.9","101.9"
"699","64.8","64.8","64.8"
"709","77.7","77.7","77.7"
"719","76.2","76.2","76.2"
"729","106.4","106.4","106.4"
"739","97.5","97.5","97.5"
"749","77.6","77.6","77.6"
"759","63.9","63.9","63.9"
"769","84.9","84.9","84.9"
"779","66.3","66.3","66.3"
"789","76.9","76.9","76.9"
"799","90.8","90.8","90.8"
"809","96.5","96.5","96.5"
"819","72.6","72.6","72.6"
"829","71.3","71.3","71.3"
"839","73.9","73.9","73.9"
"849","80.6","80.6","80.6"
"859","76.3","76.3","76.3"
"869","99","99","99"
"879","68.4","68.4","68.4"
"889","68.2","68.2","68.2"
"899","78.3","78.3","78.3"
"909","117.3","117.3","117.3"
"919","94.8","94.8","94.8"
"929","97.6","97.6","97.6"
"939","88.7","88.7","88.7"
"949","127.8","127.8","127.8"
"959","124.8","124.8","124.8"
"969","140.3","140.3","140.3"
"979","137.6","137.6","137.6"
"989","201.6","201.6","201.6"
"999","143.1","143.1","143.1"
"1009","94.7","94.7","94.7"
"1019","148.5","148.5","148.5"
"1029","105.9","105.9","105.9"
"1039","77.3","77.3","77.3"
"1049","122.8","122.8","122.8"
"1059","72.6","72.6","72.6"
"1069","97.9","97.9","97.9"
"1079","79.9","79.9","79.9"
"1089","78.7","78.7","78.7"
"1099","136.9","136.9","136.9"
"1109","82.8","82.8","82.8"
"1119","98.9","98.9","98.9"
"1129","166.8","166.8","166.8"
"1139","144.9","144.9","144.9"
"1149","108.1","108.1","108.1"
"1159","126.5","126.5","126.5"
"1169","144.9","144.9","144.9"
"1179","262.1","262.1","262.1"
"1189","300","300","300"
"1199","300","300","300"
"1209","300","300","300"
"1219","286.4","286.4","286.4"
"1229","300","300","300"
"1239","294.4","294.4","294.4"
"1249","300","300","300"
"1259","300","300","300"
"1269","300","300","300"
"1279","300","300","300"
"1289","300","300","300"
"1299","300","300","300"
"1309","300","300","300"
"1319","300","300","300"
"1329","300","300","300"
"1339","300","300","300"
"1349","300","300","300"
"1359","294.6","294.6","294.6"
"1369","300","300","300"
"1379","300","300","300"
"1389","300","300","300"
"1399","300","300","300"
"1409","300","300","300"
"1419","300","300","300"
"1429","300","300","300"
"1439","300","300","300"
"1449","300","300","300"
"1459","300","300","300"
"1469","300","300","300"
"1479","300","300","300"
"1489","300","300","300"
"1499","300","300","300"
"1509","300","300","300"
"1519","300","300","300"
"1529","300","300","300"
"1539","300","300","300"
"1549","300","300","300"
"1559","300","300","300"
"1569","300","300","300"
"1579","300","300","300"
"1589","300","300","300"
"1599","300","300","300"
"1609","300","300","300"
"1619","300","300","300"
"1629","300","300","300"
"1639","300","300","300"
"1649","292","292","292"
"1659","300","300","300"
"1669","300","300","300"
"1679","300","300","300"
"1689","300","300","300"
"1699","300","300","300"
"1709","300","300","300"
"1719","300","300","300"
"1729","300","300","300"
"1739","300","300","300"
"1749","300","300","300"
"1759","300","300","300"
"1769","300","300","300"
"1779","300","300","300"
"1789","258","258","258"
"1799","300","300","300"
"1809","300","300","300"
"1819","300","300","300"
"1829","212.3","212.3","212.3"
"1839","287.3","287.3","287.3"
"1849","289.7","289.7","289.7"
"1859","292.8","292.8","292.8"
"1869","300","300","300"
"1879","288.4","288.4","288.4"
"1889","300","300","300"
"1899","300","300","300"
"1909","260.5","260.5","260.5"
"1919","263.9","263.9","263.9"
"1929","300","300","300"
"1939","243.7","243.7","243.7"
"1949","254.8","254.8","254.8"
"1959","240.2","240.2","240.2"
"1969","253.9","253.9","253.9"
"1979","300","300","300"
"1989","239.3","239.3","239.3"
"1999","213.8","213.8","213.8"
