"Step","maddpg_painting_gnn__4b6ad68d_24_09_12-14_36_34 - eval/reward/episode_len_mean","maddpg_painting_gnn__4b6ad68d_24_09_12-14_36_34 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__4b6ad68d_24_09_12-14_36_34 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","277.5","277.5","277.5"
"269","300","300","300"
"279","276.3","276.3","276.3"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","278.5","278.5","278.5"
"329","276.8","276.8","276.8"
"339","246.7","246.7","246.7"
"349","300","300","300"
"359","300","300","300"
"369","253.7","253.7","253.7"
"379","250","250","250"
"389","253.6","253.6","253.6"
"399","205.9","205.9","205.9"
"409","283.3","283.3","283.3"
"419","167.7","167.7","167.7"
"429","250.9","250.9","250.9"
"439","254.4","254.4","254.4"
"449","258","258","258"
"459","227.7","227.7","227.7"
"469","205.3","205.3","205.3"
"479","115.7","115.7","115.7"
"489","159.8","159.8","159.8"
"499","136.4","136.4","136.4"
"509","93.6","93.6","93.6"
"519","93.8","93.8","93.8"
"529","103.4","103.4","103.4"
"539","78.2","78.2","78.2"
"549","93.3","93.3","93.3"
"559","64.8","64.8","64.8"
"569","65.9","65.9","65.9"
"579","81.5","81.5","81.5"
"589","121.8","121.8","121.8"
"599","84.5","84.5","84.5"
"609","73.5","73.5","73.5"
"619","77.2","77.2","77.2"
"629","69.3","69.3","69.3"
"639","76.1","76.1","76.1"
"649","69.3","69.3","69.3"
"659","120.6","120.6","120.6"
"669","69.7","69.7","69.7"
"679","65.4","65.4","65.4"
"689","80.8","80.8","80.8"
"699","65.5","65.5","65.5"
"709","83.8","83.8","83.8"
"719","74.1","74.1","74.1"
"729","69.3","69.3","69.3"
"739","89.4","89.4","89.4"
"749","62.8","62.8","62.8"
"759","79.6","79.6","79.6"
"769","63.9","63.9","63.9"
"779","57.3","57.3","57.3"
"789","70.9","70.9","70.9"
"799","96.8","96.8","96.8"
"809","80.6","80.6","80.6"
"819","85.4","85.4","85.4"
"829","81.8","81.8","81.8"
"839","76.1","76.1","76.1"
"849","79.2","79.2","79.2"
"859","65.4","65.4","65.4"
"869","80","80","80"
"879","67.9","67.9","67.9"
"889","66.2","66.2","66.2"
"899","76.8","76.8","76.8"
"909","61.8","61.8","61.8"
"919","93.1","93.1","93.1"
"929","67.2","67.2","67.2"
"939","76.4","76.4","76.4"
"949","84.1","84.1","84.1"
"959","79","79","79"
"969","85.7","85.7","85.7"
"979","77.6","77.6","77.6"
"989","109.3","109.3","109.3"
"999","74.8","74.8","74.8"
"1009","62.8","62.8","62.8"
"1019","78.9","78.9","78.9"
"1029","102.8","102.8","102.8"
"1039","94.5","94.5","94.5"
"1049","75.1","75.1","75.1"
"1059","82","82","82"
"1069","67.6","67.6","67.6"
"1079","85.8","85.8","85.8"
"1089","74.8","74.8","74.8"
"1099","75.9","75.9","75.9"
"1109","73.2","73.2","73.2"
"1119","98.3","98.3","98.3"
"1129","71","71","71"
"1139","97.7","97.7","97.7"
"1149","56.7","56.7","56.7"
"1159","74.3","74.3","74.3"
"1169","102.6","102.6","102.6"
"1179","105.9","105.9","105.9"
"1189","73.4","73.4","73.4"
"1199","77.2","77.2","77.2"
"1209","92.4","92.4","92.4"
"1219","99.3","99.3","99.3"
"1229","96.8","96.8","96.8"
"1239","80.7","80.7","80.7"
"1249","83.8","83.8","83.8"
"1259","96.8","96.8","96.8"
"1269","106.3","106.3","106.3"
"1279","183.6","183.6","183.6"
"1289","177.3","177.3","177.3"
"1299","262.3","262.3","262.3"
"1309","300","300","300"
"1319","300","300","300"
"1329","283.6","283.6","283.6"
"1339","289.5","289.5","289.5"
"1349","300","300","300"
"1359","300","300","300"
"1369","300","300","300"
"1379","300","300","300"
"1389","300","300","300"
"1399","300","300","300"
"1409","300","300","300"
"1419","300","300","300"
"1429","300","300","300"
"1439","300","300","300"
"1449","300","300","300"
"1459","300","300","300"
"1469","300","300","300"
"1479","300","300","300"
"1489","300","300","300"
"1499","300","300","300"
"1509","300","300","300"
"1519","300","300","300"
"1529","300","300","300"
"1539","300","300","300"
"1549","285.3","285.3","285.3"
"1559","300","300","300"
"1569","300","300","300"
"1579","300","300","300"
"1589","300","300","300"
"1599","300","300","300"
"1609","300","300","300"
"1619","300","300","300"
"1629","300","300","300"
"1639","300","300","300"
"1649","300","300","300"
"1659","300","300","300"
"1669","300","300","300"
"1679","300","300","300"
"1689","276.7","276.7","276.7"
"1699","300","300","300"
"1709","300","300","300"
"1719","300","300","300"
"1729","300","300","300"
"1739","279.9","279.9","279.9"
"1749","274.6","274.6","274.6"
"1759","300","300","300"
"1769","280.6","280.6","280.6"
"1779","300","300","300"
"1789","300","300","300"
"1799","273.1","273.1","273.1"
"1809","283.4","283.4","283.4"
"1819","300","300","300"
"1829","265.7","265.7","265.7"
"1839","295.7","295.7","295.7"
"1849","230.2","230.2","230.2"
"1859","289.8","289.8","289.8"
"1869","260.5","260.5","260.5"
"1879","238.4","238.4","238.4"
"1889","266.7","266.7","266.7"
"1899","219.3","219.3","219.3"
"1909","282.9","282.9","282.9"
"1919","260.6","260.6","260.6"
"1929","258.8","258.8","258.8"
"1939","261.3","261.3","261.3"
"1949","261.6","261.6","261.6"
"1959","197.8","197.8","197.8"
"1969","247.4","247.4","247.4"
"1979","235.2","235.2","235.2"
"1989","225.3","225.3","225.3"
"1999","241.2","241.2","241.2"
