"Step","maddpg_painting_gnn__4d5b39ca_24_09_12-14_36_34 - eval/reward/episode_len_mean","maddpg_painting_gnn__4d5b39ca_24_09_12-14_36_34 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__4d5b39ca_24_09_12-14_36_34 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","277.5","277.5","277.5"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","274.7","274.7","274.7"
"249","300","300","300"
"259","300","300","300"
"269","277.6","277.6","277.6"
"279","276.1","276.1","276.1"
"289","278.4","278.4","278.4"
"299","300","300","300"
"309","257","257","257"
"319","300","300","300"
"329","277.1","277.1","277.1"
"339","255.9","255.9","255.9"
"349","277.3","277.3","277.3"
"359","253.1","253.1","253.1"
"369","230.2","230.2","230.2"
"379","278.3","278.3","278.3"
"389","228.2","228.2","228.2"
"399","251.8","251.8","251.8"
"409","276.4","276.4","276.4"
"419","203.2","203.2","203.2"
"429","165.6","165.6","165.6"
"439","204","204","204"
"449","116.8","116.8","116.8"
"459","135.7","135.7","135.7"
"469","198.2","198.2","198.2"
"479","94.2","94.2","94.2"
"489","182.1","182.1","182.1"
"499","165.4","165.4","165.4"
"509","119.9","119.9","119.9"
"519","72","72","72"
"529","78.9","78.9","78.9"
"539","89.5","89.5","89.5"
"549","91.3","91.3","91.3"
"559","163.4","163.4","163.4"
"569","81.2","81.2","81.2"
"579","69.1","69.1","69.1"
"589","72.8","72.8","72.8"
"599","97.5","97.5","97.5"
"609","76.3","76.3","76.3"
"619","67.6","67.6","67.6"
"629","90.5","90.5","90.5"
"639","99.1","99.1","99.1"
"649","60.7","60.7","60.7"
"659","68.9","68.9","68.9"
"669","69.2","69.2","69.2"
"679","78.6","78.6","78.6"
"689","75.7","75.7","75.7"
"699","66.6","66.6","66.6"
"709","88.2","88.2","88.2"
"719","94.9","94.9","94.9"
"729","66.1","66.1","66.1"
"739","96.9","96.9","96.9"
"749","78.1","78.1","78.1"
"759","94.3","94.3","94.3"
"769","153.8","153.8","153.8"
"779","95.9","95.9","95.9"
"789","63.7","63.7","63.7"
"799","72.7","72.7","72.7"
"809","71.9","71.9","71.9"
"819","98.8","98.8","98.8"
"829","114.8","114.8","114.8"
"839","75.1","75.1","75.1"
"849","74.2","74.2","74.2"
"859","84.1","84.1","84.1"
"869","88.5","88.5","88.5"
"879","76.9","76.9","76.9"
"889","99.2","99.2","99.2"
"899","95.4","95.4","95.4"
"909","95.7","95.7","95.7"
"919","84.8","84.8","84.8"
"929","93.6","93.6","93.6"
"939","76.5","76.5","76.5"
"949","90.6","90.6","90.6"
"959","99.2","99.2","99.2"
"969","128.6","128.6","128.6"
"979","210.4","210.4","210.4"
"989","270.2","270.2","270.2"
"999","260.8","260.8","260.8"
"1009","236.6","236.6","236.6"
"1019","300","300","300"
"1029","300","300","300"
"1039","300","300","300"
"1049","263.9","263.9","263.9"
"1059","300","300","300"
"1069","297.6","297.6","297.6"
"1079","278.9","278.9","278.9"
"1089","267","267","267"
"1099","285.7","285.7","285.7"
"1109","275.2","275.2","275.2"
"1119","300","300","300"
"1129","288.1","288.1","288.1"
"1139","268","268","268"
"1149","294.7","294.7","294.7"
"1159","287.6","287.6","287.6"
"1169","300","300","300"
"1179","300","300","300"
"1189","300","300","300"
"1199","280.6","280.6","280.6"
"1209","300","300","300"
"1219","272.1","272.1","272.1"
"1229","285.6","285.6","285.6"
"1239","284","284","284"
"1249","289.8","289.8","289.8"
"1259","297.4","297.4","297.4"
"1269","300","300","300"
"1279","300","300","300"
"1289","300","300","300"
"1299","300","300","300"
"1309","286","286","286"
"1319","287.4","287.4","287.4"
"1329","300","300","300"
"1339","286.6","286.6","286.6"
"1349","277.7","277.7","277.7"
"1359","300","300","300"
"1369","300","300","300"
"1379","290.7","290.7","290.7"
"1389","282.2","282.2","282.2"
"1399","300","300","300"
"1409","266.6","266.6","266.6"
"1419","300","300","300"
"1429","300","300","300"
"1439","300","300","300"
"1449","300","300","300"
"1459","300","300","300"
"1469","300","300","300"
"1479","300","300","300"
"1489","300","300","300"
"1499","282.9","282.9","282.9"
"1509","300","300","300"
"1519","300","300","300"
"1529","300","300","300"
"1539","300","300","300"
"1549","300","300","300"
"1559","300","300","300"
"1569","300","300","300"
"1579","300","300","300"
"1589","300","300","300"
"1599","287","287","287"
"1609","300","300","300"
"1619","300","300","300"
"1629","279.9","279.9","279.9"
"1639","300","300","300"
"1649","300","300","300"
"1659","300","300","300"
"1669","300","300","300"
"1679","300","300","300"
"1689","300","300","300"
"1699","300","300","300"
"1709","300","300","300"
"1719","300","300","300"
"1729","300","300","300"
"1739","232.1","232.1","232.1"
"1749","288.3","288.3","288.3"
"1759","280.2","280.2","280.2"
"1769","300","300","300"
"1779","248.7","248.7","248.7"
"1789","264.7","264.7","264.7"
"1799","240.7","240.7","240.7"
"1809","226.7","226.7","226.7"
"1819","262.8","262.8","262.8"
"1829","240","240","240"
"1839","249.7","249.7","249.7"
"1849","221","221","221"
"1859","187.7","187.7","187.7"
"1869","197.3","197.3","197.3"
"1879","156.6","156.6","156.6"
"1889","243.5","243.5","243.5"
"1899","235.9","235.9","235.9"
"1909","199.2","199.2","199.2"
"1919","193.9","193.9","193.9"
"1929","221","221","221"
"1939","134.4","134.4","134.4"
"1949","233.6","233.6","233.6"
"1959","166.6","166.6","166.6"
"1969","155.8","155.8","155.8"
"1979","132","132","132"
"1989","135.6","135.6","135.6"
"1999","127.7","127.7","127.7"
