"Step","maddpg_painting_gnn__6aa0ecde_24_09_12-14_36_34 - eval/reward/episode_len_mean","maddpg_painting_gnn__6aa0ecde_24_09_12-14_36_34 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__6aa0ecde_24_09_12-14_36_34 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","278.8","278.8","278.8"
"289","256.3","256.3","256.3"
"299","300","300","300"
"309","300","300","300"
"319","276.1","276.1","276.1"
"329","252.7","252.7","252.7"
"339","276.2","276.2","276.2"
"349","251.7","251.7","251.7"
"359","252.9","252.9","252.9"
"369","279.7","279.7","279.7"
"379","227","227","227"
"389","155.1","155.1","155.1"
"399","187.5","187.5","187.5"
"409","278","278","278"
"419","256.7","256.7","256.7"
"429","276.6","276.6","276.6"
"439","229.5","229.5","229.5"
"449","202","202","202"
"459","276.2","276.2","276.2"
"469","185.3","185.3","185.3"
"479","205.2","205.2","205.2"
"489","257.2","257.2","257.2"
"499","201.3","201.3","201.3"
"509","159.8","159.8","159.8"
"519","91.4","91.4","91.4"
"529","143.6","143.6","143.6"
"539","138.7","138.7","138.7"
"549","123.1","123.1","123.1"
"559","76.1","76.1","76.1"
"569","64.8","64.8","64.8"
"579","80.8","80.8","80.8"
"589","114","114","114"
"599","97.3","97.3","97.3"
"609","83.6","83.6","83.6"
"619","95.5","95.5","95.5"
"629","71.5","71.5","71.5"
"639","91.7","91.7","91.7"
"649","79.3","79.3","79.3"
"659","136.7","136.7","136.7"
"669","78.6","78.6","78.6"
"679","70.6","70.6","70.6"
"689","74.7","74.7","74.7"
"699","56.6","56.6","56.6"
"709","92.1","92.1","92.1"
"719","84","84","84"
"729","78.4","78.4","78.4"
"739","69.7","69.7","69.7"
"749","90.8","90.8","90.8"
"759","121.4","121.4","121.4"
"769","64","64","64"
"779","71.5","71.5","71.5"
"789","70.9","70.9","70.9"
"799","99.6","99.6","99.6"
"809","82.4","82.4","82.4"
"819","69.4","69.4","69.4"
"829","82.4","82.4","82.4"
"839","104.9","104.9","104.9"
"849","91","91","91"
"859","77.4","77.4","77.4"
"869","79.4","79.4","79.4"
"879","100.5","100.5","100.5"
"889","78.9","78.9","78.9"
"899","78.1","78.1","78.1"
"909","71.4","71.4","71.4"
"919","74.4","74.4","74.4"
"929","95.3","95.3","95.3"
"939","106","106","106"
"949","84.7","84.7","84.7"
"959","93.8","93.8","93.8"
"969","73.3","73.3","73.3"
"979","105.9","105.9","105.9"
"989","104.2","104.2","104.2"
"999","90.4","90.4","90.4"
"1009","86.5","86.5","86.5"
"1019","74.9","74.9","74.9"
"1029","73.9","73.9","73.9"
"1039","75.6","75.6","75.6"
"1049","81.8","81.8","81.8"
"1059","87.6","87.6","87.6"
"1069","84","84","84"
"1079","106","106","106"
"1089","106.5","106.5","106.5"
"1099","143.7","143.7","143.7"
"1109","167.4","167.4","167.4"
"1119","81.4","81.4","81.4"
"1129","79.3","79.3","79.3"
"1139","122.4","122.4","122.4"
"1149","129","129","129"
"1159","200.6","200.6","200.6"
"1169","155.3","155.3","155.3"
"1179","168.4","168.4","168.4"
"1189","171.9","171.9","171.9"
"1199","195.9","195.9","195.9"
"1209","241.2","241.2","241.2"
"1219","300","300","300"
"1229","284.9","284.9","284.9"
"1239","300","300","300"
"1249","300","300","300"
"1259","298","298","298"
"1269","277.6","277.6","277.6"
"1279","291","291","291"
"1289","294.3","294.3","294.3"
"1299","300","300","300"
"1309","300","300","300"
"1319","300","300","300"
"1329","300","300","300"
"1339","300","300","300"
"1349","293","293","293"
"1359","281.4","281.4","281.4"
"1369","300","300","300"
"1379","300","300","300"
"1389","300","300","300"
"1399","300","300","300"
"1409","300","300","300"
"1419","300","300","300"
"1429","300","300","300"
"1439","300","300","300"
"1449","300","300","300"
"1459","300","300","300"
"1469","300","300","300"
"1479","300","300","300"
"1489","300","300","300"
"1499","300","300","300"
"1509","300","300","300"
"1519","300","300","300"
"1529","300","300","300"
"1539","300","300","300"
"1549","300","300","300"
"1559","300","300","300"
"1569","300","300","300"
"1579","300","300","300"
"1589","300","300","300"
"1599","300","300","300"
"1609","300","300","300"
"1619","300","300","300"
"1629","300","300","300"
"1639","300","300","300"
"1649","300","300","300"
"1659","300","300","300"
"1669","300","300","300"
"1679","300","300","300"
"1689","300","300","300"
"1699","300","300","300"
"1709","300","300","300"
"1719","300","300","300"
"1729","300","300","300"
"1739","300","300","300"
"1749","300","300","300"
"1759","300","300","300"
"1769","300","300","300"
"1779","298.4","298.4","298.4"
"1789","297.7","297.7","297.7"
"1799","300","300","300"
"1809","300","300","300"
"1819","294.7","294.7","294.7"
"1829","283.2","283.2","283.2"
"1839","283.5","283.5","283.5"
"1849","264","264","264"
"1859","267.7","267.7","267.7"
"1869","275.7","275.7","275.7"
"1879","286.5","286.5","286.5"
"1889","298.8","298.8","298.8"
"1899","254.4","254.4","254.4"
"1909","232.8","232.8","232.8"
"1919","190.9","190.9","190.9"
"1929","238.1","238.1","238.1"
"1939","239.2","239.2","239.2"
"1949","124.1","124.1","124.1"
"1959","234.6","234.6","234.6"
"1969","151.3","151.3","151.3"
"1979","214","214","214"
"1989","192.5","192.5","192.5"
"1999","231","231","231"
