"Step","maddpg_painting_gnn__7e2ec422_24_09_12-14_36_34 - eval/reward/episode_len_mean","maddpg_painting_gnn__7e2ec422_24_09_12-14_36_34 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__7e2ec422_24_09_12-14_36_34 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","280.1","280.1","280.1"
"349","300","300","300"
"359","300","300","300"
"369","231.7","231.7","231.7"
"379","213","213","213"
"389","183.3","183.3","183.3"
"399","257.1","257.1","257.1"
"409","274.3","274.3","274.3"
"419","180.2","180.2","180.2"
"429","207.1","207.1","207.1"
"439","259.5","259.5","259.5"
"449","188.8","188.8","188.8"
"459","158.6","158.6","158.6"
"469","188.4","188.4","188.4"
"479","162","162","162"
"489","142.9","142.9","142.9"
"499","111.3","111.3","111.3"
"509","122.4","122.4","122.4"
"519","98.5","98.5","98.5"
"529","183.3","183.3","183.3"
"539","96.4","96.4","96.4"
"549","112.8","112.8","112.8"
"559","99.8","99.8","99.8"
"569","79.4","79.4","79.4"
"579","66.2","66.2","66.2"
"589","68.3","68.3","68.3"
"599","79.6","79.6","79.6"
"609","70.6","70.6","70.6"
"619","69.4","69.4","69.4"
"629","73.8","73.8","73.8"
"639","91.4","91.4","91.4"
"649","70.2","70.2","70.2"
"659","73.4","73.4","73.4"
"669","81.1","81.1","81.1"
"679","72.4","72.4","72.4"
"689","74.6","74.6","74.6"
"699","77.5","77.5","77.5"
"709","89.1","89.1","89.1"
"719","90.4","90.4","90.4"
"729","73.6","73.6","73.6"
"739","72.7","72.7","72.7"
"749","70.5","70.5","70.5"
"759","88.7","88.7","88.7"
"769","69.8","69.8","69.8"
"779","70.3","70.3","70.3"
"789","73.9","73.9","73.9"
"799","98.9","98.9","98.9"
"809","105","105","105"
"819","80.1","80.1","80.1"
"829","93.7","93.7","93.7"
"839","70.9","70.9","70.9"
"849","99.3","99.3","99.3"
"859","65.5","65.5","65.5"
"869","80.1","80.1","80.1"
"879","76.1","76.1","76.1"
"889","91.6","91.6","91.6"
"899","92","92","92"
"909","75.9","75.9","75.9"
"919","89.6","89.6","89.6"
"929","81.6","81.6","81.6"
"939","58.7","58.7","58.7"
"949","70.4","70.4","70.4"
"959","77.7","77.7","77.7"
"969","104.8","104.8","104.8"
"979","71.2","71.2","71.2"
"989","72.6","72.6","72.6"
"999","68.1","68.1","68.1"
"1009","81.4","81.4","81.4"
"1019","76.8","76.8","76.8"
"1029","86","86","86"
"1039","77.4","77.4","77.4"
"1049","75.3","75.3","75.3"
"1059","82.8","82.8","82.8"
"1069","95","95","95"
"1079","70.7","70.7","70.7"
"1089","122.3","122.3","122.3"
"1099","81.6","81.6","81.6"
"1109","82","82","82"
"1119","68.1","68.1","68.1"
"1129","71.6","71.6","71.6"
"1139","69.8","69.8","69.8"
"1149","62.4","62.4","62.4"
"1159","81.9","81.9","81.9"
"1169","133.6","133.6","133.6"
"1179","78.2","78.2","78.2"
"1189","80.6","80.6","80.6"
"1199","87.8","87.8","87.8"
"1209","75.2","75.2","75.2"
"1219","85.4","85.4","85.4"
"1229","100.1","100.1","100.1"
"1239","78.8","78.8","78.8"
"1249","119.1","119.1","119.1"
"1259","95.8","95.8","95.8"
"1269","78.6","78.6","78.6"
"1279","106","106","106"
"1289","85.1","85.1","85.1"
"1299","67.1","67.1","67.1"
"1309","111","111","111"
"1319","96.4","96.4","96.4"
"1329","97.4","97.4","97.4"
"1339","84.5","84.5","84.5"
"1349","70.5","70.5","70.5"
"1359","77.2","77.2","77.2"
"1369","108.8","108.8","108.8"
"1379","80.9","80.9","80.9"
"1389","85.5","85.5","85.5"
"1399","74.8","74.8","74.8"
"1409","90.9","90.9","90.9"
"1419","74.2","74.2","74.2"
"1429","95.6","95.6","95.6"
"1439","74.1","74.1","74.1"
"1449","80.7","80.7","80.7"
"1459","144.4","144.4","144.4"
"1469","81.2","81.2","81.2"
"1479","75.9","75.9","75.9"
"1489","79.5","79.5","79.5"
"1499","91.6","91.6","91.6"
"1509","105","105","105"
"1519","97.8","97.8","97.8"
"1529","99.2","99.2","99.2"
"1539","92.5","92.5","92.5"
"1549","104.3","104.3","104.3"
"1559","107.1","107.1","107.1"
"1569","89.4","89.4","89.4"
"1579","85","85","85"
"1589","92.6","92.6","92.6"
"1599","126.5","126.5","126.5"
"1609","85.5","85.5","85.5"
"1619","109.9","109.9","109.9"
"1629","100.6","100.6","100.6"
"1639","113.8","113.8","113.8"
"1649","112","112","112"
"1659","161.3","161.3","161.3"
"1669","100.1","100.1","100.1"
"1679","88.1","88.1","88.1"
"1689","93.3","93.3","93.3"
"1699","112.7","112.7","112.7"
"1709","94.3","94.3","94.3"
"1719","97.8","97.8","97.8"
"1729","117.8","117.8","117.8"
"1739","82.3","82.3","82.3"
"1749","123.2","123.2","123.2"
"1759","91.2","91.2","91.2"
"1769","99.9","99.9","99.9"
"1779","98.6","98.6","98.6"
"1789","85.3","85.3","85.3"
"1799","148.6","148.6","148.6"
"1809","132.8","132.8","132.8"
"1819","148","148","148"
"1829","114","114","114"
"1839","126.7","126.7","126.7"
"1849","101.5","101.5","101.5"
"1859","87.2","87.2","87.2"
"1869","184.3","184.3","184.3"
"1879","207.1","207.1","207.1"
"1889","260.3","260.3","260.3"
"1899","300","300","300"
"1909","255.3","255.3","255.3"
"1919","249.9","249.9","249.9"
