"Step","maddpg_painting_gnn__369ca12d_24_09_10-10_25_01 - eval/reward/episode_len_mean","maddpg_painting_gnn__369ca12d_24_09_10-10_25_01 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__369ca12d_24_09_10-10_25_01 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","276.6","276.6","276.6"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","274.9","274.9","274.9"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","276.3","276.3","276.3"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","251.6","251.6","251.6"
"519","277.6","277.6","277.6"
"529","252.9","252.9","252.9"
"539","277.4","277.4","277.4"
"549","206","206","206"
"559","276.5","276.5","276.5"
"569","255.5","255.5","255.5"
"579","256.6","256.6","256.6"
"589","202.8","202.8","202.8"
"599","273.9","273.9","273.9"
"609","251.1","251.1","251.1"
"619","278.7","278.7","278.7"
"629","231.7","231.7","231.7"
"639","210.9","210.9","210.9"
"649","226.3","226.3","226.3"
"659","248.1","248.1","248.1"
"669","207.4","207.4","207.4"
"679","207.1","207.1","207.1"
"689","198.9","198.9","198.9"
"699","186.9","186.9","186.9"
"709","135.7","135.7","135.7"
"719","160.8","160.8","160.8"
"729","180.2","180.2","180.2"
"739","188.5","188.5","188.5"
"749","160.1","160.1","160.1"
"759","115","115","115"
"769","159.9","159.9","159.9"
"779","128.2","128.2","128.2"
"789","144","144","144"
"799","104.5","104.5","104.5"
"809","142.7","142.7","142.7"
"819","207.5","207.5","207.5"
"829","152.4","152.4","152.4"
"839","89.3","89.3","89.3"
"849","121.3","121.3","121.3"
"859","88.8","88.8","88.8"
"869","186.6","186.6","186.6"
"879","168.4","168.4","168.4"
"889","164.1","164.1","164.1"
"899","157.8","157.8","157.8"
"909","121.5","121.5","121.5"
"919","215.2","215.2","215.2"
"929","192.8","192.8","192.8"
"939","100.9","100.9","100.9"
"949","190.4","190.4","190.4"
"959","189","189","189"
"969","148","148","148"
"979","169.7","169.7","169.7"
"989","231.2","231.2","231.2"
"999","162.8","162.8","162.8"
"1009","152.1","152.1","152.1"
"1019","130.4","130.4","130.4"
"1029","136.5","136.5","136.5"
"1039","99.1","99.1","99.1"
"1049","167.6","167.6","167.6"
"1059","170.3","170.3","170.3"
"1069","146.9","146.9","146.9"
"1079","144.4","144.4","144.4"
"1089","90","90","90"
"1099","112.2","112.2","112.2"
"1109","119.7","119.7","119.7"
"1119","91.7","91.7","91.7"
"1129","141.2","141.2","141.2"
"1139","140.3","140.3","140.3"
"1149","116.7","116.7","116.7"
"1159","133.6","133.6","133.6"
"1169","146.9","146.9","146.9"
"1179","138.5","138.5","138.5"
"1189","163.5","163.5","163.5"
"1199","132.3","132.3","132.3"
"1209","110","110","110"
"1219","142.9","142.9","142.9"
"1229","136.9","136.9","136.9"
"1239","161.9","161.9","161.9"
"1249","214.3","214.3","214.3"
"1259","193.5","193.5","193.5"
"1269","211.4","211.4","211.4"
"1279","157.3","157.3","157.3"
"1289","233.9","233.9","233.9"
"1299","163.5","163.5","163.5"
"1309","148.4","148.4","148.4"
"1319","150.9","150.9","150.9"
"1329","119.3","119.3","119.3"
"1339","227.6","227.6","227.6"
"1349","88.6","88.6","88.6"
"1359","150","150","150"
"1369","177.1","177.1","177.1"
"1379","146.4","146.4","146.4"
"1389","143.9","143.9","143.9"
"1399","165.3","165.3","165.3"
"1409","137.3","137.3","137.3"
"1419","148.3","148.3","148.3"
"1429","279.7","279.7","279.7"
"1439","258.8","258.8","258.8"
"1449","146.3","146.3","146.3"
"1459","144.9","144.9","144.9"
"1469","186.9","186.9","186.9"
"1479","129.5","129.5","129.5"
"1489","165.6","165.6","165.6"
"1499","171.6","171.6","171.6"
"1509","233.2","233.2","233.2"
"1519","218.4","218.4","218.4"
"1529","162.5","162.5","162.5"
"1539","135.6","135.6","135.6"
"1549","172.1","172.1","172.1"
"1559","232.4","232.4","232.4"
"1569","114.3","114.3","114.3"
"1579","255.7","255.7","255.7"
"1589","99.2","99.2","99.2"
"1599","140.3","140.3","140.3"
"1609","130.1","130.1","130.1"
"1619","97.5","97.5","97.5"
"1629","135.2","135.2","135.2"
"1639","157.4","157.4","157.4"
"1649","93.4","93.4","93.4"
"1659","83.8","83.8","83.8"
"1669","100.5","100.5","100.5"
"1679","169.3","169.3","169.3"
"1689","166.7","166.7","166.7"
"1699","138.5","138.5","138.5"
"1709","139.8","139.8","139.8"
"1719","75.6","75.6","75.6"
"1729","153.6","153.6","153.6"
"1739","127.3","127.3","127.3"
"1749","103.7","103.7","103.7"
"1759","121.6","121.6","121.6"
"1769","138.9","138.9","138.9"
"1779","146.6","146.6","146.6"
"1789","175.6","175.6","175.6"
"1799","117.2","117.2","117.2"
"1809","128.2","128.2","128.2"
"1819","143.8","143.8","143.8"
"1829","200.7","200.7","200.7"
"1839","145","145","145"
"1849","127","127","127"
"1859","172","172","172"
"1869","140","140","140"
"1879","73","73","73"
"1889","120.9","120.9","120.9"
"1899","128.7","128.7","128.7"
"1909","120.1","120.1","120.1"
"1919","137.2","137.2","137.2"
"1929","122.7","122.7","122.7"
"1939","97.1","97.1","97.1"
"1949","98.8","98.8","98.8"
