"Step","iddpg_painting_gnn__e5073f8d_24_09_14-20_17_55 - eval/reward/episode_len_mean","iddpg_painting_gnn__e5073f8d_24_09_14-20_17_55 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__e5073f8d_24_09_14-20_17_55 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","255.1","255.1","255.1"
"319","278.6","278.6","278.6"
"329","300","300","300"
"339","300","300","300"
"349","279.6","279.6","279.6"
"359","300","300","300"
"369","277.2","277.2","277.2"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","277.7","277.7","277.7"
"429","276.8","276.8","276.8"
"439","278.6","278.6","278.6"
"449","253.1","253.1","253.1"
"459","210.3","210.3","210.3"
"469","229.4","229.4","229.4"
"479","275.2","275.2","275.2"
"489","208.6","208.6","208.6"
"499","177","177","177"
"509","250.5","250.5","250.5"
"519","253.3","253.3","253.3"
"529","253","253","253"
"539","211.9","211.9","211.9"
"549","254.9","254.9","254.9"
"559","237.8","237.8","237.8"
"569","181","181","181"
"579","207.7","207.7","207.7"
"589","211.3","211.3","211.3"
"599","205","205","205"
"609","229.7","229.7","229.7"
"619","232.7","232.7","232.7"
"629","161.3","161.3","161.3"
"639","165.5","165.5","165.5"
"649","94","94","94"
"659","137.4","137.4","137.4"
"669","151.9","151.9","151.9"
"679","207.7","207.7","207.7"
"689","212.1","212.1","212.1"
"699","140","140","140"
"709","158.6","158.6","158.6"
"719","184.9","184.9","184.9"
"729","187.2","187.2","187.2"
"739","141.5","141.5","141.5"
"749","137","137","137"
"759","113.9","113.9","113.9"
"769","120.3","120.3","120.3"
"779","118","118","118"
"789","120.2","120.2","120.2"
"799","68.1","68.1","68.1"
"809","135.4","135.4","135.4"
"819","57.7","57.7","57.7"
"829","104.2","104.2","104.2"
"839","107","107","107"
"849","143.4","143.4","143.4"
"859","145.5","145.5","145.5"
"869","143.8","143.8","143.8"
"879","93.8","93.8","93.8"
"889","74.6","74.6","74.6"
"899","162.8","162.8","162.8"
"909","95.7","95.7","95.7"
"919","161.9","161.9","161.9"
"929","92.1","92.1","92.1"
"939","75.2","75.2","75.2"
"949","87.4","87.4","87.4"
"959","124.1","124.1","124.1"
"969","92.3","92.3","92.3"
"979","95.3","95.3","95.3"
"989","87.6","87.6","87.6"
"999","69.9","69.9","69.9"
"1009","111.6","111.6","111.6"
"1019","97.5","97.5","97.5"
"1029","113.9","113.9","113.9"
"1039","92.7","92.7","92.7"
"1049","93.4","93.4","93.4"
"1059","98.7","98.7","98.7"
"1069","112.9","112.9","112.9"
"1079","98.7","98.7","98.7"
"1089","84.7","84.7","84.7"
"1099","103.3","103.3","103.3"
"1109","115.5","115.5","115.5"
"1119","115.4","115.4","115.4"
"1129","92.9","92.9","92.9"
"1139","133.8","133.8","133.8"
"1149","116","116","116"
"1159","103.2","103.2","103.2"
"1169","122","122","122"
"1179","152.1","152.1","152.1"
"1189","100.7","100.7","100.7"
"1199","63.9","63.9","63.9"
"1209","115.2","115.2","115.2"
"1219","114.4","114.4","114.4"
"1229","135.2","135.2","135.2"
"1239","94.7","94.7","94.7"
"1249","96.7","96.7","96.7"
"1259","121.1","121.1","121.1"
"1269","137.9","137.9","137.9"
"1279","114.2","114.2","114.2"
"1289","128.6","128.6","128.6"
"1299","82.3","82.3","82.3"
"1309","74.9","74.9","74.9"
"1319","76.8","76.8","76.8"
"1329","147","147","147"
"1339","127.5","127.5","127.5"
"1349","120.6","120.6","120.6"
"1359","119.6","119.6","119.6"
"1369","142.2","142.2","142.2"
"1379","87.2","87.2","87.2"
"1389","99.6","99.6","99.6"
"1399","138.8","138.8","138.8"
"1409","134.3","134.3","134.3"
"1419","77.9","77.9","77.9"
"1429","146.1","146.1","146.1"
"1439","137.8","137.8","137.8"
"1449","99.6","99.6","99.6"
"1459","98.7","98.7","98.7"
"1469","97.7","97.7","97.7"
"1479","91.1","91.1","91.1"
"1489","97.8","97.8","97.8"
"1499","108.6","108.6","108.6"
"1509","92","92","92"
"1519","141.2","141.2","141.2"
"1529","141.6","141.6","141.6"
"1539","140.2","140.2","140.2"
"1549","90.1","90.1","90.1"
"1559","146.1","146.1","146.1"
"1569","141.2","141.2","141.2"
"1579","87.6","87.6","87.6"
"1589","144.1","144.1","144.1"
"1599","114.6","114.6","114.6"
"1609","103.9","103.9","103.9"
"1619","84.7","84.7","84.7"
"1629","137.4","137.4","137.4"
"1639","73.6","73.6","73.6"
"1649","117.6","117.6","117.6"
"1659","116.8","116.8","116.8"
"1669","73","73","73"
"1679","95.8","95.8","95.8"
"1689","94.2","94.2","94.2"
"1699","121.8","121.8","121.8"
"1709","117.1","117.1","117.1"
"1719","183.5","183.5","183.5"
"1729","85.2","85.2","85.2"
"1739","100.4","100.4","100.4"
"1749","94.7","94.7","94.7"
"1759","70.1","70.1","70.1"
"1769","110.5","110.5","110.5"
"1779","88.5","88.5","88.5"
"1789","97.7","97.7","97.7"
"1799","124.7","124.7","124.7"
"1809","67","67","67"
"1819","68","68","68"
"1829","120.6","120.6","120.6"
"1839","105.2","105.2","105.2"
"1849","121.3","121.3","121.3"
"1859","60.7","60.7","60.7"
"1869","193","193","193"
"1879","89.7","89.7","89.7"
"1889","81.5","81.5","81.5"
"1899","94.9","94.9","94.9"
"1909","102.6","102.6","102.6"
"1919","90.7","90.7","90.7"
"1929","92.5","92.5","92.5"
