"Step","maddpg_painting_gnn__2fb606f5_24_09_10-10_25_02 - eval/reward/episode_len_mean","maddpg_painting_gnn__2fb606f5_24_09_10-10_25_02 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__2fb606f5_24_09_10-10_25_02 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","276.2","276.2","276.2"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","278.3","278.3","278.3"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","253.3","253.3","253.3"
"459","275.5","275.5","275.5"
"469","300","300","300"
"479","300","300","300"
"489","280.2","280.2","280.2"
"499","276.4","276.4","276.4"
"509","274.6","274.6","274.6"
"519","254.4","254.4","254.4"
"529","253.9","253.9","253.9"
"539","232.5","232.5","232.5"
"549","230.9","230.9","230.9"
"559","227.4","227.4","227.4"
"569","254.5","254.5","254.5"
"579","253.2","253.2","253.2"
"589","206.4","206.4","206.4"
"599","256","256","256"
"609","253.8","253.8","253.8"
"619","204.1","204.1","204.1"
"629","162.5","162.5","162.5"
"639","250.4","250.4","250.4"
"649","139.4","139.4","139.4"
"659","213.3","213.3","213.3"
"669","123","123","123"
"679","115.6","115.6","115.6"
"689","137.4","137.4","137.4"
"699","131.9","131.9","131.9"
"709","114.1","114.1","114.1"
"719","142.3","142.3","142.3"
"729","163.5","163.5","163.5"
"739","159.5","159.5","159.5"
"749","156.9","156.9","156.9"
"759","166.1","166.1","166.1"
"769","99.1","99.1","99.1"
"779","162.8","162.8","162.8"
"789","138.1","138.1","138.1"
"799","164.8","164.8","164.8"
"809","125.6","125.6","125.6"
"819","98.5","98.5","98.5"
"829","144.2","144.2","144.2"
"839","105.7","105.7","105.7"
"849","141","141","141"
"859","163.5","163.5","163.5"
"869","140.3","140.3","140.3"
"879","129.7","129.7","129.7"
"889","218.1","218.1","218.1"
"899","182.4","182.4","182.4"
"909","163.1","163.1","163.1"
"919","139.1","139.1","139.1"
"929","181.1","181.1","181.1"
"939","108.1","108.1","108.1"
"949","167.7","167.7","167.7"
"959","118.4","118.4","118.4"
"969","143.5","143.5","143.5"
"979","118.8","118.8","118.8"
"989","160.1","160.1","160.1"
"999","95.8","95.8","95.8"
"1009","147.6","147.6","147.6"
"1019","192.7","192.7","192.7"
"1029","206.7","206.7","206.7"
"1039","148.7","148.7","148.7"
"1049","140.9","140.9","140.9"
"1059","124.4","124.4","124.4"
"1069","213","213","213"
"1079","145.9","145.9","145.9"
"1089","192.9","192.9","192.9"
"1099","173","173","173"
"1109","156.1","156.1","156.1"
"1119","192.9","192.9","192.9"
"1129","183.4","183.4","183.4"
"1139","134.6","134.6","134.6"
"1149","187.4","187.4","187.4"
"1159","113.7","113.7","113.7"
"1169","141.6","141.6","141.6"
"1179","164.6","164.6","164.6"
"1189","164.4","164.4","164.4"
"1199","120.9","120.9","120.9"
"1209","126.9","126.9","126.9"
"1219","133.2","133.2","133.2"
"1229","126","126","126"
"1239","184.7","184.7","184.7"
"1249","146.4","146.4","146.4"
"1259","99","99","99"
"1269","147.1","147.1","147.1"
"1279","104.9","104.9","104.9"
"1289","186.9","186.9","186.9"
"1299","186.6","186.6","186.6"
"1309","194.7","194.7","194.7"
"1319","152.1","152.1","152.1"
"1329","165.9","165.9","165.9"
"1339","148.5","148.5","148.5"
"1349","167.8","167.8","167.8"
"1359","194.4","194.4","194.4"
"1369","251","251","251"
"1379","257.6","257.6","257.6"
"1389","163.9","163.9","163.9"
"1399","206.2","206.2","206.2"
"1409","196.8","196.8","196.8"
"1419","208.3","208.3","208.3"
"1429","144.2","144.2","144.2"
"1439","156.6","156.6","156.6"
"1449","164","164","164"
"1459","128.8","128.8","128.8"
"1469","212.2","212.2","212.2"
"1479","186.4","186.4","186.4"
"1489","278.5","278.5","278.5"
"1499","257.1","257.1","257.1"
"1509","208.1","208.1","208.1"
"1519","220.2","220.2","220.2"
"1529","252","252","252"
"1539","276","276","276"
"1549","227.4","227.4","227.4"
"1559","159.6","159.6","159.6"
"1569","144.8","144.8","144.8"
"1579","206.6","206.6","206.6"
"1589","181","181","181"
"1599","234.5","234.5","234.5"
"1609","234.4","234.4","234.4"
"1619","207.9","207.9","207.9"
"1629","219.4","219.4","219.4"
"1639","190.7","190.7","190.7"
"1649","161.8","161.8","161.8"
"1659","195.8","195.8","195.8"
"1669","162.1","162.1","162.1"
"1679","160.3","160.3","160.3"
"1689","240.3","240.3","240.3"
"1699","169.2","169.2","169.2"
"1709","234","234","234"
"1719","259.2","259.2","259.2"
"1729","264.5","264.5","264.5"
"1739","167.5","167.5","167.5"
"1749","179.5","179.5","179.5"
"1759","143.9","143.9","143.9"
"1769","190.4","190.4","190.4"
"1779","134.1","134.1","134.1"
"1789","261.7","261.7","261.7"
"1799","211.5","211.5","211.5"
"1809","279.5","279.5","279.5"
"1819","182.8","182.8","182.8"
"1829","230.5","230.5","230.5"
"1839","208.6","208.6","208.6"
"1849","159","159","159"
"1859","182.6","182.6","182.6"
"1869","185.9","185.9","185.9"
"1879","188.9","188.9","188.9"
"1889","300","300","300"
"1899","257.8","257.8","257.8"
"1909","204","204","204"
"1919","211.3","211.3","211.3"
"1929","217.4","217.4","217.4"
"1939","209.5","209.5","209.5"
"1949","210.3","210.3","210.3"
