"Step","maddpg_painting_gnn__53bd1b77_24_09_10-10_25_01 - eval/reward/episode_len_mean","maddpg_painting_gnn__53bd1b77_24_09_10-10_25_01 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__53bd1b77_24_09_10-10_25_01 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","250.2","250.2","250.2"
"439","254.1","254.1","254.1"
"449","278.6","278.6","278.6"
"459","272.6","272.6","272.6"
"469","300","300","300"
"479","278.8","278.8","278.8"
"489","277.6","277.6","277.6"
"499","251.2","251.2","251.2"
"509","234.9","234.9","234.9"
"519","275.7","275.7","275.7"
"529","300","300","300"
"539","213.1","213.1","213.1"
"549","280.9","280.9","280.9"
"559","276.1","276.1","276.1"
"569","237.6","237.6","237.6"
"579","232.8","232.8","232.8"
"589","256.3","256.3","256.3"
"599","245.3","245.3","245.3"
"609","186.8","186.8","186.8"
"619","275.7","275.7","275.7"
"629","186","186","186"
"639","232.3","232.3","232.3"
"649","211.2","211.2","211.2"
"659","210.6","210.6","210.6"
"669","113.1","113.1","113.1"
"679","119.1","119.1","119.1"
"689","193.9","193.9","193.9"
"699","191","191","191"
"709","122.1","122.1","122.1"
"719","236.6","236.6","236.6"
"729","170.5","170.5","170.5"
"739","207.8","207.8","207.8"
"749","142.8","142.8","142.8"
"759","122.3","122.3","122.3"
"769","139.8","139.8","139.8"
"779","113.1","113.1","113.1"
"789","115.5","115.5","115.5"
"799","143.6","143.6","143.6"
"809","102.7","102.7","102.7"
"819","132.8","132.8","132.8"
"829","123","123","123"
"839","136.4","136.4","136.4"
"849","177.3","177.3","177.3"
"859","126.6","126.6","126.6"
"869","162","162","162"
"879","82.4","82.4","82.4"
"889","187.8","187.8","187.8"
"899","67.1","67.1","67.1"
"909","216.9","216.9","216.9"
"919","144.5","144.5","144.5"
"929","170.1","170.1","170.1"
"939","191.6","191.6","191.6"
"949","138.4","138.4","138.4"
"959","133.3","133.3","133.3"
"969","142.9","142.9","142.9"
"979","150.7","150.7","150.7"
"989","169.3","169.3","169.3"
"999","172.3","172.3","172.3"
"1009","144.2","144.2","144.2"
"1019","144.8","144.8","144.8"
"1029","109.4","109.4","109.4"
"1039","139.8","139.8","139.8"
"1049","164.2","164.2","164.2"
"1059","109.2","109.2","109.2"
"1069","121.7","121.7","121.7"
"1079","169.9","169.9","169.9"
"1089","122.2","122.2","122.2"
"1099","187.8","187.8","187.8"
"1109","236","236","236"
"1119","99.2","99.2","99.2"
"1129","161","161","161"
"1139","165","165","165"
"1149","180.1","180.1","180.1"
"1159","121.4","121.4","121.4"
"1169","190.6","190.6","190.6"
"1179","120.7","120.7","120.7"
"1189","168.8","168.8","168.8"
"1199","209.8","209.8","209.8"
"1209","234.4","234.4","234.4"
"1219","255.7","255.7","255.7"
"1229","182.8","182.8","182.8"
"1239","254","254","254"
"1249","187.9","187.9","187.9"
"1259","128.1","128.1","128.1"
"1269","125.5","125.5","125.5"
"1279","162.4","162.4","162.4"
"1289","208.4","208.4","208.4"
"1299","104.7","104.7","104.7"
"1309","175","175","175"
"1319","161","161","161"
"1329","136.2","136.2","136.2"
"1339","158.3","158.3","158.3"
"1349","182.5","182.5","182.5"
"1359","162.5","162.5","162.5"
"1369","183","183","183"
"1379","236.2","236.2","236.2"
"1389","173.4","173.4","173.4"
"1399","164.4","164.4","164.4"
"1409","102.2","102.2","102.2"
"1419","208.7","208.7","208.7"
"1429","172.7","172.7","172.7"
"1439","139.9","139.9","139.9"
"1449","120.1","120.1","120.1"
"1459","137","137","137"
"1469","138.6","138.6","138.6"
"1479","115.7","115.7","115.7"
"1489","151.4","151.4","151.4"
"1499","187.3","187.3","187.3"
"1509","161.1","161.1","161.1"
"1519","162.5","162.5","162.5"
"1529","168.8","168.8","168.8"
"1539","160.5","160.5","160.5"
"1549","141.3","141.3","141.3"
"1559","163.8","163.8","163.8"
"1569","182.7","182.7","182.7"
"1579","137.2","137.2","137.2"
"1589","122.9","122.9","122.9"
"1599","130.5","130.5","130.5"
"1609","280.1","280.1","280.1"
"1619","183.8","183.8","183.8"
"1629","169.5","169.5","169.5"
"1639","186.2","186.2","186.2"
"1649","210.1","210.1","210.1"
"1659","95.3","95.3","95.3"
"1669","211.9","211.9","211.9"
"1679","189.8","189.8","189.8"
"1689","124.5","124.5","124.5"
"1699","195.9","195.9","195.9"
"1709","186.4","186.4","186.4"
"1719","164.8","164.8","164.8"
"1729","165.9","165.9","165.9"
"1739","118.9","118.9","118.9"
"1749","172.9","172.9","172.9"
"1759","93","93","93"
"1769","143.5","143.5","143.5"
"1779","121.8","121.8","121.8"
"1789","103.3","103.3","103.3"
"1799","147.8","147.8","147.8"
"1809","169.6","169.6","169.6"
"1819","137.9","137.9","137.9"
"1829","76.2","76.2","76.2"
"1839","141","141","141"
"1849","126.9","126.9","126.9"
"1859","140.5","140.5","140.5"
"1869","169.2","169.2","169.2"
"1879","154.4","154.4","154.4"
"1889","146.5","146.5","146.5"
"1899","184","184","184"
"1909","76","76","76"
"1919","177.1","177.1","177.1"
"1929","215.5","215.5","215.5"
"1939","143.4","143.4","143.4"
"1949","138.7","138.7","138.7"
