"Step","maddpg_painting_gnn__68a89e5f_24_09_10-10_25_00 - eval/reward/episode_len_mean","maddpg_painting_gnn__68a89e5f_24_09_10-10_25_00 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__68a89e5f_24_09_10-10_25_00 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","278.2","278.2","278.2"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","284.3","284.3","284.3"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","277.4","277.4","277.4"
"429","300","300","300"
"439","300","300","300"
"449","276.1","276.1","276.1"
"459","279.1","279.1","279.1"
"469","277.8","277.8","277.8"
"479","254.3","254.3","254.3"
"489","255","255","255"
"499","300","300","300"
"509","227.9","227.9","227.9"
"519","274.7","274.7","274.7"
"529","227.9","227.9","227.9"
"539","230.9","230.9","230.9"
"549","209.1","209.1","209.1"
"559","232.4","232.4","232.4"
"569","204.9","204.9","204.9"
"579","230.3","230.3","230.3"
"589","142.4","142.4","142.4"
"599","255","255","255"
"609","188.4","188.4","188.4"
"619","184.7","184.7","184.7"
"629","207.7","207.7","207.7"
"639","188.5","188.5","188.5"
"649","152.8","152.8","152.8"
"659","110.2","110.2","110.2"
"669","99.1","99.1","99.1"
"679","162.5","162.5","162.5"
"689","120.2","120.2","120.2"
"699","141.2","141.2","141.2"
"709","163.9","163.9","163.9"
"719","93.6","93.6","93.6"
"729","205.1","205.1","205.1"
"739","119.5","119.5","119.5"
"749","138.2","138.2","138.2"
"759","161.5","161.5","161.5"
"769","76","76","76"
"779","97.9","97.9","97.9"
"789","119.9","119.9","119.9"
"799","113.7","113.7","113.7"
"809","185.2","185.2","185.2"
"819","168.7","168.7","168.7"
"829","79.6","79.6","79.6"
"839","148.8","148.8","148.8"
"849","163.6","163.6","163.6"
"859","178.3","178.3","178.3"
"869","180.7","180.7","180.7"
"879","165.3","165.3","165.3"
"889","148.3","148.3","148.3"
"899","151.2","151.2","151.2"
"909","143.3","143.3","143.3"
"919","109.5","109.5","109.5"
"929","106.3","106.3","106.3"
"939","168.1","168.1","168.1"
"949","216.6","216.6","216.6"
"959","130.9","130.9","130.9"
"969","162.5","162.5","162.5"
"979","189","189","189"
"989","162.9","162.9","162.9"
"999","105.2","105.2","105.2"
"1009","97.9","97.9","97.9"
"1019","183.6","183.6","183.6"
"1029","123","123","123"
"1039","141.2","141.2","141.2"
"1049","167.1","167.1","167.1"
"1059","138.7","138.7","138.7"
"1069","89.9","89.9","89.9"
"1079","124.5","124.5","124.5"
"1089","157.8","157.8","157.8"
"1099","118.9","118.9","118.9"
"1109","102.9","102.9","102.9"
"1119","133.5","133.5","133.5"
"1129","121.1","121.1","121.1"
"1139","142.2","142.2","142.2"
"1149","117.1","117.1","117.1"
"1159","119.4","119.4","119.4"
"1169","150.8","150.8","150.8"
"1179","164.7","164.7","164.7"
"1189","129.4","129.4","129.4"
"1199","112.9","112.9","112.9"
"1209","147.2","147.2","147.2"
"1219","156.9","156.9","156.9"
"1229","168.6","168.6","168.6"
"1239","143.5","143.5","143.5"
"1249","94.3","94.3","94.3"
"1259","213.4","213.4","213.4"
"1269","136.7","136.7","136.7"
"1279","145.6","145.6","145.6"
"1289","184.8","184.8","184.8"
"1299","184","184","184"
"1309","128.5","128.5","128.5"
"1319","134.2","134.2","134.2"
"1329","175.8","175.8","175.8"
"1339","79.3","79.3","79.3"
"1349","122.6","122.6","122.6"
"1359","170.5","170.5","170.5"
"1369","148.9","148.9","148.9"
"1379","140.3","140.3","140.3"
"1389","109.1","109.1","109.1"
"1399","163.5","163.5","163.5"
"1409","109.5","109.5","109.5"
"1419","163.2","163.2","163.2"
"1429","170.9","170.9","170.9"
"1439","193.5","193.5","193.5"
"1449","119.4","119.4","119.4"
"1459","188.1","188.1","188.1"
"1469","129.8","129.8","129.8"
"1479","165.4","165.4","165.4"
"1489","114.9","114.9","114.9"
"1499","143.8","143.8","143.8"
"1509","168.9","168.9","168.9"
"1519","207","207","207"
"1529","162.4","162.4","162.4"
"1539","99.4","99.4","99.4"
"1549","130.3","130.3","130.3"
"1559","149.8","149.8","149.8"
"1569","119.7","119.7","119.7"
"1579","135.6","135.6","135.6"
"1589","118.7","118.7","118.7"
"1599","114.6","114.6","114.6"
"1609","144.4","144.4","144.4"
"1619","131.4","131.4","131.4"
"1629","110.6","110.6","110.6"
"1639","87.5","87.5","87.5"
"1649","154.3","154.3","154.3"
"1659","151.5","151.5","151.5"
"1669","130.8","130.8","130.8"
"1679","169.7","169.7","169.7"
"1689","152.2","152.2","152.2"
"1699","211.1","211.1","211.1"
"1709","169.9","169.9","169.9"
"1719","127.7","127.7","127.7"
"1729","124.5","124.5","124.5"
"1739","172.6","172.6","172.6"
"1749","139.3","139.3","139.3"
"1759","190.1","190.1","190.1"
"1769","148.1","148.1","148.1"
"1779","178.9","178.9","178.9"
"1789","189.1","189.1","189.1"
"1799","178","178","178"
"1809","121.4","121.4","121.4"
"1819","125.2","125.2","125.2"
"1829","122.8","122.8","122.8"
"1839","115.7","115.7","115.7"
"1849","147.7","147.7","147.7"
"1859","187.6","187.6","187.6"
"1869","167.7","167.7","167.7"
"1879","148.9","148.9","148.9"
"1889","171.2","171.2","171.2"
"1899","140","140","140"
"1909","175","175","175"
"1919","150.6","150.6","150.6"
