"Step","maddpg_painting_gnn__1fa5b289_24_09_17-16_08_33 - eval/reward/episode_len_mean","maddpg_painting_gnn__1fa5b289_24_09_17-16_08_33 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__1fa5b289_24_09_17-16_08_33 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","300","300","300"
"569","300","300","300"
"579","300","300","300"
"589","300","300","300"
"599","300","300","300"
"609","300","300","300"
"619","300","300","300"
"629","300","300","300"
"639","300","300","300"
"649","284.7","284.7","284.7"
"659","256.3","256.3","256.3"
"669","211","211","211"
"679","230.1","230.1","230.1"
"689","205.2","205.2","205.2"
"699","228","228","228"
"709","230.3","230.3","230.3"
"719","180.6","180.6","180.6"
"729","234","234","234"
"739","276.2","276.2","276.2"
"749","188.8","188.8","188.8"
"759","257.1","257.1","257.1"
"769","190.4","190.4","190.4"
"779","178.1","178.1","178.1"
"789","252.8","252.8","252.8"
"799","208.9","208.9","208.9"
"809","200.3","200.3","200.3"
"819","253.5","253.5","253.5"
"829","278.5","278.5","278.5"
"839","250.8","250.8","250.8"
"849","249.7","249.7","249.7"
"859","255.1","255.1","255.1"
"869","235.4","235.4","235.4"
"879","278.8","278.8","278.8"
"889","161.9","161.9","161.9"
"899","230.3","230.3","230.3"
"909","140.6","140.6","140.6"
"919","300","300","300"
"929","195.2","195.2","195.2"
"939","147.1","147.1","147.1"
"949","216.4","216.4","216.4"
"959","233.1","233.1","233.1"
"969","230.7","230.7","230.7"
"979","186.4","186.4","186.4"
"989","187.8","187.8","187.8"
"999","143.7","143.7","143.7"
"1009","166.5","166.5","166.5"
"1019","228.9","228.9","228.9"
"1029","165.4","165.4","165.4"
"1039","131","131","131"
"1049","167.3","167.3","167.3"
"1059","211.4","211.4","211.4"
"1069","231.3","231.3","231.3"
"1079","161.2","161.2","161.2"
"1089","204.1","204.1","204.1"
"1099","254.7","254.7","254.7"
"1109","236.1","236.1","236.1"
"1119","214.5","214.5","214.5"
"1129","133.1","133.1","133.1"
"1139","162.8","162.8","162.8"
"1149","300","300","300"
"1159","229.3","229.3","229.3"
"1169","234.4","234.4","234.4"
"1179","190.1","190.1","190.1"
"1189","213.7","213.7","213.7"
"1199","226.3","226.3","226.3"
"1209","160","160","160"
"1219","143.2","143.2","143.2"
"1229","196.8","196.8","196.8"
"1239","215.8","215.8","215.8"
"1249","231.5","231.5","231.5"
"1259","153.4","153.4","153.4"
"1269","210.7","210.7","210.7"
"1279","166.2","166.2","166.2"
"1289","122.8","122.8","122.8"
"1299","164","164","164"
"1309","214.2","214.2","214.2"
"1319","232.2","232.2","232.2"
"1329","233.1","233.1","233.1"
"1339","231.4","231.4","231.4"
"1349","227.7","227.7","227.7"
"1359","209","209","209"
"1369","192.8","192.8","192.8"
"1379","123.7","123.7","123.7"
"1389","188.2","188.2","188.2"
"1399","252.2","252.2","252.2"
"1409","181.4","181.4","181.4"
"1419","194.6","194.6","194.6"
"1429","147.1","147.1","147.1"
"1439","120.2","120.2","120.2"
"1449","147.3","147.3","147.3"
"1459","183.6","183.6","183.6"
"1469","111.3","111.3","111.3"
"1479","190.1","190.1","190.1"
"1489","211.7","211.7","211.7"
"1499","177","177","177"
"1509","212.7","212.7","212.7"
"1519","217.6","217.6","217.6"
"1529","210.3","210.3","210.3"
"1539","183.8","183.8","183.8"
"1549","162.8","162.8","162.8"
"1559","68.5","68.5","68.5"
"1569","210.9","210.9","210.9"
"1579","163.2","163.2","163.2"
"1589","228.7","228.7","228.7"
"1599","160.6","160.6","160.6"
"1609","214","214","214"
"1619","173.8","173.8","173.8"
"1629","159.4","159.4","159.4"
"1639","141","141","141"
"1649","206.9","206.9","206.9"
"1659","138","138","138"
"1669","186.6","186.6","186.6"
"1679","122.9","122.9","122.9"
"1689","121.5","121.5","121.5"
"1699","184.9","184.9","184.9"
"1709","97","97","97"
"1719","188.2","188.2","188.2"
"1729","171.5","171.5","171.5"
"1739","210.6","210.6","210.6"
"1749","168.3","168.3","168.3"
"1759","118.8","118.8","118.8"
"1769","115.9","115.9","115.9"
"1779","121","121","121"
"1789","96.3","96.3","96.3"
"1799","192.1","192.1","192.1"
"1809","165.9","165.9","165.9"
"1819","135.9","135.9","135.9"
"1829","117.9","117.9","117.9"
"1839","228.6","228.6","228.6"
"1849","136.1","136.1","136.1"
"1859","206.7","206.7","206.7"
"1869","108.6","108.6","108.6"
"1879","114.1","114.1","114.1"
"1889","185.2","185.2","185.2"
"1899","212.2","212.2","212.2"
"1909","203.9","203.9","203.9"
"1919","99.1","99.1","99.1"
"1929","144.2","144.2","144.2"
"1939","300","300","300"
"1949","300","300","300"
"1959","135.8","135.8","135.8"
"1969","207.8","207.8","207.8"
"1979","210.9","210.9","210.9"
"1989","128.4","128.4","128.4"
"1999","206.3","206.3","206.3"
