"Step","maddpg_painting_gnn__3544277c_24_09_17-11_24_16 - eval/reward/episode_len_mean","maddpg_painting_gnn__3544277c_24_09_17-11_24_16 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__3544277c_24_09_17-11_24_16 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","300","300","300"
"569","300","300","300"
"579","300","300","300"
"589","300","300","300"
"599","300","300","300"
"609","300","300","300"
"619","300","300","300"
"629","276.9","276.9","276.9"
"639","233","233","233"
"649","257.2","257.2","257.2"
"659","158.6","158.6","158.6"
"669","207.6","207.6","207.6"
"679","200.3","200.3","200.3"
"689","273.8","273.8","273.8"
"699","276.1","276.1","276.1"
"709","143.1","143.1","143.1"
"719","188.8","188.8","188.8"
"729","187","187","187"
"739","141.8","141.8","141.8"
"749","141.6","141.6","141.6"
"759","279.5","279.5","279.5"
"769","232.8","232.8","232.8"
"779","253.3","253.3","253.3"
"789","233","233","233"
"799","202.7","202.7","202.7"
"809","157","157","157"
"819","253.2","253.2","253.2"
"829","300","300","300"
"839","300","300","300"
"849","252.4","252.4","252.4"
"859","279.1","279.1","279.1"
"869","274.7","274.7","274.7"
"879","280.4","280.4","280.4"
"889","233.3","233.3","233.3"
"899","189.7","189.7","189.7"
"909","249.5","249.5","249.5"
"919","226.9","226.9","226.9"
"929","169.7","169.7","169.7"
"939","275.3","275.3","275.3"
"949","233.4","233.4","233.4"
"959","229.4","229.4","229.4"
"969","279.9","279.9","279.9"
"979","210.3","210.3","210.3"
"989","181.6","181.6","181.6"
"999","227.1","227.1","227.1"
"1009","180.4","180.4","180.4"
"1019","206.6","206.6","206.6"
"1029","260","260","260"
"1039","181.4","181.4","181.4"
"1049","212.2","212.2","212.2"
"1059","160.5","160.5","160.5"
"1069","233","233","233"
"1079","214.4","214.4","214.4"
"1089","255.3","255.3","255.3"
"1099","253.2","253.2","253.2"
"1109","214.9","214.9","214.9"
"1119","189.8","189.8","189.8"
"1129","131.2","131.2","131.2"
"1139","161.7","161.7","161.7"
"1149","165.4","165.4","165.4"
"1159","234.3","234.3","234.3"
"1169","210.6","210.6","210.6"
"1179","170","170","170"
"1189","140","140","140"
"1199","143.6","143.6","143.6"
"1209","133.4","133.4","133.4"
"1219","186.8","186.8","186.8"
"1229","181.3","181.3","181.3"
"1239","189.1","189.1","189.1"
"1249","168.1","168.1","168.1"
"1259","185.9","185.9","185.9"
"1269","161.6","161.6","161.6"
"1279","194.4","194.4","194.4"
"1289","157.1","157.1","157.1"
"1299","161.3","161.3","161.3"
"1309","159.1","159.1","159.1"
"1319","160.7","160.7","160.7"
"1329","190.4","190.4","190.4"
"1339","230.7","230.7","230.7"
"1349","220.5","220.5","220.5"
"1359","138.7","138.7","138.7"
"1369","137","137","137"
"1379","155","155","155"
"1389","177.5","177.5","177.5"
"1399","232.7","232.7","232.7"
"1409","210.2","210.2","210.2"
"1419","141.2","141.2","141.2"
"1429","143.3","143.3","143.3"
"1439","119.5","119.5","119.5"
"1449","115.4","115.4","115.4"
"1459","124.9","124.9","124.9"
"1469","143.6","143.6","143.6"
"1479","191.6","191.6","191.6"
"1489","185.1","185.1","185.1"
"1499","231.6","231.6","231.6"
"1509","226.6","226.6","226.6"
"1519","226.8","226.8","226.8"
"1529","214.4","214.4","214.4"
"1539","186.7","186.7","186.7"
"1549","118.6","118.6","118.6"
"1559","148.9","148.9","148.9"
"1569","132.9","132.9","132.9"
"1579","146.1","146.1","146.1"
"1589","191.2","191.2","191.2"
"1599","148.9","148.9","148.9"
"1609","254.2","254.2","254.2"
"1619","120.5","120.5","120.5"
"1629","278.6","278.6","278.6"
"1639","192.6","192.6","192.6"
"1649","144.9","144.9","144.9"
"1659","159.9","159.9","159.9"
"1669","210.9","210.9","210.9"
"1679","233.8","233.8","233.8"
"1689","160.2","160.2","160.2"
"1699","139.9","139.9","139.9"
"1709","213.7","213.7","213.7"
"1719","231.7","231.7","231.7"
"1729","254.2","254.2","254.2"
"1739","258.7","258.7","258.7"
"1749","207.7","207.7","207.7"
"1759","258.7","258.7","258.7"
"1769","230.6","230.6","230.6"
"1779","209.1","209.1","209.1"
"1789","230.2","230.2","230.2"
"1799","134.6","134.6","134.6"
"1809","193","193","193"
"1819","163.2","163.2","163.2"
"1829","149.6","149.6","149.6"
"1839","134.9","134.9","134.9"
"1849","135.2","135.2","135.2"
"1859","213.9","213.9","213.9"
"1869","117.4","117.4","117.4"
"1879","186.9","186.9","186.9"
"1889","131.1","131.1","131.1"
"1899","182.2","182.2","182.2"
"1909","176.4","176.4","176.4"
"1919","181.7","181.7","181.7"
"1929","185.2","185.2","185.2"
"1939","131.4","131.4","131.4"
"1949","163.8","163.8","163.8"
"1959","111.7","111.7","111.7"
"1969","215.5","215.5","215.5"
"1979","187.2","187.2","187.2"
"1989","225.3","225.3","225.3"
"1999","184.7","184.7","184.7"
