"Step","maddpg_painting_gnn__54f461b9_24_09_17-15_08_33 - eval/reward/episode_len_mean","maddpg_painting_gnn__54f461b9_24_09_17-15_08_33 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__54f461b9_24_09_17-15_08_33 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","300","300","300"
"569","300","300","300"
"579","300","300","300"
"589","253","253","253"
"599","300","300","300"
"609","300","300","300"
"619","273.4","273.4","273.4"
"629","274.8","274.8","274.8"
"639","236.3","236.3","236.3"
"649","237.1","237.1","237.1"
"659","179.6","179.6","179.6"
"669","203.7","203.7","203.7"
"679","226.4","226.4","226.4"
"689","203","203","203"
"699","214.4","214.4","214.4"
"709","275.5","275.5","275.5"
"719","181.1","181.1","181.1"
"729","216.9","216.9","216.9"
"739","258.4","258.4","258.4"
"749","212.8","212.8","212.8"
"759","237.7","237.7","237.7"
"769","214.1","214.1","214.1"
"779","255.6","255.6","255.6"
"789","300","300","300"
"799","253.6","253.6","253.6"
"809","235.1","235.1","235.1"
"819","300","300","300"
"829","279.1","279.1","279.1"
"839","187.3","187.3","187.3"
"849","234.6","234.6","234.6"
"859","214.4","214.4","214.4"
"869","277","277","277"
"879","207.4","207.4","207.4"
"889","279.4","279.4","279.4"
"899","208.4","208.4","208.4"
"909","158.6","158.6","158.6"
"919","208.4","208.4","208.4"
"929","255.2","255.2","255.2"
"939","300","300","300"
"949","250.7","250.7","250.7"
"959","257","257","257"
"969","256.4","256.4","256.4"
"979","252.7","252.7","252.7"
"989","278.5","278.5","278.5"
"999","276.4","276.4","276.4"
"1009","259.2","259.2","259.2"
"1019","208.8","208.8","208.8"
"1029","212.4","212.4","212.4"
"1039","158","158","158"
"1049","159","159","159"
"1059","170.6","170.6","170.6"
"1069","143.9","143.9","143.9"
"1079","185.8","185.8","185.8"
"1089","160","160","160"
"1099","182.8","182.8","182.8"
"1109","232.9","232.9","232.9"
"1119","188.7","188.7","188.7"
"1129","260.1","260.1","260.1"
"1139","209.9","209.9","209.9"
"1149","232.1","232.1","232.1"
"1159","185.4","185.4","185.4"
"1169","235.6","235.6","235.6"
"1179","211.6","211.6","211.6"
"1189","145.7","145.7","145.7"
"1199","203.6","203.6","203.6"
"1209","144.9","144.9","144.9"
"1219","159.1","159.1","159.1"
"1229","208.3","208.3","208.3"
"1239","143.6","143.6","143.6"
"1249","167.2","167.2","167.2"
"1259","138.6","138.6","138.6"
"1269","230.5","230.5","230.5"
"1279","188.9","188.9","188.9"
"1289","235.5","235.5","235.5"
"1299","141.2","141.2","141.2"
"1309","187.9","187.9","187.9"
"1319","138.7","138.7","138.7"
"1329","190.5","190.5","190.5"
"1339","211.2","211.2","211.2"
"1349","162.8","162.8","162.8"
"1359","130","130","130"
"1369","186.6","186.6","186.6"
"1379","162.3","162.3","162.3"
"1389","182.2","182.2","182.2"
"1399","142.9","142.9","142.9"
"1409","130","130","130"
"1419","172.4","172.4","172.4"
"1429","172.2","172.2","172.2"
"1439","230.2","230.2","230.2"
"1449","161.7","161.7","161.7"
"1459","205.8","205.8","205.8"
"1469","139.7","139.7","139.7"
"1479","133.3","133.3","133.3"
"1489","206.1","206.1","206.1"
"1499","230.5","230.5","230.5"
"1509","164.2","164.2","164.2"
"1519","96.5","96.5","96.5"
"1529","282","282","282"
"1539","276.1","276.1","276.1"
"1549","300","300","300"
"1559","213.4","213.4","213.4"
"1569","210.9","210.9","210.9"
"1579","203.3","203.3","203.3"
"1589","277.6","277.6","277.6"
"1599","254.3","254.3","254.3"
"1609","203.9","203.9","203.9"
"1619","206.1","206.1","206.1"
"1629","235.8","235.8","235.8"
"1639","170.6","170.6","170.6"
"1649","278.6","278.6","278.6"
"1659","300","300","300"
"1669","300","300","300"
"1679","300","300","300"
"1689","231.9","231.9","231.9"
"1699","213.2","213.2","213.2"
"1709","184.1","184.1","184.1"
"1719","231.1","231.1","231.1"
"1729","276.2","276.2","276.2"
"1739","138.5","138.5","138.5"
"1749","188.8","188.8","188.8"
"1759","206.4","206.4","206.4"
"1769","210.9","210.9","210.9"
"1779","121.4","121.4","121.4"
"1789","168.8","168.8","168.8"
"1799","105.9","105.9","105.9"
"1809","86.5","86.5","86.5"
"1819","162.1","162.1","162.1"
"1829","157.2","157.2","157.2"
"1839","191.1","191.1","191.1"
"1849","191.1","191.1","191.1"
"1859","184.4","184.4","184.4"
"1869","235.5","235.5","235.5"
"1879","151","151","151"
"1889","182.1","182.1","182.1"
"1899","167.7","167.7","167.7"
"1909","105.2","105.2","105.2"
"1919","147.2","147.2","147.2"
"1929","96.4","96.4","96.4"
"1939","93.6","93.6","93.6"
"1949","128.1","128.1","128.1"
"1959","139","139","139"
"1969","230.8","230.8","230.8"
"1979","163.7","163.7","163.7"
"1989","136.2","136.2","136.2"
"1999","186.9","186.9","186.9"
