"Step","maddpg_painting_gnn__d9d2859e_24_09_17-11_23_33 - eval/reward/episode_len_mean","maddpg_painting_gnn__d9d2859e_24_09_17-11_23_33 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__d9d2859e_24_09_17-11_23_33 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","276","276","276"
"559","276.5","276.5","276.5"
"569","300","300","300"
"579","300","300","300"
"589","278.5","278.5","278.5"
"599","300","300","300"
"609","300","300","300"
"619","300","300","300"
"629","274","274","274"
"639","300","300","300"
"649","276.8","276.8","276.8"
"659","233.3","233.3","233.3"
"669","276.4","276.4","276.4"
"679","135.6","135.6","135.6"
"689","236.1","236.1","236.1"
"699","232.5","232.5","232.5"
"709","229.4","229.4","229.4"
"719","255.7","255.7","255.7"
"729","252.6","252.6","252.6"
"739","191.4","191.4","191.4"
"749","190.3","190.3","190.3"
"759","183.5","183.5","183.5"
"769","213","213","213"
"779","269.4","269.4","269.4"
"789","193","193","193"
"799","188.6","188.6","188.6"
"809","228.6","228.6","228.6"
"819","213.1","213.1","213.1"
"829","214","214","214"
"839","227.6","227.6","227.6"
"849","168.3","168.3","168.3"
"859","226.5","226.5","226.5"
"869","232.1","232.1","232.1"
"879","253.2","253.2","253.2"
"889","277.4","277.4","277.4"
"899","209","209","209"
"909","210.8","210.8","210.8"
"919","279.4","279.4","279.4"
"929","252.7","252.7","252.7"
"939","252.4","252.4","252.4"
"949","185.1","185.1","185.1"
"959","276.8","276.8","276.8"
"969","234.8","234.8","234.8"
"979","217.7","217.7","217.7"
"989","235.4","235.4","235.4"
"999","208.9","208.9","208.9"
"1009","213.6","213.6","213.6"
"1019","207.1","207.1","207.1"
"1029","162.6","162.6","162.6"
"1039","210.2","210.2","210.2"
"1049","194.1","194.1","194.1"
"1059","228.7","228.7","228.7"
"1069","185.7","185.7","185.7"
"1079","214","214","214"
"1089","165.5","165.5","165.5"
"1099","114.8","114.8","114.8"
"1109","206.2","206.2","206.2"
"1119","207","207","207"
"1129","228.6","228.6","228.6"
"1139","154.1","154.1","154.1"
"1149","184.9","184.9","184.9"
"1159","232.3","232.3","232.3"
"1169","209.3","209.3","209.3"
"1179","193.8","193.8","193.8"
"1189","89.8","89.8","89.8"
"1199","164.9","164.9","164.9"
"1209","165.3","165.3","165.3"
"1219","229.3","229.3","229.3"
"1229","182.1","182.1","182.1"
"1239","210.8","210.8","210.8"
"1249","244.8","244.8","244.8"
"1259","171.1","171.1","171.1"
"1269","274.7","274.7","274.7"
"1279","168","168","168"
"1289","201.4","201.4","201.4"
"1299","147.5","147.5","147.5"
"1309","174.2","174.2","174.2"
"1319","241.9","241.9","241.9"
"1329","192.1","192.1","192.1"
"1339","174.8","174.8","174.8"
"1349","208.1","208.1","208.1"
"1359","139.5","139.5","139.5"
"1369","142.5","142.5","142.5"
"1379","206.8","206.8","206.8"
"1389","175.3","175.3","175.3"
"1399","236.9","236.9","236.9"
"1409","188.4","188.4","188.4"
"1419","205.3","205.3","205.3"
"1429","235.5","235.5","235.5"
"1439","230.1","230.1","230.1"
"1449","182.8","182.8","182.8"
"1459","140.3","140.3","140.3"
"1469","160.3","160.3","160.3"
"1479","251.7","251.7","251.7"
"1489","137.9","137.9","137.9"
"1499","118.4","118.4","118.4"
"1509","144.5","144.5","144.5"
"1519","234.2","234.2","234.2"
"1529","141.8","141.8","141.8"
"1539","166.1","166.1","166.1"
"1549","187.5","187.5","187.5"
"1559","211.6","211.6","211.6"
"1569","139.3","139.3","139.3"
"1579","186.4","186.4","186.4"
"1589","193.3","193.3","193.3"
"1599","145.6","145.6","145.6"
"1609","169.1","169.1","169.1"
"1619","193.8","193.8","193.8"
"1629","184.3","184.3","184.3"
"1639","197.5","197.5","197.5"
"1649","230.1","230.1","230.1"
"1659","159.6","159.6","159.6"
"1669","218.4","218.4","218.4"
"1679","164.5","164.5","164.5"
"1689","188.9","188.9","188.9"
"1699","258.3","258.3","258.3"
"1709","213.7","213.7","213.7"
"1719","208.2","208.2","208.2"
"1729","177.9","177.9","177.9"
"1739","211.9","211.9","211.9"
"1749","149.9","149.9","149.9"
"1759","192.5","192.5","192.5"
"1769","149.5","149.5","149.5"
"1779","215.8","215.8","215.8"
"1789","144.5","144.5","144.5"
"1799","151.1","151.1","151.1"
"1809","190.9","190.9","190.9"
"1819","188.9","188.9","188.9"
"1829","187.6","187.6","187.6"
"1839","114.8","114.8","114.8"
"1849","198.6","198.6","198.6"
"1859","188.4","188.4","188.4"
"1869","96.2","96.2","96.2"
"1879","180.5","180.5","180.5"
"1889","187.7","187.7","187.7"
"1899","138.3","138.3","138.3"
"1909","213.3","213.3","213.3"
"1919","189.8","189.8","189.8"
"1929","194.4","194.4","194.4"
"1939","143","143","143"
"1949","140.2","140.2","140.2"
"1959","130.7","130.7","130.7"
"1969","187.3","187.3","187.3"
"1979","169","169","169"
"1989","154.3","154.3","154.3"
"1999","175","175","175"
