"Step","maddpg_painting_gnn__e121a9c5_24_09_17-16_08_33 - eval/reward/episode_len_mean","maddpg_painting_gnn__e121a9c5_24_09_17-16_08_33 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__e121a9c5_24_09_17-16_08_33 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","300","300","300"
"569","279.4","279.4","279.4"
"579","300","300","300"
"589","300","300","300"
"599","300","300","300"
"609","300","300","300"
"619","300","300","300"
"629","253.4","253.4","253.4"
"639","300","300","300"
"649","276","276","276"
"659","208","208","208"
"669","185.7","185.7","185.7"
"679","231.5","231.5","231.5"
"689","232.3","232.3","232.3"
"699","208.4","208.4","208.4"
"709","144.8","144.8","144.8"
"719","213.2","213.2","213.2"
"729","207.3","207.3","207.3"
"739","254.3","254.3","254.3"
"749","230.4","230.4","230.4"
"759","170","170","170"
"769","203.3","203.3","203.3"
"779","233.7","233.7","233.7"
"789","250.2","250.2","250.2"
"799","278.1","278.1","278.1"
"809","278.8","278.8","278.8"
"819","187.5","187.5","187.5"
"829","227.8","227.8","227.8"
"839","253.7","253.7","253.7"
"849","232.3","232.3","232.3"
"859","300","300","300"
"869","257.1","257.1","257.1"
"879","255.3","255.3","255.3"
"889","187.7","187.7","187.7"
"899","179.4","179.4","179.4"
"909","198.9","198.9","198.9"
"919","278.4","278.4","278.4"
"929","230.1","230.1","230.1"
"939","191","191","191"
"949","236.1","236.1","236.1"
"959","275.5","275.5","275.5"
"969","205","205","205"
"979","250.7","250.7","250.7"
"989","226.3","226.3","226.3"
"999","163.6","163.6","163.6"
"1009","279.4","279.4","279.4"
"1019","181.1","181.1","181.1"
"1029","122","122","122"
"1039","232.9","232.9","232.9"
"1049","167.7","167.7","167.7"
"1059","207.4","207.4","207.4"
"1069","209.1","209.1","209.1"
"1079","186.6","186.6","186.6"
"1089","236.6","236.6","236.6"
"1099","261.1","261.1","261.1"
"1109","214.1","214.1","214.1"
"1119","182.8","182.8","182.8"
"1129","211.5","211.5","211.5"
"1139","143.1","143.1","143.1"
"1149","279.3","279.3","279.3"
"1159","206.1","206.1","206.1"
"1169","233.3","233.3","233.3"
"1179","274.6","274.6","274.6"
"1189","187.2","187.2","187.2"
"1199","169","169","169"
"1209","255.2","255.2","255.2"
"1219","152.5","152.5","152.5"
"1229","211.3","211.3","211.3"
"1239","186.2","186.2","186.2"
"1249","229.2","229.2","229.2"
"1259","162.1","162.1","162.1"
"1269","143.6","143.6","143.6"
"1279","189","189","189"
"1289","230.2","230.2","230.2"
"1299","167.2","167.2","167.2"
"1309","235.1","235.1","235.1"
"1319","219.2","219.2","219.2"
"1329","164.5","164.5","164.5"
"1339","209.1","209.1","209.1"
"1349","191.5","191.5","191.5"
"1359","209","209","209"
"1369","92.4","92.4","92.4"
"1379","122.9","122.9","122.9"
"1389","139.7","139.7","139.7"
"1399","190.4","190.4","190.4"
"1409","211.9","211.9","211.9"
"1419","185.2","185.2","185.2"
"1429","256.2","256.2","256.2"
"1439","121.5","121.5","121.5"
"1449","197.5","197.5","197.5"
"1459","165.3","165.3","165.3"
"1469","228.7","228.7","228.7"
"1479","176.3","176.3","176.3"
"1489","186.7","186.7","186.7"
"1499","169.4","169.4","169.4"
"1509","146.3","146.3","146.3"
"1519","180.7","180.7","180.7"
"1529","145","145","145"
"1539","206.3","206.3","206.3"
"1549","166.4","166.4","166.4"
"1559","189.7","189.7","189.7"
"1569","210.3","210.3","210.3"
"1579","188.8","188.8","188.8"
"1589","231.5","231.5","231.5"
"1599","184.3","184.3","184.3"
"1609","144.6","144.6","144.6"
"1619","168.1","168.1","168.1"
"1629","159.5","159.5","159.5"
"1639","230.9","230.9","230.9"
"1649","259.6","259.6","259.6"
"1659","182.3","182.3","182.3"
"1669","181.5","181.5","181.5"
"1679","213.4","213.4","213.4"
"1689","208.1","208.1","208.1"
"1699","174.6","174.6","174.6"
"1709","183.6","183.6","183.6"
"1719","184.5","184.5","184.5"
"1729","187.7","187.7","187.7"
"1739","173.6","173.6","173.6"
"1749","164.8","164.8","164.8"
"1759","210.1","210.1","210.1"
"1769","207.9","207.9","207.9"
"1779","230.1","230.1","230.1"
"1789","144.8","144.8","144.8"
"1799","206.1","206.1","206.1"
"1809","278.6","278.6","278.6"
"1819","161.2","161.2","161.2"
"1829","167.5","167.5","167.5"
"1839","203","203","203"
"1849","118.3","118.3","118.3"
"1859","167.1","167.1","167.1"
"1869","181.3","181.3","181.3"
"1879","170.8","170.8","170.8"
"1889","233.7","233.7","233.7"
"1899","300","300","300"
"1909","180.4","180.4","180.4"
"1919","159","159","159"
"1929","169.7","169.7","169.7"
"1939","213.6","213.6","213.6"
"1949","116.6","116.6","116.6"
"1959","165.5","165.5","165.5"
"1969","172.1","172.1","172.1"
"1979","213","213","213"
"1989","160.9","160.9","160.9"
"1999","160.3","160.3","160.3"
