"Step","masac_painting_gnn__2c2c093d_24_09_13-09_26_22 - eval/reward/episode_len_mean","masac_painting_gnn__2c2c093d_24_09_13-09_26_22 - eval/reward/episode_len_mean__MIN","masac_painting_gnn__2c2c093d_24_09_13-09_26_22 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","300","300","300"
"569","300","300","300"
"579","300","300","300"
"589","300","300","300"
"599","300","300","300"
"609","300","300","300"
"619","300","300","300"
"629","300","300","300"
"639","300","300","300"
"649","300","300","300"
"659","300","300","300"
"669","300","300","300"
"679","300","300","300"
"689","300","300","300"
"699","300","300","300"
"709","300","300","300"
"719","300","300","300"
"729","300","300","300"
"739","300","300","300"
"749","300","300","300"
"759","300","300","300"
"769","300","300","300"
"779","300","300","300"
"789","300","300","300"
"799","300","300","300"
"809","300","300","300"
"819","300","300","300"
"829","300","300","300"
"839","300","300","300"
"849","300","300","300"
"859","300","300","300"
"869","300","300","300"
"879","300","300","300"
"889","300","300","300"
"899","300","300","300"
"909","300","300","300"
"919","300","300","300"
"929","300","300","300"
"939","300","300","300"
"949","300","300","300"
"959","300","300","300"
"969","300","300","300"
"979","300","300","300"
"989","300","300","300"
"999","300","300","300"
"1009","300","300","300"
"1019","300","300","300"
"1029","300","300","300"
"1039","300","300","300"
"1049","300","300","300"
"1059","300","300","300"
"1069","300","300","300"
"1079","300","300","300"
"1089","300","300","300"
"1099","300","300","300"
"1109","300","300","300"
"1119","300","300","300"
"1129","300","300","300"
"1139","300","300","300"
"1149","300","300","300"
"1159","300","300","300"
"1169","300","300","300"
"1179","300","300","300"
"1189","300","300","300"
"1199","300","300","300"
"1209","300","300","300"
"1219","300","300","300"
"1229","300","300","300"
"1239","300","300","300"
"1249","300","300","300"
"1259","300","300","300"
"1269","300","300","300"
"1279","300","300","300"
"1289","300","300","300"
"1299","300","300","300"
"1309","300","300","300"
"1319","300","300","300"
"1329","300","300","300"
"1339","300","300","300"
"1349","300","300","300"
"1359","300","300","300"
"1369","300","300","300"
"1379","300","300","300"
"1389","300","300","300"
"1399","300","300","300"
"1409","300","300","300"
"1419","300","300","300"
"1429","300","300","300"
"1439","300","300","300"
"1449","300","300","300"
"1459","300","300","300"
"1469","300","300","300"
"1479","300","300","300"
"1489","300","300","300"
"1499","300","300","300"
"1509","300","300","300"
"1519","300","300","300"
"1529","300","300","300"
"1539","300","300","300"
"1549","300","300","300"
"1559","300","300","300"
"1569","300","300","300"
"1579","300","300","300"
"1589","300","300","300"
"1599","300","300","300"
"1609","300","300","300"
"1619","300","300","300"
"1629","300","300","300"
"1639","300","300","300"
"1649","300","300","300"
"1659","300","300","300"
"1669","300","300","300"
"1679","300","300","300"
"1689","300","300","300"
"1699","300","300","300"
"1709","300","300","300"
"1719","300","300","300"
"1729","300","300","300"
"1739","300","300","300"
"1749","300","300","300"
"1759","300","300","300"
"1769","300","300","300"
"1779","300","300","300"
"1789","300","300","300"
"1799","300","300","300"
"1809","300","300","300"
"1819","300","300","300"
"1829","300","300","300"
"1839","300","300","300"
"1849","300","300","300"
"1859","300","300","300"
"1869","300","300","300"
"1879","300","300","300"
"1889","300","300","300"
"1899","300","300","300"
"1909","300","300","300"
"1919","300","300","300"
"1929","300","300","300"
"1939","300","300","300"
"1949","300","300","300"
"1959","300","300","300"
"1969","300","300","300"
"1979","300","300","300"
"1989","300","300","300"
"1999","300","300","300"
