"Step","iddpg_painting_gnn__091ebc98_24_09_14-20_17_55 - eval/reward/episode_len_mean","iddpg_painting_gnn__091ebc98_24_09_14-20_17_55 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__091ebc98_24_09_14-20_17_55 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","276.6","276.6","276.6"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","275.5","275.5","275.5"
"359","278.3","278.3","278.3"
"369","278.4","278.4","278.4"
"379","252.8","252.8","252.8"
"389","256","256","256"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","208.7","208.7","208.7"
"449","254","254","254"
"459","252.1","252.1","252.1"
"469","275.5","275.5","275.5"
"479","300","300","300"
"489","253.5","253.5","253.5"
"499","213.3","213.3","213.3"
"509","252.3","252.3","252.3"
"519","162.1","162.1","162.1"
"529","256.9","256.9","256.9"
"539","278.3","278.3","278.3"
"549","230.1","230.1","230.1"
"559","256.1","256.1","256.1"
"569","175.9","175.9","175.9"
"579","143.3","143.3","143.3"
"589","251.5","251.5","251.5"
"599","186.6","186.6","186.6"
"609","183.6","183.6","183.6"
"619","169.1","169.1","169.1"
"629","163.2","163.2","163.2"
"639","231.8","231.8","231.8"
"649","153.5","153.5","153.5"
"659","135.9","135.9","135.9"
"669","142","142","142"
"679","145.4","145.4","145.4"
"689","139.2","139.2","139.2"
"699","117.1","117.1","117.1"
"709","87.3","87.3","87.3"
"719","122.9","122.9","122.9"
"729","109.2","109.2","109.2"
"739","143","143","143"
"749","91.1","91.1","91.1"
"759","71.1","71.1","71.1"
"769","162.5","162.5","162.5"
"779","98.2","98.2","98.2"
"789","110.1","110.1","110.1"
"799","111.1","111.1","111.1"
"809","118.9","118.9","118.9"
"819","93.5","93.5","93.5"
"829","88.2","88.2","88.2"
"839","90.3","90.3","90.3"
"849","164.9","164.9","164.9"
"859","93.9","93.9","93.9"
"869","71.8","71.8","71.8"
"879","69.7","69.7","69.7"
"889","126","126","126"
"899","94.3","94.3","94.3"
"909","138.5","138.5","138.5"
"919","96.4","96.4","96.4"
"929","117.9","117.9","117.9"
"939","121.6","121.6","121.6"
"949","98.6","98.6","98.6"
"959","86.9","86.9","86.9"
"969","112","112","112"
"979","86.6","86.6","86.6"
"989","72","72","72"
"999","76.4","76.4","76.4"
"1009","118.4","118.4","118.4"
"1019","180.7","180.7","180.7"
"1029","142.7","142.7","142.7"
"1039","118.2","118.2","118.2"
"1049","99.7","99.7","99.7"
"1059","68.1","68.1","68.1"
"1069","137.8","137.8","137.8"
"1079","92.7","92.7","92.7"
"1089","123","123","123"
"1099","110.3","110.3","110.3"
"1109","146.7","146.7","146.7"
"1119","139.7","139.7","139.7"
"1129","184.6","184.6","184.6"
"1139","99.2","99.2","99.2"
"1149","119.9","119.9","119.9"
"1159","66.3","66.3","66.3"
"1169","119.8","119.8","119.8"
"1179","97.1","97.1","97.1"
"1189","107.4","107.4","107.4"
"1199","143.3","143.3","143.3"
"1209","71.7","71.7","71.7"
"1219","95.8","95.8","95.8"
"1229","93.8","93.8","93.8"
"1239","100.6","100.6","100.6"
"1249","135.4","135.4","135.4"
"1259","135.7","135.7","135.7"
"1269","155.3","155.3","155.3"
"1279","94.8","94.8","94.8"
"1289","129.4","129.4","129.4"
"1299","85.6","85.6","85.6"
"1309","93.6","93.6","93.6"
"1319","160.8","160.8","160.8"
"1329","140.8","140.8","140.8"
"1339","110.3","110.3","110.3"
"1349","116.5","116.5","116.5"
"1359","122.5","122.5","122.5"
"1369","125.5","125.5","125.5"
"1379","92.8","92.8","92.8"
"1389","120.2","120.2","120.2"
"1399","98.9","98.9","98.9"
"1409","121.2","121.2","121.2"
"1419","135.1","135.1","135.1"
"1429","127","127","127"
"1439","106.2","106.2","106.2"
"1449","98.8","98.8","98.8"
"1459","88.2","88.2","88.2"
"1469","125.7","125.7","125.7"
"1479","105.6","105.6","105.6"
"1489","100.2","100.2","100.2"
"1499","74.5","74.5","74.5"
"1509","112.5","112.5","112.5"
"1519","142.5","142.5","142.5"
"1529","113.1","113.1","113.1"
"1539","106.2","106.2","106.2"
"1549","141.1","141.1","141.1"
"1559","100.4","100.4","100.4"
"1569","113.4","113.4","113.4"
"1579","119.6","119.6","119.6"
"1589","68.2","68.2","68.2"
"1599","92.5","92.5","92.5"
"1609","124.7","124.7","124.7"
"1619","96","96","96"
"1629","69.6","69.6","69.6"
"1639","90","90","90"
"1649","118.8","118.8","118.8"
"1659","143.1","143.1","143.1"
"1669","111.6","111.6","111.6"
"1679","74.6","74.6","74.6"
"1689","140.9","140.9","140.9"
"1699","71.2","71.2","71.2"
"1709","135.2","135.2","135.2"
"1719","73.2","73.2","73.2"
"1729","74.4","74.4","74.4"
"1739","147.9","147.9","147.9"
"1749","108.5","108.5","108.5"
"1759","99.7","99.7","99.7"
"1769","68.5","68.5","68.5"
"1779","137.1","137.1","137.1"
"1789","107.5","107.5","107.5"
"1799","113.3","113.3","113.3"
"1809","97","97","97"
"1819","70.9","70.9","70.9"
"1829","148.7","148.7","148.7"
"1839","95","95","95"
"1849","115.1","115.1","115.1"
"1859","122.2","122.2","122.2"
"1869","136.2","136.2","136.2"
"1879","86.4","86.4","86.4"
"1889","75.3","75.3","75.3"
"1899","119.1","119.1","119.1"
"1909","86.5","86.5","86.5"
"1919","67.6","67.6","67.6"
