"Step","iddpg_painting_gnn__0e7500e7_24_09_14-20_17_55 - eval/reward/episode_len_mean","iddpg_painting_gnn__0e7500e7_24_09_14-20_17_55 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__0e7500e7_24_09_14-20_17_55 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","280.8","280.8","280.8"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","278.5","278.5","278.5"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","275.1","275.1","275.1"
"359","300","300","300"
"369","300","300","300"
"379","274.8","274.8","274.8"
"389","279.1","279.1","279.1"
"399","253.9","253.9","253.9"
"409","278.5","278.5","278.5"
"419","275.7","275.7","275.7"
"429","258","258","258"
"439","300","300","300"
"449","231","231","231"
"459","278","278","278"
"469","300","300","300"
"479","254","254","254"
"489","257.2","257.2","257.2"
"499","252","252","252"
"509","230.7","230.7","230.7"
"519","276.5","276.5","276.5"
"529","185.2","185.2","185.2"
"539","181.9","181.9","181.9"
"549","135.1","135.1","135.1"
"559","255.7","255.7","255.7"
"569","231.7","231.7","231.7"
"579","143.6","143.6","143.6"
"589","255.8","255.8","255.8"
"599","206.7","206.7","206.7"
"609","124.7","124.7","124.7"
"619","134.7","134.7","134.7"
"629","225.9","225.9","225.9"
"639","212.9","212.9","212.9"
"649","138.8","138.8","138.8"
"659","206.7","206.7","206.7"
"669","146.2","146.2","146.2"
"679","144.4","144.4","144.4"
"689","115.9","115.9","115.9"
"699","124.1","124.1","124.1"
"709","100.4","100.4","100.4"
"719","140.8","140.8","140.8"
"729","115.8","115.8","115.8"
"739","65.7","65.7","65.7"
"749","71.8","71.8","71.8"
"759","70.8","70.8","70.8"
"769","122.7","122.7","122.7"
"779","96.3","96.3","96.3"
"789","142.4","142.4","142.4"
"799","114.7","114.7","114.7"
"809","89.9","89.9","89.9"
"819","127","127","127"
"829","95.1","95.1","95.1"
"839","102.3","102.3","102.3"
"849","88.3","88.3","88.3"
"859","86.2","86.2","86.2"
"869","69.4","69.4","69.4"
"879","104.8","104.8","104.8"
"889","119","119","119"
"899","76.8","76.8","76.8"
"909","157.1","157.1","157.1"
"919","98.9","98.9","98.9"
"929","161.7","161.7","161.7"
"939","91.9","91.9","91.9"
"949","159.2","159.2","159.2"
"959","95.9","95.9","95.9"
"969","124.2","124.2","124.2"
"979","113","113","113"
"989","67.4","67.4","67.4"
"999","96.4","96.4","96.4"
"1009","112.8","112.8","112.8"
"1019","115.8","115.8","115.8"
"1029","103.7","103.7","103.7"
"1039","104.9","104.9","104.9"
"1049","125.5","125.5","125.5"
"1059","98.6","98.6","98.6"
"1069","123.2","123.2","123.2"
"1079","93.9","93.9","93.9"
"1089","113","113","113"
"1099","80.8","80.8","80.8"
"1109","95.2","95.2","95.2"
"1119","130.8","130.8","130.8"
"1129","88.1","88.1","88.1"
"1139","94.3","94.3","94.3"
"1149","68.6","68.6","68.6"
"1159","70.6","70.6","70.6"
"1169","104.1","104.1","104.1"
"1179","93.7","93.7","93.7"
"1189","120.2","120.2","120.2"
"1199","97.6","97.6","97.6"
"1209","110.8","110.8","110.8"
"1219","164.7","164.7","164.7"
"1229","114.6","114.6","114.6"
"1239","142.5","142.5","142.5"
"1249","60.9","60.9","60.9"
"1259","112.9","112.9","112.9"
"1269","119.4","119.4","119.4"
"1279","96.7","96.7","96.7"
"1289","110.1","110.1","110.1"
"1299","89.6","89.6","89.6"
"1309","121.1","121.1","121.1"
"1319","74.9","74.9","74.9"
"1329","76.9","76.9","76.9"
"1339","102.8","102.8","102.8"
"1349","121.9","121.9","121.9"
"1359","65.2","65.2","65.2"
"1369","139.4","139.4","139.4"
"1379","97.7","97.7","97.7"
"1389","140.9","140.9","140.9"
"1399","120.2","120.2","120.2"
"1409","137.1","137.1","137.1"
"1419","70.8","70.8","70.8"
"1429","116.8","116.8","116.8"
"1439","278.4","278.4","278.4"
"1449","300","300","300"
"1459","300","300","300"
"1469","228","228","228"
"1479","276","276","276"
"1489","230.2","230.2","230.2"
"1499","300","300","300"
"1509","86.4","86.4","86.4"
"1519","93.9","93.9","93.9"
"1529","230.6","230.6","230.6"
"1539","78","78","78"
"1549","139.9","139.9","139.9"
"1559","138.8","138.8","138.8"
"1569","93","93","93"
"1579","92.7","92.7","92.7"
"1589","161.4","161.4","161.4"
"1599","138.9","138.9","138.9"
"1609","138.4","138.4","138.4"
"1619","121.3","121.3","121.3"
"1629","140.7","140.7","140.7"
"1639","181.6","181.6","181.6"
"1649","119.4","119.4","119.4"
"1659","78.5","78.5","78.5"
"1669","117.4","117.4","117.4"
"1679","91.2","91.2","91.2"
"1689","64.7","64.7","64.7"
"1699","73.8","73.8","73.8"
"1709","84.2","84.2","84.2"
"1719","186.5","186.5","186.5"
"1729","121.3","121.3","121.3"
"1739","115.3","115.3","115.3"
"1749","72.2","72.2","72.2"
"1759","94.8","94.8","94.8"
"1769","87.8","87.8","87.8"
"1779","113.4","113.4","113.4"
"1789","169.3","169.3","169.3"
"1799","109.5","109.5","109.5"
"1809","94.2","94.2","94.2"
"1819","68.5","68.5","68.5"
"1829","140.6","140.6","140.6"
"1839","91.1","91.1","91.1"
"1849","115.9","115.9","115.9"
"1859","81.5","81.5","81.5"
"1869","92.6","92.6","92.6"
"1879","102.7","102.7","102.7"
"1889","89","89","89"
"1899","97","97","97"
"1909","170.7","170.7","170.7"
"1919","116.8","116.8","116.8"
"1929","78.7","78.7","78.7"
