"Step","iddpg_painting_gnn__d63fec5f_24_09_14-20_17_59 - eval/reward/episode_len_mean","iddpg_painting_gnn__d63fec5f_24_09_14-20_17_59 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__d63fec5f_24_09_14-20_17_59 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","277.2","277.2","277.2"
"109","300","300","300"
"119","300","300","300"
"129","272.5","272.5","272.5"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","278.4","278.4","278.4"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","276.7","276.7","276.7"
"269","228.1","228.1","228.1"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","279.5","279.5","279.5"
"329","276.2","276.2","276.2"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","278.5","278.5","278.5"
"379","277.3","277.3","277.3"
"389","277.6","277.6","277.6"
"399","300","300","300"
"409","275","275","275"
"419","278.6","278.6","278.6"
"429","300","300","300"
"439","277.6","277.6","277.6"
"449","273.2","273.2","273.2"
"459","188.8","188.8","188.8"
"469","182.8","182.8","182.8"
"479","249","249","249"
"489","207.6","207.6","207.6"
"499","188.6","188.6","188.6"
"509","232.7","232.7","232.7"
"519","254.8","254.8","254.8"
"529","204.1","204.1","204.1"
"539","213.2","213.2","213.2"
"549","184.8","184.8","184.8"
"559","165.8","165.8","165.8"
"569","226.8","226.8","226.8"
"579","167.2","167.2","167.2"
"589","188.1","188.1","188.1"
"599","167.2","167.2","167.2"
"609","177.7","177.7","177.7"
"619","159.7","159.7","159.7"
"629","181.9","181.9","181.9"
"639","187.4","187.4","187.4"
"649","136.2","136.2","136.2"
"659","141.3","141.3","141.3"
"669","145.6","145.6","145.6"
"679","136.7","136.7","136.7"
"689","113.5","113.5","113.5"
"699","107.7","107.7","107.7"
"709","140.1","140.1","140.1"
"719","124.4","124.4","124.4"
"729","93.3","93.3","93.3"
"739","113.9","113.9","113.9"
"749","122.4","122.4","122.4"
"759","187.9","187.9","187.9"
"769","142.2","142.2","142.2"
"779","88.3","88.3","88.3"
"789","119.9","119.9","119.9"
"799","163.1","163.1","163.1"
"809","155.9","155.9","155.9"
"819","117.4","117.4","117.4"
"829","182","182","182"
"839","141.3","141.3","141.3"
"849","138.9","138.9","138.9"
"859","143","143","143"
"869","121.7","121.7","121.7"
"879","188.1","188.1","188.1"
"889","67.9","67.9","67.9"
"899","98.8","98.8","98.8"
"909","111.6","111.6","111.6"
"919","129.7","129.7","129.7"
"929","209.6","209.6","209.6"
"939","112.8","112.8","112.8"
"949","79.1","79.1","79.1"
"959","90.9","90.9","90.9"
"969","86.4","86.4","86.4"
"979","140","140","140"
"989","84.4","84.4","84.4"
"999","168.4","168.4","168.4"
"1009","121.2","121.2","121.2"
"1019","118.4","118.4","118.4"
"1029","93.1","93.1","93.1"
"1039","139.7","139.7","139.7"
"1049","104.3","104.3","104.3"
"1059","140.6","140.6","140.6"
"1069","104.2","104.2","104.2"
"1079","128.6","128.6","128.6"
"1089","75.4","75.4","75.4"
"1099","98.2","98.2","98.2"
"1109","81.1","81.1","81.1"
"1119","113.7","113.7","113.7"
"1129","115.4","115.4","115.4"
"1139","140.8","140.8","140.8"
"1149","117.2","117.2","117.2"
"1159","97.8","97.8","97.8"
"1169","128.2","128.2","128.2"
"1179","127.1","127.1","127.1"
"1189","64.5","64.5","64.5"
"1199","99.6","99.6","99.6"
"1209","95.7","95.7","95.7"
"1219","94.6","94.6","94.6"
"1229","167.1","167.1","167.1"
"1239","95.5","95.5","95.5"
"1249","90.4","90.4","90.4"
"1259","68.1","68.1","68.1"
"1269","115.3","115.3","115.3"
"1279","120","120","120"
"1289","114.7","114.7","114.7"
"1299","116.3","116.3","116.3"
"1309","111","111","111"
"1319","63","63","63"
"1329","139.3","139.3","139.3"
"1339","90.9","90.9","90.9"
"1349","97.1","97.1","97.1"
"1359","100.2","100.2","100.2"
"1369","73.7","73.7","73.7"
"1379","114.9","114.9","114.9"
"1389","80.1","80.1","80.1"
"1399","75.1","75.1","75.1"
"1409","122.6","122.6","122.6"
"1419","102.4","102.4","102.4"
"1429","143.1","143.1","143.1"
"1439","109.6","109.6","109.6"
"1449","96.1","96.1","96.1"
"1459","99.3","99.3","99.3"
"1469","74.2","74.2","74.2"
"1479","136.8","136.8","136.8"
"1489","70","70","70"
"1499","83.4","83.4","83.4"
"1509","162.3","162.3","162.3"
"1519","133","133","133"
"1529","122.2","122.2","122.2"
"1539","178.3","178.3","178.3"
"1549","65.7","65.7","65.7"
"1559","100.8","100.8","100.8"
"1569","119.1","119.1","119.1"
"1579","76.3","76.3","76.3"
"1589","110.7","110.7","110.7"
"1599","123.7","123.7","123.7"
"1609","68.6","68.6","68.6"
"1619","116.3","116.3","116.3"
"1629","121.2","121.2","121.2"
"1639","80.2","80.2","80.2"
"1649","135.2","135.2","135.2"
"1659","58.4","58.4","58.4"
"1669","139.2","139.2","139.2"
"1679","76.7","76.7","76.7"
"1689","98.3","98.3","98.3"
"1699","127.4","127.4","127.4"
"1709","101.3","101.3","101.3"
"1719","114.7","114.7","114.7"
"1729","95","95","95"
"1739","113.4","113.4","113.4"
"1749","81.2","81.2","81.2"
"1759","88.1","88.1","88.1"
"1769","106.1","106.1","106.1"
"1779","127","127","127"
"1789","85.5","85.5","85.5"
"1799","86.5","86.5","86.5"
"1809","113.9","113.9","113.9"
"1819","65.7","65.7","65.7"
"1829","145.9","145.9","145.9"
"1839","100","100","100"
"1849","77.3","77.3","77.3"
"1859","103.7","103.7","103.7"
"1869","95","95","95"
"1879","89.2","89.2","89.2"
"1889","86","86","86"
"1899","142.5","142.5","142.5"
