"Step","iddpg_painting_gnn__d9dd92fe_24_09_14-20_17_55 - eval/reward/episode_len_mean","iddpg_painting_gnn__d9dd92fe_24_09_14-20_17_55 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__d9dd92fe_24_09_14-20_17_55 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","277.1","277.1","277.1"
"149","300","300","300"
"159","276","276","276"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","280.3","280.3","280.3"
"229","275.3","275.3","275.3"
"239","300","300","300"
"249","278.4","278.4","278.4"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","279.5","279.5","279.5"
"329","300","300","300"
"339","300","300","300"
"349","249.1","249.1","249.1"
"359","300","300","300"
"369","277.7","277.7","277.7"
"379","277.7","277.7","277.7"
"389","254.2","254.2","254.2"
"399","277.1","277.1","277.1"
"409","279.3","279.3","279.3"
"419","277","277","277"
"429","300","300","300"
"439","300","300","300"
"449","254.9","254.9","254.9"
"459","257.1","257.1","257.1"
"469","238","238","238"
"479","208","208","208"
"489","254.2","254.2","254.2"
"499","255.2","255.2","255.2"
"509","211.5","211.5","211.5"
"519","210.8","210.8","210.8"
"529","185.6","185.6","185.6"
"539","256.3","256.3","256.3"
"549","234.6","234.6","234.6"
"559","211.6","211.6","211.6"
"569","186.9","186.9","186.9"
"579","214","214","214"
"589","182.4","182.4","182.4"
"599","208.1","208.1","208.1"
"609","164.3","164.3","164.3"
"619","188.5","188.5","188.5"
"629","137.3","137.3","137.3"
"639","113","113","113"
"649","134.4","134.4","134.4"
"659","210","210","210"
"669","151.9","151.9","151.9"
"679","123.7","123.7","123.7"
"689","90.4","90.4","90.4"
"699","122.5","122.5","122.5"
"709","158.6","158.6","158.6"
"719","103.9","103.9","103.9"
"729","88.8","88.8","88.8"
"739","108.1","108.1","108.1"
"749","91.1","91.1","91.1"
"759","104.1","104.1","104.1"
"769","145.6","145.6","145.6"
"779","110.9","110.9","110.9"
"789","147.5","147.5","147.5"
"799","58.9","58.9","58.9"
"809","93.7","93.7","93.7"
"819","92.3","92.3","92.3"
"829","114.3","114.3","114.3"
"839","141.8","141.8","141.8"
"849","95.1","95.1","95.1"
"859","120","120","120"
"869","135.7","135.7","135.7"
"879","111.9","111.9","111.9"
"889","123.9","123.9","123.9"
"899","74.7","74.7","74.7"
"909","163.1","163.1","163.1"
"919","136.8","136.8","136.8"
"929","100.3","100.3","100.3"
"939","118.1","118.1","118.1"
"949","144.9","144.9","144.9"
"959","88.7","88.7","88.7"
"969","119.6","119.6","119.6"
"979","161.5","161.5","161.5"
"989","110.8","110.8","110.8"
"999","90.9","90.9","90.9"
"1009","154.8","154.8","154.8"
"1019","187.2","187.2","187.2"
"1029","89.6","89.6","89.6"
"1039","103.3","103.3","103.3"
"1049","161.7","161.7","161.7"
"1059","146.8","146.8","146.8"
"1069","82.6","82.6","82.6"
"1079","93.3","93.3","93.3"
"1089","101.5","101.5","101.5"
"1099","121.7","121.7","121.7"
"1109","118.7","118.7","118.7"
"1119","96.1","96.1","96.1"
"1129","94","94","94"
"1139","68.6","68.6","68.6"
"1149","72.1","72.1","72.1"
"1159","139.8","139.8","139.8"
"1169","94.2","94.2","94.2"
"1179","92.8","92.8","92.8"
"1189","110.7","110.7","110.7"
"1199","95.8","95.8","95.8"
"1209","92.6","92.6","92.6"
"1219","129.9","129.9","129.9"
"1229","115.1","115.1","115.1"
"1239","122.1","122.1","122.1"
"1249","92.3","92.3","92.3"
"1259","142.2","142.2","142.2"
"1269","187","187","187"
"1279","90.2","90.2","90.2"
"1289","120.8","120.8","120.8"
"1299","69","69","69"
"1309","131.8","131.8","131.8"
"1319","97.5","97.5","97.5"
"1329","100.9","100.9","100.9"
"1339","185.5","185.5","185.5"
"1349","110.3","110.3","110.3"
"1359","82.7","82.7","82.7"
"1369","146.6","146.6","146.6"
"1379","188.8","188.8","188.8"
"1389","70.1","70.1","70.1"
"1399","99.7","99.7","99.7"
"1409","139.5","139.5","139.5"
"1419","69.9","69.9","69.9"
"1429","117.1","117.1","117.1"
"1439","118.4","118.4","118.4"
"1449","163.7","163.7","163.7"
"1459","98.3","98.3","98.3"
"1469","122.4","122.4","122.4"
"1479","115.5","115.5","115.5"
"1489","81.1","81.1","81.1"
"1499","79.3","79.3","79.3"
"1509","102.1","102.1","102.1"
"1519","134.1","134.1","134.1"
"1529","72.8","72.8","72.8"
"1539","155","155","155"
"1549","188.2","188.2","188.2"
"1559","98.1","98.1","98.1"
"1569","95.3","95.3","95.3"
"1579","97.3","97.3","97.3"
"1589","78.3","78.3","78.3"
"1599","145.5","145.5","145.5"
"1609","77.7","77.7","77.7"
"1619","118.6","118.6","118.6"
"1629","77.7","77.7","77.7"
"1639","92.3","92.3","92.3"
"1649","166.2","166.2","166.2"
"1659","117.3","117.3","117.3"
"1669","103.6","103.6","103.6"
"1679","89.3","89.3","89.3"
"1689","67.2","67.2","67.2"
"1699","119.1","119.1","119.1"
"1709","75.3","75.3","75.3"
"1719","126.5","126.5","126.5"
"1729","89.8","89.8","89.8"
"1739","96.9","96.9","96.9"
"1749","68.1","68.1","68.1"
"1759","67.1","67.1","67.1"
"1769","141.3","141.3","141.3"
"1779","73.3","73.3","73.3"
"1789","167.5","167.5","167.5"
"1799","96.1","96.1","96.1"
"1809","96.4","96.4","96.4"
"1819","120.6","120.6","120.6"
"1829","141.7","141.7","141.7"
"1839","95.8","95.8","95.8"
"1849","71","71","71"
"1859","120.5","120.5","120.5"
"1869","149.2","149.2","149.2"
"1879","112.8","112.8","112.8"
"1889","122.6","122.6","122.6"
