"Step","iddpg_painting_gnn__2fc055fd_24_09_21-04_55_56 - eval/reward/episode_len_mean","iddpg_painting_gnn__2fc055fd_24_09_21-04_55_56 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__2fc055fd_24_09_21-04_55_56 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","251.5","251.5","251.5"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","278.4","278.4","278.4"
"259","275.4","275.4","275.4"
"269","300","300","300"
"279","276.4","276.4","276.4"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","276.1","276.1","276.1"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","255.8","255.8","255.8"
"409","275.6","275.6","275.6"
"419","300","300","300"
"429","259","259","259"
"439","256","256","256"
"449","300","300","300"
"459","275","275","275"
"469","275.9","275.9","275.9"
"479","259.5","259.5","259.5"
"489","300","300","300"
"499","226.6","226.6","226.6"
"509","234.4","234.4","234.4"
"519","260","260","260"
"529","256.7","256.7","256.7"
"539","283.8","283.8","283.8"
"549","167","167","167"
"559","235.7","235.7","235.7"
"569","211.1","211.1","211.1"
"579","261","261","261"
"589","232.5","232.5","232.5"
"599","232.7","232.7","232.7"
"609","179.4","179.4","179.4"
"619","228.2","228.2","228.2"
"629","260.4","260.4","260.4"
"639","210.4","210.4","210.4"
"649","210.9","210.9","210.9"
"659","187","187","187"
"669","148.5","148.5","148.5"
"679","186.6","186.6","186.6"
"689","186.9","186.9","186.9"
"699","185.8","185.8","185.8"
"709","138.7","138.7","138.7"
"719","165.5","165.5","165.5"
"729","165.5","165.5","165.5"
"739","190.8","190.8","190.8"
"749","184.4","184.4","184.4"
"759","72.4","72.4","72.4"
"769","119.5","119.5","119.5"
"779","161.3","161.3","161.3"
"789","102.8","102.8","102.8"
"799","138.6","138.6","138.6"
"809","166.9","166.9","166.9"
"819","170.6","170.6","170.6"
"829","161","161","161"
"839","126.6","126.6","126.6"
"849","187.8","187.8","187.8"
"859","99.2","99.2","99.2"
"869","119.3","119.3","119.3"
"879","145.9","145.9","145.9"
"889","90.5","90.5","90.5"
"899","119.3","119.3","119.3"
"909","148.8","148.8","148.8"
"919","127.4","127.4","127.4"
"929","164","164","164"
"939","118.3","118.3","118.3"
"949","207.5","207.5","207.5"
"959","166.8","166.8","166.8"
"969","154.8","154.8","154.8"
"979","100.7","100.7","100.7"
"989","144.3","144.3","144.3"
"999","120.8","120.8","120.8"
"1009","146.3","146.3","146.3"
"1019","99.8","99.8","99.8"
"1029","69.2","69.2","69.2"
"1039","146.7","146.7","146.7"
"1049","139.1","139.1","139.1"
"1059","107.5","107.5","107.5"
"1069","129.3","129.3","129.3"
"1079","96.8","96.8","96.8"
"1089","91","91","91"
"1099","123.3","123.3","123.3"
"1109","78.2","78.2","78.2"
"1119","91.5","91.5","91.5"
"1129","146.6","146.6","146.6"
"1139","97.4","97.4","97.4"
"1149","119","119","119"
"1159","159.7","159.7","159.7"
"1169","103.4","103.4","103.4"
"1179","168.8","168.8","168.8"
"1189","120.9","120.9","120.9"
"1199","150.4","150.4","150.4"
"1209","123.9","123.9","123.9"
"1219","86.3","86.3","86.3"
"1229","89","89","89"
"1239","80.4","80.4","80.4"
"1249","120.8","120.8","120.8"
"1259","99.6","99.6","99.6"
"1269","122.3","122.3","122.3"
"1279","125.3","125.3","125.3"
"1289","147.9","147.9","147.9"
"1299","126.5","126.5","126.5"
"1309","82.9","82.9","82.9"
"1319","144.1","144.1","144.1"
"1329","118.4","118.4","118.4"
"1339","102.6","102.6","102.6"
"1349","195","195","195"
"1359","107.4","107.4","107.4"
"1369","121.2","121.2","121.2"
"1379","122.7","122.7","122.7"
"1389","121.3","121.3","121.3"
"1399","117","117","117"
"1409","154.5","154.5","154.5"
"1419","127.5","127.5","127.5"
"1429","102.1","102.1","102.1"
"1439","147.6","147.6","147.6"
"1449","131.9","131.9","131.9"
"1459","82","82","82"
"1469","123.1","123.1","123.1"
"1479","167.3","167.3","167.3"
"1489","96.1","96.1","96.1"
"1499","117.4","117.4","117.4"
"1509","105.9","105.9","105.9"
"1519","70.1","70.1","70.1"
"1529","126.4","126.4","126.4"
"1539","123.7","123.7","123.7"
"1549","98.8","98.8","98.8"
"1559","129.9","129.9","129.9"
"1569","85","85","85"
"1579","96.6","96.6","96.6"
"1589","136.3","136.3","136.3"
"1599","127.1","127.1","127.1"
"1609","109.7","109.7","109.7"
"1619","88.8","88.8","88.8"
"1629","126.8","126.8","126.8"
"1639","74.7","74.7","74.7"
"1649","85","85","85"
"1659","155.2","155.2","155.2"
"1669","128","128","128"
"1679","126.3","126.3","126.3"
"1689","164.3","164.3","164.3"
"1699","102.8","102.8","102.8"
"1709","78.2","78.2","78.2"
"1719","102.1","102.1","102.1"
"1729","127.3","127.3","127.3"
"1739","129.5","129.5","129.5"
"1749","94.7","94.7","94.7"
"1759","116.7","116.7","116.7"
"1769","102.9","102.9","102.9"
"1779","100.2","100.2","100.2"
"1789","85.9","85.9","85.9"
"1799","135.9","135.9","135.9"
"1809","131.7","131.7","131.7"
"1819","113.3","113.3","113.3"
"1829","130.4","130.4","130.4"
"1839","76.7","76.7","76.7"
"1849","135.1","135.1","135.1"
"1859","193.1","193.1","193.1"
"1869","181.7","181.7","181.7"
"1879","108.8","108.8","108.8"
"1889","99.2","99.2","99.2"
"1899","145.5","145.5","145.5"
"1909","97.8","97.8","97.8"
"1919","115.7","115.7","115.7"
"1929","169.1","169.1","169.1"
"1939","83.8","83.8","83.8"
