"Step","iddpg_painting_gnn__5d2dee7a_24_09_21-01_14_59 - eval/reward/episode_len_mean","iddpg_painting_gnn__5d2dee7a_24_09_21-01_14_59 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__5d2dee7a_24_09_21-01_14_59 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","282","282","282"
"109","300","300","300"
"119","276.9","276.9","276.9"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","274","274","274"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","256.2","256.2","256.2"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","274.4","274.4","274.4"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","278.7","278.7","278.7"
"439","300","300","300"
"449","276.9","276.9","276.9"
"459","300","300","300"
"469","300","300","300"
"479","253","253","253"
"489","276.2","276.2","276.2"
"499","275.6","275.6","275.6"
"509","254.4","254.4","254.4"
"519","251.4","251.4","251.4"
"529","278.2","278.2","278.2"
"539","202.4","202.4","202.4"
"549","204.2","204.2","204.2"
"559","204.8","204.8","204.8"
"569","237","237","237"
"579","254","254","254"
"589","236.6","236.6","236.6"
"599","209.1","209.1","209.1"
"609","233.8","233.8","233.8"
"619","185","185","185"
"629","208.5","208.5","208.5"
"639","277.9","277.9","277.9"
"649","187.7","187.7","187.7"
"659","165.3","165.3","165.3"
"669","139.7","139.7","139.7"
"679","188.1","188.1","188.1"
"689","182.3","182.3","182.3"
"699","192.4","192.4","192.4"
"709","166.9","166.9","166.9"
"719","169","169","169"
"729","167.2","167.2","167.2"
"739","179.9","179.9","179.9"
"749","141.1","141.1","141.1"
"759","147.2","147.2","147.2"
"769","164.6","164.6","164.6"
"779","149.1","149.1","149.1"
"789","165.8","165.8","165.8"
"799","164.2","164.2","164.2"
"809","195.8","195.8","195.8"
"819","137.3","137.3","137.3"
"829","217.7","217.7","217.7"
"839","165.5","165.5","165.5"
"849","232.1","232.1","232.1"
"859","94.4","94.4","94.4"
"869","147.3","147.3","147.3"
"879","176.7","176.7","176.7"
"889","232.2","232.2","232.2"
"899","132","132","132"
"909","114.7","114.7","114.7"
"919","157.4","157.4","157.4"
"929","122.6","122.6","122.6"
"939","143.8","143.8","143.8"
"949","118.5","118.5","118.5"
"959","192.5","192.5","192.5"
"969","171.6","171.6","171.6"
"979","186.9","186.9","186.9"
"989","100.2","100.2","100.2"
"999","163.8","163.8","163.8"
"1009","159.7","159.7","159.7"
"1019","138.3","138.3","138.3"
"1029","126.6","126.6","126.6"
"1039","167.6","167.6","167.6"
"1049","167.5","167.5","167.5"
"1059","132.8","132.8","132.8"
"1069","147.1","147.1","147.1"
"1079","115.9","115.9","115.9"
"1089","149.3","149.3","149.3"
"1099","81.4","81.4","81.4"
"1109","100.3","100.3","100.3"
"1119","188.7","188.7","188.7"
"1129","210.5","210.5","210.5"
"1139","105.2","105.2","105.2"
"1149","103.5","103.5","103.5"
"1159","137.9","137.9","137.9"
"1169","104.2","104.2","104.2"
"1179","87.1","87.1","87.1"
"1189","184.6","184.6","184.6"
"1199","147.7","147.7","147.7"
"1209","138.5","138.5","138.5"
"1219","146","146","146"
"1229","137.9","137.9","137.9"
"1239","125.4","125.4","125.4"
"1249","166.3","166.3","166.3"
"1259","124.3","124.3","124.3"
"1269","139.2","139.2","139.2"
"1279","75.9","75.9","75.9"
"1289","139.6","139.6","139.6"
"1299","171.2","171.2","171.2"
"1309","141.4","141.4","141.4"
"1319","116.9","116.9","116.9"
"1329","147.4","147.4","147.4"
"1339","129.1","129.1","129.1"
"1349","108.8","108.8","108.8"
"1359","155.3","155.3","155.3"
"1369","151.1","151.1","151.1"
"1379","96.9","96.9","96.9"
"1389","95.4","95.4","95.4"
"1399","170.2","170.2","170.2"
"1409","105.7","105.7","105.7"
"1419","141.1","141.1","141.1"
"1429","201.8","201.8","201.8"
"1439","112.5","112.5","112.5"
"1449","71.3","71.3","71.3"
"1459","116.6","116.6","116.6"
"1469","160.8","160.8","160.8"
"1479","150.1","150.1","150.1"
"1489","116.7","116.7","116.7"
"1499","103.3","103.3","103.3"
"1509","131.8","131.8","131.8"
"1519","114.6","114.6","114.6"
"1529","95.9","95.9","95.9"
"1539","116.1","116.1","116.1"
"1549","162.1","162.1","162.1"
"1559","117.9","117.9","117.9"
"1569","170.9","170.9","170.9"
"1579","188.1","188.1","188.1"
"1589","184.5","184.5","184.5"
"1599","97.8","97.8","97.8"
"1609","105.5","105.5","105.5"
"1619","128.9","128.9","128.9"
"1629","151.4","151.4","151.4"
"1639","86.6","86.6","86.6"
"1649","126.4","126.4","126.4"
"1659","142.8","142.8","142.8"
"1669","95.5","95.5","95.5"
"1679","173.1","173.1","173.1"
"1689","129","129","129"
"1699","118.2","118.2","118.2"
"1709","102.6","102.6","102.6"
"1719","83.9","83.9","83.9"
"1729","125.9","125.9","125.9"
"1739","105.2","105.2","105.2"
"1749","118.8","118.8","118.8"
"1759","96.1","96.1","96.1"
"1769","128.3","128.3","128.3"
"1779","100.6","100.6","100.6"
"1789","127.1","127.1","127.1"
"1799","189.4","189.4","189.4"
"1809","125.4","125.4","125.4"
"1819","117.3","117.3","117.3"
"1829","71.2","71.2","71.2"
"1839","123.1","123.1","123.1"
"1849","132.5","132.5","132.5"
"1859","142","142","142"
"1869","81.4","81.4","81.4"
"1879","167.8","167.8","167.8"
"1889","162.1","162.1","162.1"
"1899","99.5","99.5","99.5"
"1909","143.2","143.2","143.2"
"1919","97.2","97.2","97.2"
