"Step","iddpg_painting_gnn__a5e9b5d4_24_09_20-21_14_49 - eval/reward/episode_len_mean","iddpg_painting_gnn__a5e9b5d4_24_09_20-21_14_49 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__a5e9b5d4_24_09_20-21_14_49 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","276.6","276.6","276.6"
"169","279.2","279.2","279.2"
"179","275.5","275.5","275.5"
"189","276.5","276.5","276.5"
"199","273.9","273.9","273.9"
"209","277","277","277"
"219","278.6","278.6","278.6"
"229","278.6","278.6","278.6"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","257.9","257.9","257.9"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","279.5","279.5","279.5"
"419","276.3","276.3","276.3"
"429","300","300","300"
"439","277.3","277.3","277.3"
"449","300","300","300"
"459","232.6","232.6","232.6"
"469","252.8","252.8","252.8"
"479","255","255","255"
"489","253.6","253.6","253.6"
"499","277.5","277.5","277.5"
"509","251.1","251.1","251.1"
"519","277.7","277.7","277.7"
"529","300","300","300"
"539","235.1","235.1","235.1"
"549","229.7","229.7","229.7"
"559","209.4","209.4","209.4"
"569","237.3","237.3","237.3"
"579","191.7","191.7","191.7"
"589","253.5","253.5","253.5"
"599","139.3","139.3","139.3"
"609","195.2","195.2","195.2"
"619","277.9","277.9","277.9"
"629","186.9","186.9","186.9"
"639","210.4","210.4","210.4"
"649","160.7","160.7","160.7"
"659","192.9","192.9","192.9"
"669","256.3","256.3","256.3"
"679","215.8","215.8","215.8"
"689","215.4","215.4","215.4"
"699","209.5","209.5","209.5"
"709","196.2","196.2","196.2"
"719","236.4","236.4","236.4"
"729","141.2","141.2","141.2"
"739","123.1","123.1","123.1"
"749","118.3","118.3","118.3"
"759","148.7","148.7","148.7"
"769","125.8","125.8","125.8"
"779","120","120","120"
"789","127.4","127.4","127.4"
"799","186.2","186.2","186.2"
"809","165.1","165.1","165.1"
"819","167.5","167.5","167.5"
"829","103.1","103.1","103.1"
"839","208.6","208.6","208.6"
"849","96.3","96.3","96.3"
"859","194.5","194.5","194.5"
"869","151.4","151.4","151.4"
"879","105.2","105.2","105.2"
"889","136.9","136.9","136.9"
"899","206.3","206.3","206.3"
"909","191.9","191.9","191.9"
"919","111.2","111.2","111.2"
"929","184.7","184.7","184.7"
"939","144.6","144.6","144.6"
"949","125.6","125.6","125.6"
"959","145","145","145"
"969","135","135","135"
"979","234.7","234.7","234.7"
"989","151.2","151.2","151.2"
"999","153.4","153.4","153.4"
"1009","169.2","169.2","169.2"
"1019","168.3","168.3","168.3"
"1029","143.2","143.2","143.2"
"1039","195.9","195.9","195.9"
"1049","149.7","149.7","149.7"
"1059","166.5","166.5","166.5"
"1069","105.4","105.4","105.4"
"1079","161.4","161.4","161.4"
"1089","211.7","211.7","211.7"
"1099","100.2","100.2","100.2"
"1109","201.6","201.6","201.6"
"1119","76.2","76.2","76.2"
"1129","146","146","146"
"1139","122.3","122.3","122.3"
"1149","152.2","152.2","152.2"
"1159","138.4","138.4","138.4"
"1169","142.6","142.6","142.6"
"1179","167.4","167.4","167.4"
"1189","156.6","156.6","156.6"
"1199","154.4","154.4","154.4"
"1209","122.6","122.6","122.6"
"1219","153.8","153.8","153.8"
"1229","206.1","206.1","206.1"
"1239","94.7","94.7","94.7"
"1249","116.1","116.1","116.1"
"1259","159.7","159.7","159.7"
"1269","121","121","121"
"1279","97.1","97.1","97.1"
"1289","116.4","116.4","116.4"
"1299","119","119","119"
"1309","138.9","138.9","138.9"
"1319","166.4","166.4","166.4"
"1329","144.8","144.8","144.8"
"1339","106.5","106.5","106.5"
"1349","143.9","143.9","143.9"
"1359","104.8","104.8","104.8"
"1369","191.7","191.7","191.7"
"1379","118.1","118.1","118.1"
"1389","160.5","160.5","160.5"
"1399","109.8","109.8","109.8"
"1409","100.3","100.3","100.3"
"1419","142.2","142.2","142.2"
"1429","165.3","165.3","165.3"
"1439","105.2","105.2","105.2"
"1449","139.4","139.4","139.4"
"1459","118.4","118.4","118.4"
"1469","137.5","137.5","137.5"
"1479","122","122","122"
"1489","117.2","117.2","117.2"
"1499","106.9","106.9","106.9"
"1509","139.9","139.9","139.9"
"1519","82.4","82.4","82.4"
"1529","92.8","92.8","92.8"
"1539","174.4","174.4","174.4"
"1549","82.4","82.4","82.4"
"1559","146","146","146"
"1569","165.5","165.5","165.5"
"1579","195.7","195.7","195.7"
"1589","163.6","163.6","163.6"
"1599","105.3","105.3","105.3"
"1609","99.9","99.9","99.9"
"1619","199.4","199.4","199.4"
"1629","90.8","90.8","90.8"
"1639","120.7","120.7","120.7"
"1649","137.6","137.6","137.6"
"1659","119.4","119.4","119.4"
"1669","172.1","172.1","172.1"
"1679","118.2","118.2","118.2"
"1689","150.7","150.7","150.7"
"1699","158.5","158.5","158.5"
"1709","93","93","93"
"1719","119.4","119.4","119.4"
"1729","161.1","161.1","161.1"
"1739","132.1","132.1","132.1"
"1749","107.7","107.7","107.7"
"1759","66.2","66.2","66.2"
"1769","102.8","102.8","102.8"
"1779","113","113","113"
"1789","77.8","77.8","77.8"
"1799","127.2","127.2","127.2"
"1809","127.6","127.6","127.6"
"1819","92.1","92.1","92.1"
"1829","161","161","161"
"1839","192.2","192.2","192.2"
"1849","150.7","150.7","150.7"
"1859","113.6","113.6","113.6"
"1869","97.1","97.1","97.1"
"1879","79.9","79.9","79.9"
"1889","84.2","84.2","84.2"
"1899","112","112","112"
"1909","93.9","93.9","93.9"
