"Step","iddpg_painting_gnn__648e3ace_24_09_18-04_29_24 - eval/reward/episode_len_mean","iddpg_painting_gnn__648e3ace_24_09_18-04_29_24 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__648e3ace_24_09_18-04_29_24 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","280.6","280.6","280.6"
"359","300","300","300"
"369","264.2","264.2","264.2"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","278","278","278"
"459","279.1","279.1","279.1"
"469","276.9","276.9","276.9"
"479","300","300","300"
"489","279.6","279.6","279.6"
"499","256.3","256.3","256.3"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","254.4","254.4","254.4"
"549","249.1","249.1","249.1"
"559","279.5","279.5","279.5"
"569","300","300","300"
"579","279.4","279.4","279.4"
"589","276.7","276.7","276.7"
"599","256.9","256.9","256.9"
"609","275.7","275.7","275.7"
"619","256.6","256.6","256.6"
"629","300","300","300"
"639","226.3","226.3","226.3"
"649","193.2","193.2","193.2"
"659","191.4","191.4","191.4"
"669","213.7","213.7","213.7"
"679","169.4","169.4","169.4"
"689","214","214","214"
"699","210.7","210.7","210.7"
"709","261.8","261.8","261.8"
"719","269.9","269.9","269.9"
"729","192.1","192.1","192.1"
"739","158.2","158.2","158.2"
"749","173.1","173.1","173.1"
"759","168.7","168.7","168.7"
"769","148.6","148.6","148.6"
"779","127.2","127.2","127.2"
"789","128.4","128.4","128.4"
"799","190.8","190.8","190.8"
"809","93.6","93.6","93.6"
"819","125.9","125.9","125.9"
"829","126.9","126.9","126.9"
"839","132.3","132.3","132.3"
"849","179.5","179.5","179.5"
"859","127.4","127.4","127.4"
"869","167.6","167.6","167.6"
"879","128.9","128.9","128.9"
"889","104.8","104.8","104.8"
"899","174.3","174.3","174.3"
"909","109.3","109.3","109.3"
"919","126.5","126.5","126.5"
"929","156.8","156.8","156.8"
"939","174.8","174.8","174.8"
"949","129.8","129.8","129.8"
"959","136.1","136.1","136.1"
"969","150.9","150.9","150.9"
"979","156.2","156.2","156.2"
"989","122.9","122.9","122.9"
"999","100.8","100.8","100.8"
"1009","102.8","102.8","102.8"
"1019","146.5","146.5","146.5"
"1029","87.6","87.6","87.6"
"1039","189.7","189.7","189.7"
"1049","214.2","214.2","214.2"
"1059","232.6","232.6","232.6"
"1069","129.8","129.8","129.8"
"1079","165.4","165.4","165.4"
"1089","83.4","83.4","83.4"
"1099","107.3","107.3","107.3"
"1109","114","114","114"
"1119","129.7","129.7","129.7"
"1129","84","84","84"
"1139","169.6","169.6","169.6"
"1149","114","114","114"
"1159","128.7","128.7","128.7"
"1169","103.2","103.2","103.2"
"1179","126.2","126.2","126.2"
"1189","105.4","105.4","105.4"
"1199","175","175","175"
"1209","145.5","145.5","145.5"
"1219","154.9","154.9","154.9"
"1229","129.4","129.4","129.4"
"1239","131.5","131.5","131.5"
"1249","185.4","185.4","185.4"
"1259","119.9","119.9","119.9"
"1269","106.3","106.3","106.3"
"1279","80.7","80.7","80.7"
"1289","203.4","203.4","203.4"
"1299","153.9","153.9","153.9"
"1309","116.1","116.1","116.1"
"1319","152.9","152.9","152.9"
"1329","105.3","105.3","105.3"
"1339","126.5","126.5","126.5"
"1349","217.6","217.6","217.6"
"1359","180.2","180.2","180.2"
"1369","89.2","89.2","89.2"
"1379","135.1","135.1","135.1"
"1389","187.2","187.2","187.2"
"1399","147.1","147.1","147.1"
"1409","101.2","101.2","101.2"
"1419","82.6","82.6","82.6"
"1429","97.1","97.1","97.1"
"1439","138.5","138.5","138.5"
"1449","138.4","138.4","138.4"
"1459","153.9","153.9","153.9"
"1469","119.7","119.7","119.7"
"1479","102.6","102.6","102.6"
"1489","110.2","110.2","110.2"
"1499","115.6","115.6","115.6"
"1509","108.9","108.9","108.9"
"1519","97.2","97.2","97.2"
"1529","111.9","111.9","111.9"
"1539","97.8","97.8","97.8"
"1549","138.4","138.4","138.4"
"1559","168.1","168.1","168.1"
"1569","176.8","176.8","176.8"
"1579","136.3","136.3","136.3"
"1589","134","134","134"
"1599","112.1","112.1","112.1"
"1609","107.8","107.8","107.8"
"1619","110.4","110.4","110.4"
"1629","135.1","135.1","135.1"
"1639","141.1","141.1","141.1"
"1649","156.6","156.6","156.6"
"1659","107.4","107.4","107.4"
"1669","111.1","111.1","111.1"
"1679","89.8","89.8","89.8"
"1689","116.1","116.1","116.1"
"1699","105.2","105.2","105.2"
"1709","111.1","111.1","111.1"
"1719","132.8","132.8","132.8"
"1729","133.7","133.7","133.7"
"1739","156.8","156.8","156.8"
"1749","93.9","93.9","93.9"
"1759","110.4","110.4","110.4"
"1769","155.8","155.8","155.8"
"1779","105.7","105.7","105.7"
"1789","110.2","110.2","110.2"
"1799","114.3","114.3","114.3"
"1809","110.4","110.4","110.4"
"1819","110.3","110.3","110.3"
"1829","110.6","110.6","110.6"
"1839","125.1","125.1","125.1"
"1849","125.1","125.1","125.1"
"1859","129.4","129.4","129.4"
"1869","119","119","119"
"1879","119.3","119.3","119.3"
"1889","178.6","178.6","178.6"
"1899","178.8","178.8","178.8"
"1909","89.3","89.3","89.3"
"1919","123.1","123.1","123.1"
"1929","103.7","103.7","103.7"
"1939","165.8","165.8","165.8"
