"Step","iddpg_painting_gnn__9278d07e_24_09_19-00_14_16 - eval/reward/episode_len_mean","iddpg_painting_gnn__9278d07e_24_09_19-00_14_16 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__9278d07e_24_09_19-00_14_16 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","279.2","279.2","279.2"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","278.5","278.5","278.5"
"299","279.4","279.4","279.4"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","279.4","279.4","279.4"
"359","300","300","300"
"369","300","300","300"
"379","282.6","282.6","282.6"
"389","300","300","300"
"399","281","281","281"
"409","300","300","300"
"419","274.4","274.4","274.4"
"429","277.4","277.4","277.4"
"439","279.6","279.6","279.6"
"449","300","300","300"
"459","300","300","300"
"469","278.5","278.5","278.5"
"479","300","300","300"
"489","282.1","282.1","282.1"
"499","276.8","276.8","276.8"
"509","279.1","279.1","279.1"
"519","300","300","300"
"529","277.6","277.6","277.6"
"539","300","300","300"
"549","218.2","218.2","218.2"
"559","282.6","282.6","282.6"
"569","281.1","281.1","281.1"
"579","189.2","189.2","189.2"
"589","209.9","209.9","209.9"
"599","234","234","234"
"609","300","300","300"
"619","145","145","145"
"629","259.6","259.6","259.6"
"639","264.1","264.1","264.1"
"649","300","300","300"
"659","190.7","190.7","190.7"
"669","149.2","149.2","149.2"
"679","193.3","193.3","193.3"
"689","210.2","210.2","210.2"
"699","211.1","211.1","211.1"
"709","205.4","205.4","205.4"
"719","153.4","153.4","153.4"
"729","147.6","147.6","147.6"
"739","233.8","233.8","233.8"
"749","184.8","184.8","184.8"
"759","195.3","195.3","195.3"
"769","126.1","126.1","126.1"
"779","126.2","126.2","126.2"
"789","174.6","174.6","174.6"
"799","163.2","163.2","163.2"
"809","146","146","146"
"819","175.2","175.2","175.2"
"829","155.1","155.1","155.1"
"839","162.3","162.3","162.3"
"849","266.4","266.4","266.4"
"859","116.6","116.6","116.6"
"869","170.9","170.9","170.9"
"879","255.7","255.7","255.7"
"889","138.6","138.6","138.6"
"899","139.2","139.2","139.2"
"909","145.9","145.9","145.9"
"919","162.2","162.2","162.2"
"929","178.8","178.8","178.8"
"939","127.2","127.2","127.2"
"949","133.3","133.3","133.3"
"959","159.4","159.4","159.4"
"969","181.2","181.2","181.2"
"979","148.5","148.5","148.5"
"989","149.5","149.5","149.5"
"999","131.6","131.6","131.6"
"1009","177.2","177.2","177.2"
"1019","132.2","132.2","132.2"
"1029","111.6","111.6","111.6"
"1039","120.5","120.5","120.5"
"1049","111.7","111.7","111.7"
"1059","151","151","151"
"1069","198.4","198.4","198.4"
"1079","101.2","101.2","101.2"
"1089","110.7","110.7","110.7"
"1099","162.6","162.6","162.6"
"1109","171.8","171.8","171.8"
"1119","127.9","127.9","127.9"
"1129","96.5","96.5","96.5"
"1139","181.3","181.3","181.3"
"1149","195.2","195.2","195.2"
"1159","179.2","179.2","179.2"
"1169","133.9","133.9","133.9"
"1179","100.1","100.1","100.1"
"1189","110.8","110.8","110.8"
"1199","142","142","142"
"1209","133.4","133.4","133.4"
"1219","134.6","134.6","134.6"
"1229","136.5","136.5","136.5"
"1239","148.3","148.3","148.3"
"1249","99.6","99.6","99.6"
"1259","130.4","130.4","130.4"
"1269","138.5","138.5","138.5"
"1279","107.6","107.6","107.6"
"1289","120.2","120.2","120.2"
"1299","164.6","164.6","164.6"
"1309","102.4","102.4","102.4"
"1319","119.6","119.6","119.6"
"1329","154.5","154.5","154.5"
"1339","114.9","114.9","114.9"
"1349","194.3","194.3","194.3"
"1359","97.5","97.5","97.5"
"1369","161.5","161.5","161.5"
"1379","104.7","104.7","104.7"
"1389","153.4","153.4","153.4"
"1399","145.5","145.5","145.5"
"1409","132.5","132.5","132.5"
"1419","155.9","155.9","155.9"
"1429","212.5","212.5","212.5"
"1439","125.9","125.9","125.9"
"1449","137.2","137.2","137.2"
"1459","122.7","122.7","122.7"
"1469","134.4","134.4","134.4"
"1479","133.2","133.2","133.2"
"1489","131.7","131.7","131.7"
"1499","144.4","144.4","144.4"
"1509","104.1","104.1","104.1"
"1519","154.8","154.8","154.8"
"1529","167.8","167.8","167.8"
"1539","199.9","199.9","199.9"
"1549","165.8","165.8","165.8"
"1559","116","116","116"
"1569","215","215","215"
"1579","127.3","127.3","127.3"
"1589","166.6","166.6","166.6"
"1599","115.8","115.8","115.8"
"1609","147.5","147.5","147.5"
"1619","126.1","126.1","126.1"
"1629","149.9","149.9","149.9"
"1639","90.6","90.6","90.6"
"1649","111.7","111.7","111.7"
"1659","135.6","135.6","135.6"
"1669","173.3","173.3","173.3"
"1679","106.3","106.3","106.3"
"1689","126.8","126.8","126.8"
"1699","99.3","99.3","99.3"
"1709","111.3","111.3","111.3"
"1719","173.2","173.2","173.2"
"1729","127.7","127.7","127.7"
"1739","106.7","106.7","106.7"
"1749","133.9","133.9","133.9"
"1759","129.5","129.5","129.5"
"1769","110.2","110.2","110.2"
"1779","114.3","114.3","114.3"
"1789","174","174","174"
"1799","164.7","164.7","164.7"
"1809","156.9","156.9","156.9"
"1819","146.1","146.1","146.1"
"1829","114.2","114.2","114.2"
"1839","216.8","216.8","216.8"
"1849","104.9","104.9","104.9"
"1859","128.6","128.6","128.6"
"1869","119.4","119.4","119.4"
"1879","146.7","146.7","146.7"
"1889","113.6","113.6","113.6"
"1899","115.7","115.7","115.7"
"1909","146.5","146.5","146.5"
"1919","101.7","101.7","101.7"
