"Step","iddpg_painting_gnn__985feb62_24_09_19-01_08_55 - eval/reward/episode_len_mean","iddpg_painting_gnn__985feb62_24_09_19-01_08_55 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__985feb62_24_09_19-01_08_55 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","276.3","276.3","276.3"
"219","278.1","278.1","278.1"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","278.9","278.9","278.9"
"339","278.4","278.4","278.4"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","278.4","278.4","278.4"
"509","277.7","277.7","277.7"
"519","300","300","300"
"529","276.9","276.9","276.9"
"539","180.2","180.2","180.2"
"549","253","253","253"
"559","263.8","263.8","263.8"
"569","232.4","232.4","232.4"
"579","259.9","259.9","259.9"
"589","252.7","252.7","252.7"
"599","195","195","195"
"609","234.5","234.5","234.5"
"619","240","240","240"
"629","260.8","260.8","260.8"
"639","259.6","259.6","259.6"
"649","254.4","254.4","254.4"
"659","198.1","198.1","198.1"
"669","261.7","261.7","261.7"
"679","210.6","210.6","210.6"
"689","184.2","184.2","184.2"
"699","192.8","192.8","192.8"
"709","147.9","147.9","147.9"
"719","140.8","140.8","140.8"
"729","196.5","196.5","196.5"
"739","134.5","134.5","134.5"
"749","107.4","107.4","107.4"
"759","138","138","138"
"769","150.4","150.4","150.4"
"779","195.4","195.4","195.4"
"789","126.3","126.3","126.3"
"799","169","169","169"
"809","110.2","110.2","110.2"
"819","120.8","120.8","120.8"
"829","134.8","134.8","134.8"
"839","195.1","195.1","195.1"
"849","142.6","142.6","142.6"
"859","180.9","180.9","180.9"
"869","149","149","149"
"879","199","199","199"
"889","111.2","111.2","111.2"
"899","173.6","173.6","173.6"
"909","104.3","104.3","104.3"
"919","185.5","185.5","185.5"
"929","216.6","216.6","216.6"
"939","210.4","210.4","210.4"
"949","166.8","166.8","166.8"
"959","154.1","154.1","154.1"
"969","168.9","168.9","168.9"
"979","137.8","137.8","137.8"
"989","154.4","154.4","154.4"
"999","168.3","168.3","168.3"
"1009","172.4","172.4","172.4"
"1019","123","123","123"
"1029","184.8","184.8","184.8"
"1039","96.8","96.8","96.8"
"1049","156","156","156"
"1059","155.5","155.5","155.5"
"1069","150.4","150.4","150.4"
"1079","106.1","106.1","106.1"
"1089","105.8","105.8","105.8"
"1099","104.8","104.8","104.8"
"1109","177.3","177.3","177.3"
"1119","126.4","126.4","126.4"
"1129","80.8","80.8","80.8"
"1139","101","101","101"
"1149","101.4","101.4","101.4"
"1159","129.3","129.3","129.3"
"1169","81.1","81.1","81.1"
"1179","126.7","126.7","126.7"
"1189","98.3","98.3","98.3"
"1199","100.3","100.3","100.3"
"1209","82.9","82.9","82.9"
"1219","120","120","120"
"1229","135.1","135.1","135.1"
"1239","104.3","104.3","104.3"
"1249","81.9","81.9","81.9"
"1259","156.9","156.9","156.9"
"1269","143.5","143.5","143.5"
"1279","136.5","136.5","136.5"
"1289","177.8","177.8","177.8"
"1299","143","143","143"
"1309","118.1","118.1","118.1"
"1319","163.8","163.8","163.8"
"1329","103.9","103.9","103.9"
"1339","134.3","134.3","134.3"
"1349","139.9","139.9","139.9"
"1359","133.4","133.4","133.4"
"1369","96.5","96.5","96.5"
"1379","107","107","107"
"1389","174.2","174.2","174.2"
"1399","170.7","170.7","170.7"
"1409","113.3","113.3","113.3"
"1419","128.6","128.6","128.6"
"1429","102","102","102"
"1439","132.5","132.5","132.5"
"1449","171","171","171"
"1459","90.5","90.5","90.5"
"1469","116.3","116.3","116.3"
"1479","100.4","100.4","100.4"
"1489","142.9","142.9","142.9"
"1499","165.4","165.4","165.4"
"1509","90.6","90.6","90.6"
"1519","90.4","90.4","90.4"
"1529","150.7","150.7","150.7"
"1539","98.3","98.3","98.3"
"1549","154.4","154.4","154.4"
"1559","85.9","85.9","85.9"
"1569","131.2","131.2","131.2"
"1579","88.8","88.8","88.8"
"1589","107.7","107.7","107.7"
"1599","84.3","84.3","84.3"
"1609","91.9","91.9","91.9"
"1619","158.9","158.9","158.9"
"1629","93.4","93.4","93.4"
"1639","135.2","135.2","135.2"
"1649","139.6","139.6","139.6"
"1659","143.3","143.3","143.3"
"1669","139.7","139.7","139.7"
"1679","96.3","96.3","96.3"
"1689","91.3","91.3","91.3"
"1699","115.6","115.6","115.6"
"1709","108.6","108.6","108.6"
"1719","110.6","110.6","110.6"
"1729","127.4","127.4","127.4"
"1739","124.9","124.9","124.9"
"1749","111.9","111.9","111.9"
"1759","87.6","87.6","87.6"
"1769","96.3","96.3","96.3"
"1779","84.9","84.9","84.9"
"1789","86.1","86.1","86.1"
"1799","117.8","117.8","117.8"
"1809","85.8","85.8","85.8"
"1819","107.4","107.4","107.4"
"1829","143.8","143.8","143.8"
"1839","103","103","103"
"1849","129.8","129.8","129.8"
"1859","79.7","79.7","79.7"
"1869","110.3","110.3","110.3"
"1879","132.3","132.3","132.3"
"1889","93.8","93.8","93.8"
"1899","100.3","100.3","100.3"
"1909","106.3","106.3","106.3"
"1919","135.3","135.3","135.3"
"1929","131.3","131.3","131.3"
"1939","159.9","159.9","159.9"
"1949","110.6","110.6","110.6"
"1959","95.5","95.5","95.5"
