"Step","iddpg_painting_gnn__0badf08a_24_09_17-18_43_47 - eval/reward/episode_len_mean","iddpg_painting_gnn__0badf08a_24_09_17-18_43_47 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__0badf08a_24_09_17-18_43_47 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","259.4","259.4","259.4"
"199","300","300","300"
"209","300","300","300"
"219","278.4","278.4","278.4"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","280.3","280.3","280.3"
"279","279.5","279.5","279.5"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","275.6","275.6","275.6"
"349","300","300","300"
"359","300","300","300"
"369","278.5","278.5","278.5"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","258.4","258.4","258.4"
"449","279.9","279.9","279.9"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","279.6","279.6","279.6"
"509","278.6","278.6","278.6"
"519","277","277","277"
"529","282.2","282.2","282.2"
"539","231.2","231.2","231.2"
"549","259.6","259.6","259.6"
"559","256.7","256.7","256.7"
"569","234.2","234.2","234.2"
"579","232.9","232.9","232.9"
"589","257.5","257.5","257.5"
"599","276.9","276.9","276.9"
"609","285.1","285.1","285.1"
"619","233.4","233.4","233.4"
"629","237.1","237.1","237.1"
"639","213.1","213.1","213.1"
"649","258.6","258.6","258.6"
"659","189.7","189.7","189.7"
"669","193.8","193.8","193.8"
"679","233.5","233.5","233.5"
"689","191.4","191.4","191.4"
"699","209.8","209.8","209.8"
"709","132","132","132"
"719","176.1","176.1","176.1"
"729","152.3","152.3","152.3"
"739","199.6","199.6","199.6"
"749","171.9","171.9","171.9"
"759","215","215","215"
"769","167","167","167"
"779","149.6","149.6","149.6"
"789","213.3","213.3","213.3"
"799","170.8","170.8","170.8"
"809","125.4","125.4","125.4"
"819","120.1","120.1","120.1"
"829","121.2","121.2","121.2"
"839","104","104","104"
"849","134.6","134.6","134.6"
"859","132.5","132.5","132.5"
"869","125.7","125.7","125.7"
"879","197.9","197.9","197.9"
"889","172.1","172.1","172.1"
"899","114.6","114.6","114.6"
"909","126.1","126.1","126.1"
"919","128.5","128.5","128.5"
"929","163.6","163.6","163.6"
"939","197.5","197.5","197.5"
"949","133","133","133"
"959","122.9","122.9","122.9"
"969","132.3","132.3","132.3"
"979","136.9","136.9","136.9"
"989","174.6","174.6","174.6"
"999","212.9","212.9","212.9"
"1009","128.9","128.9","128.9"
"1019","100.1","100.1","100.1"
"1029","144.2","144.2","144.2"
"1039","187.3","187.3","187.3"
"1049","129.9","129.9","129.9"
"1059","124.4","124.4","124.4"
"1069","123.3","123.3","123.3"
"1079","145.2","145.2","145.2"
"1089","131.4","131.4","131.4"
"1099","177.1","177.1","177.1"
"1109","109.4","109.4","109.4"
"1119","102.6","102.6","102.6"
"1129","122.8","122.8","122.8"
"1139","168.9","168.9","168.9"
"1149","150.2","150.2","150.2"
"1159","80.1","80.1","80.1"
"1169","123.9","123.9","123.9"
"1179","169.5","169.5","169.5"
"1189","111.2","111.2","111.2"
"1199","174.7","174.7","174.7"
"1209","144.8","144.8","144.8"
"1219","106.1","106.1","106.1"
"1229","113","113","113"
"1239","150.2","150.2","150.2"
"1249","113.2","113.2","113.2"
"1259","155.2","155.2","155.2"
"1269","112","112","112"
"1279","130.2","130.2","130.2"
"1289","101.4","101.4","101.4"
"1299","161.1","161.1","161.1"
"1309","108.5","108.5","108.5"
"1319","144.6","144.6","144.6"
"1329","184.1","184.1","184.1"
"1339","153.3","153.3","153.3"
"1349","137.4","137.4","137.4"
"1359","106","106","106"
"1369","177.3","177.3","177.3"
"1379","101.9","101.9","101.9"
"1389","111.6","111.6","111.6"
"1399","134.7","134.7","134.7"
"1409","151.4","151.4","151.4"
"1419","111.6","111.6","111.6"
"1429","142.5","142.5","142.5"
"1439","80","80","80"
"1449","167.8","167.8","167.8"
"1459","138.9","138.9","138.9"
"1469","111.9","111.9","111.9"
"1479","130.5","130.5","130.5"
"1489","150.3","150.3","150.3"
"1499","117.3","117.3","117.3"
"1509","127.2","127.2","127.2"
"1519","110.6","110.6","110.6"
"1529","143.4","143.4","143.4"
"1539","104","104","104"
"1549","142.9","142.9","142.9"
"1559","146.1","146.1","146.1"
"1569","109.5","109.5","109.5"
"1579","146","146","146"
"1589","137.5","137.5","137.5"
"1599","118.4","118.4","118.4"
"1609","135","135","135"
"1619","126.1","126.1","126.1"
"1629","134.4","134.4","134.4"
"1639","164","164","164"
"1649","124.9","124.9","124.9"
"1659","191.1","191.1","191.1"
"1669","214.2","214.2","214.2"
"1679","242.1","242.1","242.1"
"1689","263.6","263.6","263.6"
"1699","279.4","279.4","279.4"
"1709","300","300","300"
"1719","300","300","300"
"1729","300","300","300"
"1739","300","300","300"
"1749","300","300","300"
"1759","300","300","300"
"1769","300","300","300"
"1779","300","300","300"
"1789","300","300","300"
"1799","300","300","300"
"1809","300","300","300"
"1819","300","300","300"
"1829","300","300","300"
"1839","300","300","300"
"1849","300","300","300"
"1859","300","300","300"
"1869","300","300","300"
"1879","300","300","300"
"1889","300","300","300"
"1899","300","300","300"
"1909","300","300","300"
"1919","300","300","300"
"1929","300","300","300"
"1939","300","300","300"
"1949","300","300","300"
"1959","300","300","300"
"1969","300","300","300"
"1979","300","300","300"
"1989","300","300","300"
"1999","300","300","300"
