"Step","iddpg_painting_gnn__cde207a2_24_09_18-22_19_23 - eval/reward/episode_len_mean","iddpg_painting_gnn__cde207a2_24_09_18-22_19_23 - eval/reward/episode_len_mean__MIN","iddpg_painting_gnn__cde207a2_24_09_18-22_19_23 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","279.1","279.1","279.1"
"209","278.7","278.7","278.7"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","275.2","275.2","275.2"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","282.9","282.9","282.9"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","255.8","255.8","255.8"
"479","279.3","279.3","279.3"
"489","279.8","279.8","279.8"
"499","300","300","300"
"509","300","300","300"
"519","257.6","257.6","257.6"
"529","238.7","238.7","238.7"
"539","280.1","280.1","280.1"
"549","238.5","238.5","238.5"
"559","300","300","300"
"569","280.2","280.2","280.2"
"579","300","300","300"
"589","255.6","255.6","255.6"
"599","193.2","193.2","193.2"
"609","211","211","211"
"619","232.5","232.5","232.5"
"629","218.8","218.8","218.8"
"639","257.8","257.8","257.8"
"649","229","229","229"
"659","195.5","195.5","195.5"
"669","215.6","215.6","215.6"
"679","216.2","216.2","216.2"
"689","258.2","258.2","258.2"
"699","279.4","279.4","279.4"
"709","215.1","215.1","215.1"
"719","193.1","193.1","193.1"
"729","160.2","160.2","160.2"
"739","190.9","190.9","190.9"
"749","152.8","152.8","152.8"
"759","142","142","142"
"769","145.7","145.7","145.7"
"779","132.6","132.6","132.6"
"789","147.8","147.8","147.8"
"799","176.2","176.2","176.2"
"809","133.4","133.4","133.4"
"819","148.9","148.9","148.9"
"829","201","201","201"
"839","96.1","96.1","96.1"
"849","77.2","77.2","77.2"
"859","134.7","134.7","134.7"
"869","148.5","148.5","148.5"
"879","211.6","211.6","211.6"
"889","149.6","149.6","149.6"
"899","133.4","133.4","133.4"
"909","87.5","87.5","87.5"
"919","148.4","148.4","148.4"
"929","114.3","114.3","114.3"
"939","120.3","120.3","120.3"
"949","167","167","167"
"959","106.9","106.9","106.9"
"969","128.9","128.9","128.9"
"979","193.9","193.9","193.9"
"989","107.7","107.7","107.7"
"999","169.4","169.4","169.4"
"1009","195.8","195.8","195.8"
"1019","89.9","89.9","89.9"
"1029","132.4","132.4","132.4"
"1039","169","169","169"
"1049","145.7","145.7","145.7"
"1059","189.6","189.6","189.6"
"1069","143.5","143.5","143.5"
"1079","166.7","166.7","166.7"
"1089","153.9","153.9","153.9"
"1099","158.3","158.3","158.3"
"1109","142.9","142.9","142.9"
"1119","105.2","105.2","105.2"
"1129","143.4","143.4","143.4"
"1139","125.2","125.2","125.2"
"1149","139","139","139"
"1159","144.6","144.6","144.6"
"1169","152.1","152.1","152.1"
"1179","107.1","107.1","107.1"
"1189","111.2","111.2","111.2"
"1199","149.1","149.1","149.1"
"1209","125.8","125.8","125.8"
"1219","106.7","106.7","106.7"
"1229","151.9","151.9","151.9"
"1239","162.6","162.6","162.6"
"1249","142.4","142.4","142.4"
"1259","91.3","91.3","91.3"
"1269","108.1","108.1","108.1"
"1279","145.6","145.6","145.6"
"1289","136.7","136.7","136.7"
"1299","113","113","113"
"1309","126.3","126.3","126.3"
"1319","134.5","134.5","134.5"
"1329","100.9","100.9","100.9"
"1339","106.7","106.7","106.7"
"1349","187.8","187.8","187.8"
"1359","150.7","150.7","150.7"
"1369","148","148","148"
"1379","110.3","110.3","110.3"
"1389","192.1","192.1","192.1"
"1399","133.1","133.1","133.1"
"1409","127.5","127.5","127.5"
"1419","95.9","95.9","95.9"
"1429","105.6","105.6","105.6"
"1439","114.3","114.3","114.3"
"1449","144.8","144.8","144.8"
"1459","110.2","110.2","110.2"
"1469","115.3","115.3","115.3"
"1479","89.3","89.3","89.3"
"1489","106","106","106"
"1499","131.4","131.4","131.4"
"1509","136.3","136.3","136.3"
"1519","92.1","92.1","92.1"
"1529","120.5","120.5","120.5"
"1539","133.4","133.4","133.4"
"1549","133.4","133.4","133.4"
"1559","114.6","114.6","114.6"
"1569","139","139","139"
"1579","115.5","115.5","115.5"
"1589","121.8","121.8","121.8"
"1599","126.3","126.3","126.3"
"1609","116.3","116.3","116.3"
"1619","196.6","196.6","196.6"
"1629","128.3","128.3","128.3"
"1639","109.4","109.4","109.4"
"1649","154.2","154.2","154.2"
"1659","120.3","120.3","120.3"
"1669","198.8","198.8","198.8"
"1679","117.2","117.2","117.2"
"1689","159.1","159.1","159.1"
"1699","159.2","159.2","159.2"
"1709","185.2","185.2","185.2"
"1719","140","140","140"
"1729","147.9","147.9","147.9"
"1739","135.1","135.1","135.1"
"1749","184.6","184.6","184.6"
"1759","134.3","134.3","134.3"
"1769","128.1","128.1","128.1"
"1779","180.8","180.8","180.8"
"1789","151.4","151.4","151.4"
"1799","155","155","155"
"1809","211.6","211.6","211.6"
"1819","171.1","171.1","171.1"
"1829","158.3","158.3","158.3"
"1839","183","183","183"
"1849","212.1","212.1","212.1"
"1859","217.5","217.5","217.5"
"1869","263","263","263"
"1879","256","256","256"
"1889","266.7","266.7","266.7"
"1899","278","278","278"
"1909","293.2","293.2","293.2"
"1919","300","300","300"
"1929","300","300","300"
"1939","300","300","300"
"1949","300","300","300"
"1959","300","300","300"
"1969","300","300","300"
"1979","300","300","300"
"1989","300","300","300"
"1999","300","300","300"
