"Step","maddpg_painting_gnn__e6fc81ec_24_09_10-10_25_01 - eval/reward/episode_len_mean","maddpg_painting_gnn__e6fc81ec_24_09_10-10_25_01 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__e6fc81ec_24_09_10-10_25_01 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","278.1","278.1","278.1"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","279","279","279"
"499","300","300","300"
"509","279.1","279.1","279.1"
"519","279","279","279"
"529","275.6","275.6","275.6"
"539","280.9","280.9","280.9"
"549","250.7","250.7","250.7"
"559","278.7","278.7","278.7"
"569","227.8","227.8","227.8"
"579","237.6","237.6","237.6"
"589","256.4","256.4","256.4"
"599","275.4","275.4","275.4"
"609","231.7","231.7","231.7"
"619","232.5","232.5","232.5"
"629","233.5","233.5","233.5"
"639","183.4","183.4","183.4"
"649","174.4","174.4","174.4"
"659","133.5","133.5","133.5"
"669","163.5","163.5","163.5"
"679","232.5","232.5","232.5"
"689","156.4","156.4","156.4"
"699","167.4","167.4","167.4"
"709","190.9","190.9","190.9"
"719","183.2","183.2","183.2"
"729","210","210","210"
"739","139.6","139.6","139.6"
"749","211.7","211.7","211.7"
"759","121.9","121.9","121.9"
"769","204.4","204.4","204.4"
"779","120.9","120.9","120.9"
"789","186.6","186.6","186.6"
"799","155.2","155.2","155.2"
"809","173.1","173.1","173.1"
"819","188.3","188.3","188.3"
"829","180","180","180"
"839","164.1","164.1","164.1"
"849","146.7","146.7","146.7"
"859","135.4","135.4","135.4"
"869","166.6","166.6","166.6"
"879","115.6","115.6","115.6"
"889","194.5","194.5","194.5"
"899","165.4","165.4","165.4"
"909","136.3","136.3","136.3"
"919","88","88","88"
"929","144.8","144.8","144.8"
"939","107.9","107.9","107.9"
"949","173","173","173"
"959","138.4","138.4","138.4"
"969","127.4","127.4","127.4"
"979","159.7","159.7","159.7"
"989","168.4","168.4","168.4"
"999","130.6","130.6","130.6"
"1009","186.9","186.9","186.9"
"1019","144.6","144.6","144.6"
"1029","121.4","121.4","121.4"
"1039","127.6","127.6","127.6"
"1049","120.8","120.8","120.8"
"1059","110.9","110.9","110.9"
"1069","175.3","175.3","175.3"
"1079","142.7","142.7","142.7"
"1089","163","163","163"
"1099","134.1","134.1","134.1"
"1109","192.6","192.6","192.6"
"1119","152.2","152.2","152.2"
"1129","174.2","174.2","174.2"
"1139","180.3","180.3","180.3"
"1149","171.3","171.3","171.3"
"1159","140.5","140.5","140.5"
"1169","133.5","133.5","133.5"
"1179","159.1","159.1","159.1"
"1189","181.6","181.6","181.6"
"1199","116.8","116.8","116.8"
"1209","182","182","182"
"1219","129.3","129.3","129.3"
"1229","158.8","158.8","158.8"
"1239","99.4","99.4","99.4"
"1249","124.8","124.8","124.8"
"1259","142.9","142.9","142.9"
"1269","108.2","108.2","108.2"
"1279","98.8","98.8","98.8"
"1289","110.8","110.8","110.8"
"1299","123.1","123.1","123.1"
"1309","163.1","163.1","163.1"
"1319","204.7","204.7","204.7"
"1329","128.7","128.7","128.7"
"1339","167.1","167.1","167.1"
"1349","148.9","148.9","148.9"
"1359","162.9","162.9","162.9"
"1369","170.2","170.2","170.2"
"1379","144.4","144.4","144.4"
"1389","149.3","149.3","149.3"
"1399","148.8","148.8","148.8"
"1409","211.7","211.7","211.7"
"1419","156.4","156.4","156.4"
"1429","172.9","172.9","172.9"
"1439","126.8","126.8","126.8"
"1449","86","86","86"
"1459","170.5","170.5","170.5"
"1469","101.5","101.5","101.5"
"1479","142","142","142"
"1489","132.3","132.3","132.3"
"1499","78.4","78.4","78.4"
"1509","95.2","95.2","95.2"
"1519","235.5","235.5","235.5"
"1529","199.9","199.9","199.9"
"1539","189.1","189.1","189.1"
"1549","124.3","124.3","124.3"
"1559","161.5","161.5","161.5"
"1569","175","175","175"
"1579","211.1","211.1","211.1"
"1589","129.5","129.5","129.5"
"1599","213.5","213.5","213.5"
"1609","149.5","149.5","149.5"
"1619","196.3","196.3","196.3"
"1629","124.5","124.5","124.5"
"1639","107.5","107.5","107.5"
"1649","165.2","165.2","165.2"
"1659","163.1","163.1","163.1"
"1669","126.6","126.6","126.6"
"1679","116.5","116.5","116.5"
"1689","149","149","149"
"1699","149.9","149.9","149.9"
"1709","194.5","194.5","194.5"
"1719","173.3","173.3","173.3"
"1729","160.6","160.6","160.6"
"1739","109.5","109.5","109.5"
"1749","108.9","108.9","108.9"
"1759","136.9","136.9","136.9"
"1769","186.9","186.9","186.9"
"1779","173.3","173.3","173.3"
"1789","176.8","176.8","176.8"
"1799","140.4","140.4","140.4"
"1809","217.6","217.6","217.6"
"1819","166.6","166.6","166.6"
"1829","100.3","100.3","100.3"
"1839","141.7","141.7","141.7"
"1849","111.6","111.6","111.6"
"1859","139.3","139.3","139.3"
"1869","176.6","176.6","176.6"
"1879","155","155","155"
"1889","157.7","157.7","157.7"
"1899","194.4","194.4","194.4"
"1909","219.3","219.3","219.3"
"1919","243.3","243.3","243.3"
"1929","131.1","131.1","131.1"
"1939","186.6","186.6","186.6"
"1949","131.7","131.7","131.7"
"1959","155","155","155"
