"Step","maddpg_painting_gnn__33fdfff4_24_09_10-10_25_44 - eval/reward/episode_len_mean","maddpg_painting_gnn__33fdfff4_24_09_10-10_25_44 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__33fdfff4_24_09_10-10_25_44 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","256.3","256.3","256.3"
"459","254.8","254.8","254.8"
"469","300","300","300"
"479","300","300","300"
"489","277.7","277.7","277.7"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","278.7","278.7","278.7"
"539","300","300","300"
"549","277.8","277.8","277.8"
"559","277.1","277.1","277.1"
"569","300","300","300"
"579","255.5","255.5","255.5"
"589","238.7","238.7","238.7"
"599","300","300","300"
"609","237.4","237.4","237.4"
"619","217.1","217.1","217.1"
"629","257.6","257.6","257.6"
"639","213.9","213.9","213.9"
"649","233.4","233.4","233.4"
"659","231.5","231.5","231.5"
"669","193.6","193.6","193.6"
"679","300","300","300"
"689","211.6","211.6","211.6"
"699","233.1","233.1","233.1"
"709","209.8","209.8","209.8"
"719","172.8","172.8","172.8"
"729","193.6","193.6","193.6"
"739","207.2","207.2","207.2"
"749","170.9","170.9","170.9"
"759","106.9","106.9","106.9"
"769","128","128","128"
"779","187.8","187.8","187.8"
"789","146.2","146.2","146.2"
"799","169.2","169.2","169.2"
"809","168.1","168.1","168.1"
"819","146","146","146"
"829","137.8","137.8","137.8"
"839","194.4","194.4","194.4"
"849","105.4","105.4","105.4"
"859","198.8","198.8","198.8"
"869","123","123","123"
"879","165.4","165.4","165.4"
"889","148","148","148"
"899","153.2","153.2","153.2"
"909","149.7","149.7","149.7"
"919","187.7","187.7","187.7"
"929","247.1","247.1","247.1"
"939","172.1","172.1","172.1"
"949","221","221","221"
"959","150.1","150.1","150.1"
"969","174.7","174.7","174.7"
"979","162.9","162.9","162.9"
"989","191.1","191.1","191.1"
"999","170.1","170.1","170.1"
"1009","121.6","121.6","121.6"
"1019","168.1","168.1","168.1"
"1029","171.4","171.4","171.4"
"1039","210.3","210.3","210.3"
"1049","131.7","131.7","131.7"
"1059","201.3","201.3","201.3"
"1069","159.2","159.2","159.2"
"1079","145.5","145.5","145.5"
"1089","170.6","170.6","170.6"
"1099","120.2","120.2","120.2"
"1109","167.1","167.1","167.1"
"1119","196.3","196.3","196.3"
"1129","234.6","234.6","234.6"
"1139","129.2","129.2","129.2"
"1149","200.3","200.3","200.3"
"1159","236.2","236.2","236.2"
"1169","153.8","153.8","153.8"
"1179","127","127","127"
"1189","167.4","167.4","167.4"
"1199","142.8","142.8","142.8"
"1209","217.5","217.5","217.5"
"1219","158","158","158"
"1229","191.6","191.6","191.6"
"1239","202.2","202.2","202.2"
"1249","129.6","129.6","129.6"
"1259","174.9","174.9","174.9"
"1269","150.1","150.1","150.1"
"1279","130.3","130.3","130.3"
"1289","160.8","160.8","160.8"
"1299","132.1","132.1","132.1"
"1309","106.7","106.7","106.7"
"1319","178.5","178.5","178.5"
"1329","196.6","196.6","196.6"
"1339","168.8","168.8","168.8"
"1349","222.9","222.9","222.9"
"1359","221.5","221.5","221.5"
"1369","108.1","108.1","108.1"
"1379","235.6","235.6","235.6"
"1389","132.1","132.1","132.1"
"1399","189.6","189.6","189.6"
"1409","193.6","193.6","193.6"
"1419","201.7","201.7","201.7"
"1429","181.8","181.8","181.8"
"1439","146.9","146.9","146.9"
"1449","216.4","216.4","216.4"
"1459","257.2","257.2","257.2"
"1469","300","300","300"
"1479","300","300","300"
"1489","300","300","300"
"1499","289.1","289.1","289.1"
"1509","300","300","300"
"1519","280.9","280.9","280.9"
"1529","282.3","282.3","282.3"
"1539","262.5","262.5","262.5"
"1549","281.8","281.8","281.8"
"1559","300","300","300"
"1569","195.2","195.2","195.2"
"1579","136.5","136.5","136.5"
"1589","207.1","207.1","207.1"
"1599","260.5","260.5","260.5"
"1609","258.4","258.4","258.4"
"1619","226.1","226.1","226.1"
"1629","173","173","173"
"1639","117.7","117.7","117.7"
"1649","116","116","116"
"1659","182.5","182.5","182.5"
"1669","147.5","147.5","147.5"
"1679","165.6","165.6","165.6"
"1689","178.6","178.6","178.6"
"1699","242.7","242.7","242.7"
"1709","104.1","104.1","104.1"
"1719","154.1","154.1","154.1"
"1729","199.6","199.6","199.6"
"1739","159.9","159.9","159.9"
"1749","149.3","149.3","149.3"
"1759","184.1","184.1","184.1"
"1769","198.4","198.4","198.4"
"1779","188.7","188.7","188.7"
"1789","189.4","189.4","189.4"
"1799","150.1","150.1","150.1"
"1809","215.6","215.6","215.6"
"1819","250","250","250"
"1829","286.9","286.9","286.9"
"1839","300","300","300"
"1849","300","300","300"
"1859","300","300","300"
"1869","300","300","300"
"1879","283.5","283.5","283.5"
"1889","277.9","277.9","277.9"
"1899","281.7","281.7","281.7"
"1909","216.6","216.6","216.6"
"1919","247.5","247.5","247.5"
"1929","131.6","131.6","131.6"
"1939","172.3","172.3","172.3"
"1949","100.8","100.8","100.8"
"1959","171.5","171.5","171.5"
"1969","268.5","268.5","268.5"
"1979","223.8","223.8","223.8"
"1989","155","155","155"
"1999","135.9","135.9","135.9"
