"Step","maddpg_painting_gnn__3b6bc339_24_09_10-10_25_44 - eval/reward/episode_len_mean","maddpg_painting_gnn__3b6bc339_24_09_10-10_25_44 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__3b6bc339_24_09_10-10_25_44 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","278.4","278.4","278.4"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","300","300","300"
"569","300","300","300"
"579","300","300","300"
"589","278.3","278.3","278.3"
"599","300","300","300"
"609","229.2","229.2","229.2"
"619","275.9","275.9","275.9"
"629","214.3","214.3","214.3"
"639","279.5","279.5","279.5"
"649","258.1","258.1","258.1"
"659","277.3","277.3","277.3"
"669","254.6","254.6","254.6"
"679","258.8","258.8","258.8"
"689","235.7","235.7","235.7"
"699","216.1","216.1","216.1"
"709","210.8","210.8","210.8"
"719","183.9","183.9","183.9"
"729","185.3","185.3","185.3"
"739","193.8","193.8","193.8"
"749","251","251","251"
"759","200.4","200.4","200.4"
"769","123.3","123.3","123.3"
"779","255.2","255.2","255.2"
"789","227.5","227.5","227.5"
"799","169.2","169.2","169.2"
"809","169.8","169.8","169.8"
"819","257.6","257.6","257.6"
"829","109.6","109.6","109.6"
"839","156.7","156.7","156.7"
"849","155.2","155.2","155.2"
"859","193.6","193.6","193.6"
"869","174.3","174.3","174.3"
"879","192.9","192.9","192.9"
"889","212.1","212.1","212.1"
"899","207","207","207"
"909","188.7","188.7","188.7"
"919","129","129","129"
"929","124.2","124.2","124.2"
"939","148.3","148.3","148.3"
"949","194.9","194.9","194.9"
"959","231.6","231.6","231.6"
"969","255.4","255.4","255.4"
"979","155.6","155.6","155.6"
"989","239.5","239.5","239.5"
"999","164.2","164.2","164.2"
"1009","198.6","198.6","198.6"
"1019","202.2","202.2","202.2"
"1029","179","179","179"
"1039","112.6","112.6","112.6"
"1049","169.9","169.9","169.9"
"1059","172.5","172.5","172.5"
"1069","135.8","135.8","135.8"
"1079","179.5","179.5","179.5"
"1089","195.1","195.1","195.1"
"1099","217.4","217.4","217.4"
"1109","175.4","175.4","175.4"
"1119","146.4","146.4","146.4"
"1129","128.5","128.5","128.5"
"1139","128.8","128.8","128.8"
"1149","84.6","84.6","84.6"
"1159","132.2","132.2","132.2"
"1169","169.4","169.4","169.4"
"1179","237.6","237.6","237.6"
"1189","190","190","190"
"1199","175.4","175.4","175.4"
"1209","114.6","114.6","114.6"
"1219","159.3","159.3","159.3"
"1229","155.5","155.5","155.5"
"1239","146.7","146.7","146.7"
"1249","170.4","170.4","170.4"
"1259","196.6","196.6","196.6"
"1269","157","157","157"
"1279","115","115","115"
"1289","188.8","188.8","188.8"
"1299","148","148","148"
"1309","227.6","227.6","227.6"
"1319","224.1","224.1","224.1"
"1329","151.2","151.2","151.2"
"1339","160.4","160.4","160.4"
"1349","199.2","199.2","199.2"
"1359","140.7","140.7","140.7"
"1369","176.7","176.7","176.7"
"1379","135","135","135"
"1389","175.6","175.6","175.6"
"1399","130.7","130.7","130.7"
"1409","223.7","223.7","223.7"
"1419","178.2","178.2","178.2"
"1429","215.4","215.4","215.4"
"1439","178.2","178.2","178.2"
"1449","158","158","158"
"1459","225.8","225.8","225.8"
"1469","198","198","198"
"1479","155.5","155.5","155.5"
"1489","140.9","140.9","140.9"
"1499","186.2","186.2","186.2"
"1509","169.8","169.8","169.8"
"1519","175.2","175.2","175.2"
"1529","118","118","118"
"1539","193.5","193.5","193.5"
"1549","171.8","171.8","171.8"
"1559","175.1","175.1","175.1"
"1569","238.9","238.9","238.9"
"1579","118.3","118.3","118.3"
"1589","147.1","147.1","147.1"
"1599","129.3","129.3","129.3"
"1609","153.1","153.1","153.1"
"1619","124.8","124.8","124.8"
"1629","163.9","163.9","163.9"
"1639","129.7","129.7","129.7"
"1649","154.4","154.4","154.4"
"1659","135.3","135.3","135.3"
"1669","110.2","110.2","110.2"
"1679","122.7","122.7","122.7"
"1689","146.8","146.8","146.8"
"1699","114.7","114.7","114.7"
"1709","169.4","169.4","169.4"
"1719","131.5","131.5","131.5"
"1729","132.2","132.2","132.2"
"1739","146.1","146.1","146.1"
"1749","192.7","192.7","192.7"
"1759","174.7","174.7","174.7"
"1769","128.1","128.1","128.1"
"1779","174.8","174.8","174.8"
"1789","217.7","217.7","217.7"
"1799","133.7","133.7","133.7"
"1809","152.8","152.8","152.8"
"1819","153","153","153"
"1829","127","127","127"
"1839","164.9","164.9","164.9"
"1849","176.2","176.2","176.2"
"1859","107.8","107.8","107.8"
"1869","146","146","146"
"1879","112.4","112.4","112.4"
"1889","173.6","173.6","173.6"
"1899","141.9","141.9","141.9"
"1909","197.3","197.3","197.3"
"1919","175.1","175.1","175.1"
"1929","132.9","132.9","132.9"
"1939","124","124","124"
"1949","126.8","126.8","126.8"
"1959","112.6","112.6","112.6"
"1969","152.9","152.9","152.9"
"1979","175.5","175.5","175.5"
"1989","175.5","175.5","175.5"
"1999","138.2","138.2","138.2"
