"Step","maddpg_painting_gnn__79382782_24_09_10-10_25_45 - eval/reward/episode_len_mean","maddpg_painting_gnn__79382782_24_09_10-10_25_45 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__79382782_24_09_10-10_25_45 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","277.4","277.4","277.4"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","273.9","273.9","273.9"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","300","300","300"
"569","300","300","300"
"579","300","300","300"
"589","300","300","300"
"599","253.4","253.4","253.4"
"609","276.3","276.3","276.3"
"619","300","300","300"
"629","262.3","262.3","262.3"
"639","255.2","255.2","255.2"
"649","277.3","277.3","277.3"
"659","281.6","281.6","281.6"
"669","231.4","231.4","231.4"
"679","300","300","300"
"689","211.9","211.9","211.9"
"699","201.3","201.3","201.3"
"709","194.7","194.7","194.7"
"719","190.5","190.5","190.5"
"729","172.5","172.5","172.5"
"739","162.3","162.3","162.3"
"749","133.1","133.1","133.1"
"759","258.9","258.9","258.9"
"769","212.3","212.3","212.3"
"779","162.1","162.1","162.1"
"789","218.7","218.7","218.7"
"799","141.5","141.5","141.5"
"809","180","180","180"
"819","171.4","171.4","171.4"
"829","195.7","195.7","195.7"
"839","163.3","163.3","163.3"
"849","127.6","127.6","127.6"
"859","167.9","167.9","167.9"
"869","219.9","219.9","219.9"
"879","164.5","164.5","164.5"
"889","172.2","172.2","172.2"
"899","171.6","171.6","171.6"
"909","195.8","195.8","195.8"
"919","167.1","167.1","167.1"
"929","205.9","205.9","205.9"
"939","188.3","188.3","188.3"
"949","246.6","246.6","246.6"
"959","284.6","284.6","284.6"
"969","175.5","175.5","175.5"
"979","128.5","128.5","128.5"
"989","167.8","167.8","167.8"
"999","300","300","300"
"1009","191.6","191.6","191.6"
"1019","300","300","300"
"1029","255.3","255.3","255.3"
"1039","234.1","234.1","234.1"
"1049","230.9","230.9","230.9"
"1059","217.4","217.4","217.4"
"1069","96.1","96.1","96.1"
"1079","207.7","207.7","207.7"
"1089","126.2","126.2","126.2"
"1099","189.7","189.7","189.7"
"1109","209","209","209"
"1119","174.4","174.4","174.4"
"1129","162.6","162.6","162.6"
"1139","152.3","152.3","152.3"
"1149","222.1","222.1","222.1"
"1159","171.4","171.4","171.4"
"1169","187.4","187.4","187.4"
"1179","85.4","85.4","85.4"
"1189","146.2","146.2","146.2"
"1199","140.3","140.3","140.3"
"1209","205.2","205.2","205.2"
"1219","176.5","176.5","176.5"
"1229","173.7","173.7","173.7"
"1239","213.9","213.9","213.9"
"1249","192.8","192.8","192.8"
"1259","208.1","208.1","208.1"
"1269","134.7","134.7","134.7"
"1279","132.2","132.2","132.2"
"1289","155.7","155.7","155.7"
"1299","236","236","236"
"1309","164.6","164.6","164.6"
"1319","175.9","175.9","175.9"
"1329","158.3","158.3","158.3"
"1339","167.7","167.7","167.7"
"1349","127.7","127.7","127.7"
"1359","149.5","149.5","149.5"
"1369","171.7","171.7","171.7"
"1379","127.8","127.8","127.8"
"1389","200.7","200.7","200.7"
"1399","195.7","195.7","195.7"
"1409","221.3","221.3","221.3"
"1419","136.1","136.1","136.1"
"1429","195.3","195.3","195.3"
"1439","203.7","203.7","203.7"
"1449","176.3","176.3","176.3"
"1459","130.5","130.5","130.5"
"1469","187.6","187.6","187.6"
"1479","108.1","108.1","108.1"
"1489","192.7","192.7","192.7"
"1499","135","135","135"
"1509","152.5","152.5","152.5"
"1519","215.5","215.5","215.5"
"1529","199.4","199.4","199.4"
"1539","219.1","219.1","219.1"
"1549","187.3","187.3","187.3"
"1559","142.7","142.7","142.7"
"1569","152.8","152.8","152.8"
"1579","153.4","153.4","153.4"
"1589","201","201","201"
"1599","241.3","241.3","241.3"
"1609","281.6","281.6","281.6"
"1619","247","247","247"
"1629","246.6","246.6","246.6"
"1639","201.2","201.2","201.2"
"1649","175.6","175.6","175.6"
"1659","100.1","100.1","100.1"
"1669","150.4","150.4","150.4"
"1679","169.3","169.3","169.3"
"1689","167.5","167.5","167.5"
"1699","137.8","137.8","137.8"
"1709","160.8","160.8","160.8"
"1719","218.6","218.6","218.6"
"1729","239.8","239.8","239.8"
"1739","195.4","195.4","195.4"
"1749","216.3","216.3","216.3"
"1759","147.5","147.5","147.5"
"1769","103.1","103.1","103.1"
"1779","151.7","151.7","151.7"
"1789","146.7","146.7","146.7"
"1799","193.3","193.3","193.3"
"1809","179.6","179.6","179.6"
"1819","210.8","210.8","210.8"
"1829","238.3","238.3","238.3"
"1839","236.3","236.3","236.3"
"1849","173.4","173.4","173.4"
"1859","196","196","196"
"1869","237.1","237.1","237.1"
"1879","130.2","130.2","130.2"
"1889","171.4","171.4","171.4"
"1899","174.3","174.3","174.3"
"1909","144.2","144.2","144.2"
"1919","99.8","99.8","99.8"
"1929","192","192","192"
"1939","166.1","166.1","166.1"
"1949","144","144","144"
"1959","111.8","111.8","111.8"
"1969","209.8","209.8","209.8"
"1979","193.6","193.6","193.6"
"1989","140.2","140.2","140.2"
