"Step","maddpg_painting_gnn__c674ebf1_24_09_10-10_25_45 - eval/reward/episode_len_mean","maddpg_painting_gnn__c674ebf1_24_09_10-10_25_45 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__c674ebf1_24_09_10-10_25_45 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","276.3","276.3","276.3"
"529","300","300","300"
"539","300","300","300"
"549","256","256","256"
"559","300","300","300"
"569","256.7","256.7","256.7"
"579","275","275","275"
"589","300","300","300"
"599","300","300","300"
"609","257.7","257.7","257.7"
"619","277.3","277.3","277.3"
"629","300","300","300"
"639","182.2","182.2","182.2"
"649","160.7","160.7","160.7"
"659","170.4","170.4","170.4"
"669","235.9","235.9","235.9"
"679","188.2","188.2","188.2"
"689","188.7","188.7","188.7"
"699","215.1","215.1","215.1"
"709","185.8","185.8","185.8"
"719","120.7","120.7","120.7"
"729","148.3","148.3","148.3"
"739","234.7","234.7","234.7"
"749","162.6","162.6","162.6"
"759","135","135","135"
"769","182","182","182"
"779","167.5","167.5","167.5"
"789","122.8","122.8","122.8"
"799","100.7","100.7","100.7"
"809","173.5","173.5","173.5"
"819","168","168","168"
"829","148.2","148.2","148.2"
"839","211.1","211.1","211.1"
"849","148.5","148.5","148.5"
"859","82","82","82"
"869","98.3","98.3","98.3"
"879","131","131","131"
"889","142.6","142.6","142.6"
"899","214.2","214.2","214.2"
"909","147.1","147.1","147.1"
"919","212.8","212.8","212.8"
"929","166.2","166.2","166.2"
"939","214.8","214.8","214.8"
"949","300","300","300"
"959","259.5","259.5","259.5"
"969","163.3","163.3","163.3"
"979","153","153","153"
"989","160.3","160.3","160.3"
"999","178.3","178.3","178.3"
"1009","170","170","170"
"1019","181.6","181.6","181.6"
"1029","166.4","166.4","166.4"
"1039","172","172","172"
"1049","227.1","227.1","227.1"
"1059","167","167","167"
"1069","153.8","153.8","153.8"
"1079","213","213","213"
"1089","147.8","147.8","147.8"
"1099","158.7","158.7","158.7"
"1109","158.2","158.2","158.2"
"1119","218.5","218.5","218.5"
"1129","140.1","140.1","140.1"
"1139","121.2","121.2","121.2"
"1149","225.4","225.4","225.4"
"1159","120.8","120.8","120.8"
"1169","177.5","177.5","177.5"
"1179","162.2","162.2","162.2"
"1189","144.6","144.6","144.6"
"1199","162.5","162.5","162.5"
"1209","170.9","170.9","170.9"
"1219","164","164","164"
"1229","161.3","161.3","161.3"
"1239","182.4","182.4","182.4"
"1249","148.3","148.3","148.3"
"1259","156.8","156.8","156.8"
"1269","187.9","187.9","187.9"
"1279","163.3","163.3","163.3"
"1289","210","210","210"
"1299","201.8","201.8","201.8"
"1309","119.1","119.1","119.1"
"1319","154.8","154.8","154.8"
"1329","116.9","116.9","116.9"
"1339","196.9","196.9","196.9"
"1349","187.5","187.5","187.5"
"1359","243.1","243.1","243.1"
"1369","242.4","242.4","242.4"
"1379","248.6","248.6","248.6"
"1389","279.8","279.8","279.8"
"1399","300","300","300"
"1409","279.1","279.1","279.1"
"1419","297.7","297.7","297.7"
"1429","247.5","247.5","247.5"
"1439","300","300","300"
"1449","281.1","281.1","281.1"
"1459","300","300","300"
"1469","281.8","281.8","281.8"
"1479","298","298","298"
"1489","293.3","293.3","293.3"
"1499","275.7","275.7","275.7"
"1509","290.1","290.1","290.1"
"1519","299","299","299"
"1529","300","300","300"
"1539","300","300","300"
"1549","300","300","300"
"1559","300","300","300"
"1569","300","300","300"
"1579","300","300","300"
"1589","290.1","290.1","290.1"
"1599","300","300","300"
"1609","298.1","298.1","298.1"
"1619","286.9","286.9","286.9"
"1629","300","300","300"
"1639","300","300","300"
"1649","300","300","300"
"1659","300","300","300"
"1669","300","300","300"
"1679","300","300","300"
"1689","300","300","300"
"1699","300","300","300"
"1709","300","300","300"
"1719","294","294","294"
"1729","300","300","300"
"1739","282.3","282.3","282.3"
"1749","288.7","288.7","288.7"
"1759","300","300","300"
"1769","300","300","300"
"1779","298.5","298.5","298.5"
"1789","300","300","300"
"1799","300","300","300"
"1809","300","300","300"
"1819","300","300","300"
"1829","300","300","300"
"1839","282.5","282.5","282.5"
"1849","290.6","290.6","290.6"
"1859","300","300","300"
"1869","300","300","300"
"1879","300","300","300"
"1889","291.2","291.2","291.2"
"1899","300","300","300"
"1909","290.7","290.7","290.7"
"1919","298.9","298.9","298.9"
"1929","295.8","295.8","295.8"
"1939","290.1","290.1","290.1"
"1949","300","300","300"
"1959","300","300","300"
"1969","294.8","294.8","294.8"
"1979","300","300","300"
"1989","283.5","283.5","283.5"
"1999","284.7","284.7","284.7"
