"Step","maddpg_painting_gnn__a0428c88_24_08_12-12_22_48 - eval/reward/episode_len_mean","maddpg_painting_gnn__a0428c88_24_08_12-12_22_48 - eval/reward/episode_len_mean__MIN","maddpg_painting_gnn__a0428c88_24_08_12-12_22_48 - eval/reward/episode_len_mean__MAX"
"0","300","300","300"
"9","300","300","300"
"19","300","300","300"
"29","300","300","300"
"39","300","300","300"
"49","300","300","300"
"59","300","300","300"
"69","300","300","300"
"79","300","300","300"
"89","300","300","300"
"99","300","300","300"
"109","300","300","300"
"119","300","300","300"
"129","300","300","300"
"139","300","300","300"
"149","300","300","300"
"159","300","300","300"
"169","300","300","300"
"179","300","300","300"
"189","300","300","300"
"199","300","300","300"
"209","300","300","300"
"219","300","300","300"
"229","300","300","300"
"239","300","300","300"
"249","300","300","300"
"259","300","300","300"
"269","300","300","300"
"279","300","300","300"
"289","300","300","300"
"299","300","300","300"
"309","300","300","300"
"319","300","300","300"
"329","300","300","300"
"339","300","300","300"
"349","300","300","300"
"359","300","300","300"
"369","300","300","300"
"379","300","300","300"
"389","300","300","300"
"399","300","300","300"
"409","300","300","300"
"419","300","300","300"
"429","300","300","300"
"439","300","300","300"
"449","300","300","300"
"459","300","300","300"
"469","300","300","300"
"479","300","300","300"
"489","300","300","300"
"499","300","300","300"
"509","300","300","300"
"519","300","300","300"
"529","300","300","300"
"539","300","300","300"
"549","300","300","300"
"559","300","300","300"
"569","300","300","300"
"579","300","300","300"
"589","277.9","277.9","277.9"
"599","275.9","275.9","275.9"
"609","300","300","300"
"619","300","300","300"
"629","300","300","300"
"639","300","300","300"
"649","274.7","274.7","274.7"
"659","276.6","276.6","276.6"
"669","279","279","279"
"679","281.6","281.6","281.6"
"689","208.3","208.3","208.3"
"699","216.4","216.4","216.4"
"709","211.2","211.2","211.2"
"719","228.9","228.9","228.9"
"729","251.1","251.1","251.1"
"739","251.8","251.8","251.8"
"749","276.3","276.3","276.3"
"759","275.2","275.2","275.2"
"769","229.4","229.4","229.4"
"779","238.6","238.6","238.6"
"789","249.2","249.2","249.2"
"799","234.1","234.1","234.1"
"809","300","300","300"
"819","300","300","300"
"829","300","300","300"
"839","300","300","300"
"849","232.9","232.9","232.9"
"859","258","258","258"
"869","277.1","277.1","277.1"
"879","233","233","233"
"889","253","253","253"
"899","281.5","281.5","281.5"
"909","276.5","276.5","276.5"
"919","238.6","238.6","238.6"
"929","229.9","229.9","229.9"
"939","255.4","255.4","255.4"
"949","280.1","280.1","280.1"
"959","233.3","233.3","233.3"
"969","276.5","276.5","276.5"
"979","256.7","256.7","256.7"
"989","277.3","277.3","277.3"
"999","300","300","300"
"1009","236.3","236.3","236.3"
"1019","209.9","209.9","209.9"
"1029","300","300","300"
"1039","277.1","277.1","277.1"
"1049","277.7","277.7","277.7"
"1059","233.7","233.7","233.7"
"1069","274.4","274.4","274.4"
"1079","234.1","234.1","234.1"
"1089","275.4","275.4","275.4"
"1099","256.6","256.6","256.6"
"1109","300","300","300"
"1119","232.2","232.2","232.2"
"1129","255.8","255.8","255.8"
"1139","278","278","278"
"1149","257.8","257.8","257.8"
"1159","278.2","278.2","278.2"
"1169","278","278","278"
"1179","273.7","273.7","273.7"
"1189","258.4","258.4","258.4"
"1199","277.1","277.1","277.1"
"1209","250.2","250.2","250.2"
"1219","264","264","264"
"1229","211.7","211.7","211.7"
"1239","189.1","189.1","189.1"
"1249","238.9","238.9","238.9"
"1259","237.3","237.3","237.3"
"1269","258.7","258.7","258.7"
"1279","279.1","279.1","279.1"
"1289","257","257","257"
"1299","257","257","257"
"1309","281.5","281.5","281.5"
"1319","300","300","300"
"1329","300","300","300"
"1339","215.8","215.8","215.8"
"1349","257.3","257.3","257.3"
"1359","253.2","253.2","253.2"
"1369","257.2","257.2","257.2"
"1379","285.3","285.3","285.3"
"1389","277.1","277.1","277.1"
"1399","258.9","258.9","258.9"
"1409","212.3","212.3","212.3"
"1419","195.7","195.7","195.7"
"1429","252.6","252.6","252.6"
"1439","234.2","234.2","234.2"
"1449","272.7","272.7","272.7"
"1459","233.2","233.2","233.2"
"1469","256.2","256.2","256.2"
"1479","229.1","229.1","229.1"
"1489","194.9","194.9","194.9"
"1499","256.6","256.6","256.6"
"1509","253.7","253.7","253.7"
"1519","260.9","260.9","260.9"
"1529","211.2","211.2","211.2"
"1539","213.6","213.6","213.6"
"1549","192.7","192.7","192.7"
"1559","300","300","300"
"1569","273.9","273.9","273.9"
"1579","213.8","213.8","213.8"
"1589","300","300","300"
"1599","220.5","220.5","220.5"
"1609","279.9","279.9","279.9"
"1619","278.6","278.6","278.6"
"1629","300","300","300"
"1639","196.8","196.8","196.8"
"1649","237","237","237"
"1659","213.4","213.4","213.4"
"1669","252.9","252.9","252.9"
"1679","232.6","232.6","232.6"
"1689","192.6","192.6","192.6"
"1699","191.7","191.7","191.7"
"1709","239.1","239.1","239.1"
"1719","293.2","293.2","293.2"
"1729","213.6","213.6","213.6"
"1739","254","254","254"
"1749","254.3","254.3","254.3"
"1759","195.4","195.4","195.4"
"1769","275.8","275.8","275.8"
"1779","231.6","231.6","231.6"
"1789","276.6","276.6","276.6"
"1799","280.1","280.1","280.1"
"1809","255.9","255.9","255.9"
"1819","287.9","287.9","287.9"
"1829","242.5","242.5","242.5"
"1839","200.2","200.2","200.2"
"1849","241.7","241.7","241.7"
"1859","185.6","185.6","185.6"
"1869","192.9","192.9","192.9"
"1879","192","192","192"
"1889","286.2","286.2","286.2"
"1899","300","300","300"
"1909","279.2","279.2","279.2"
"1919","263.1","263.1","263.1"
"1929","256.2","256.2","256.2"
"1939","300","300","300"
"1949","169.5","169.5","169.5"
"1959","179.7","179.7","179.7"
"1969","170.2","170.2","170.2"
"1979","279.5","279.5","279.5"
"1989","192.1","192.1","192.1"
"1999","235","235","235"
